ze2020,libze2020,reg,year,bpe_evolution_commune_type_presence_total,bpe_evolution_communes_observed,bpe_evolution_facility_types_observed,source_geography_year,comparability_status
2407,Gien,24,2019,1249,67,121,2025,official_harmonized_2019_2024_presence_absence
2407,Gien,24,2024,1272,67,121,2025,official_harmonized_2019_2024_presence_absence
2408,Loches,24,2019,1200,78,113,2025,official_harmonized_2019_2024_presence_absence
2408,Loches,24,2024,1218,78,112,2025,official_harmonized_2019_2024_presence_absence
2409,Montargis,24,2019,1587,96,127,2025,official_harmonized_2019_2024_presence_absence
2409,Montargis,24,2024,1655,96,131,2025,official_harmonized_2019_2024_presence_absence
2410,Orléans,24,2019,3233,133,141,2025,official_harmonized_2019_2024_presence_absence
2410,Orléans,24,2024,3336,133,143,2025,official_harmonized_2019_2024_presence_absence
2411,Pithiviers,24,2019,975,78,111,2025,official_harmonized_2019_2024_presence_absence
2411,Pithiviers,24,2024,1034,78,114,2025,official_harmonized_2019_2024_presence_absence
2412,Romorantin-Lanthenay,24,2019,1521,70,117,2025,official_harmonized_2019_2024_presence_absence
2412,Romorantin-Lanthenay,24,2024,1537,70,117,2025,official_harmonized_2019_2024_presence_absence
2413,Tours,24,2019,4251,166,144,2025,official_harmonized_2019_2024_presence_absence
2413,Tours,24,2024,4464,166,143,2025,official_harmonized_2019_2024_presence_absence
2414,Vendôme,24,2019,1012,89,123,2025,official_harmonized_2019_2024_presence_absence
2414,Vendôme,24,2024,1025,89,121,2025,official_harmonized_2019_2024_presence_absence
2415,Vierzon,24,2019,507,28,118,2025,official_harmonized_2019_2024_presence_absence
2415,Vierzon,24,2024,534,28,114,2025,official_harmonized_2019_2024_presence_absence
2701,Autun,27,2019,746,66,113,2025,official_harmonized_2019_2024_presence_absence
2701,Autun,27,2024,771,66,114,2025,official_harmonized_2019_2024_presence_absence
2702,Auxerre,27,2019,2773,211,137,2025,official_harmonized_2019_2024_presence_absence
2702,Auxerre,27,2024,2906,211,140,2025,official_harmonized_2019_2024_presence_absence
2703,Avallon,27,2019,1432,172,111,2025,official_harmonized_2019_2024_presence_absence
2703,Avallon,27,2024,1452,172,110,2025,official_harmonized_2019_2024_presence_absence
2704,Beaune,27,2019,1360,143,124,2025,official_harmonized_2019_2024_presence_absence
2704,Beaune,27,2024,1482,143,126,2025,official_harmonized_2019_2024_presence_absence
2705,Belfort,27,2019,2252,164,138,2025,official_harmonized_2019_2024_presence_absence
2705,Belfort,27,2024,2410,164,140,2025,official_harmonized_2019_2024_presence_absence
2706,Besançon,27,2019,4013,408,141,2025,official_harmonized_2019_2024_presence_absence
2706,Besançon,27,2024,4270,408,140,2025,official_harmonized_2019_2024_presence_absence
2707,Chalon-sur-Saône,27,2019,2001,133,136,2025,official_harmonized_2019_2024_presence_absence
2707,Chalon-sur-Saône,27,2024,2106,133,138,2025,official_harmonized_2019_2024_presence_absence
2708,Charolais,27,2019,1657,132,118,2025,official_harmonized_2019_2024_presence_absence
2708,Charolais,27,2024,1737,132,122,2025,official_harmonized_2019_2024_presence_absence
2709,Châtillon-Montbard,27,2019,1555,233,114,2025,official_harmonized_2019_2024_presence_absence
2709,Châtillon-Montbard,27,2024,1618,233,116,2025,official_harmonized_2019_2024_presence_absence
2710,Creusot-Montceau,27,2019,1012,57,129,2025,official_harmonized_2019_2024_presence_absence
2710,Creusot-Montceau,27,2024,1006,57,124,2025,official_harmonized_2019_2024_presence_absence
2711,Dijon,27,2019,3671,322,145,2025,official_harmonized_2019_2024_presence_absence
2711,Dijon,27,2024,3989,322,147,2025,official_harmonized_2019_2024_presence_absence
2712,Dole,27,2019,1297,123,131,2025,official_harmonized_2019_2024_presence_absence
2712,Dole,27,2024,1412,123,132,2025,official_harmonized_2019_2024_presence_absence
2713,Lons-le-Saunier,27,2019,3092,333,136,2025,official_harmonized_2019_2024_presence_absence
2713,Lons-le-Saunier,27,2024,3208,333,136,2025,official_harmonized_2019_2024_presence_absence
2714,Montbéliard,27,2019,1940,146,129,2025,official_harmonized_2019_2024_presence_absence
2714,Montbéliard,27,2024,2022,146,129,2025,official_harmonized_2019_2024_presence_absence
2715,Pontarlier,27,2019,1952,174,125,2025,official_harmonized_2019_2024_presence_absence
2715,Pontarlier,27,2024,2098,174,125,2025,official_harmonized_2019_2024_presence_absence
2716,Saint-Claude,27,2019,951,71,113,2025,official_harmonized_2019_2024_presence_absence
2716,Saint-Claude,27,2024,1002,71,111,2025,official_harmonized_2019_2024_presence_absence
