country,window_start,window_end,source_sector,target_sector,beta_main,beta_wo20
NL,2007,2012,BE,KZ,0.11544488832396688,0.11544488832396682
NL,2007,2012,BE,MN,-0.15813935773359933,-0.15813935773359933
NL,2007,2012,BE,RU,-0.14183556348016962,-0.14183556348016962
NL,2007,2012,FZ,JZ,-0.12213132027042616,-0.12213132027042617
NL,2007,2012,FZ,RU,-0.11537849570026554,-0.11537849570026554
NL,2007,2012,JZ,KZ,-0.16639260507465065,-0.16639260507465065
NL,2007,2012,LZ,RU,-0.10333458629339981,-0.10333458629339981
NL,2007,2012,MN,FZ,0.1144042043350067,0.1144042043350067
NL,2007,2012,OQ,FZ,0.17147815070647407,0.17147815070647407
NL,2007,2012,RU,BE,0.1650863746509446,0.1650863746509446
NL,2008,2013,BE,KZ,0.14200351585995252,0.14200351585995252
NL,2008,2013,BE,MN,-0.12103783827103978,-0.12103783827103978
NL,2008,2013,BE,RU,-0.11755894118475857,-0.11755894118475857
NL,2008,2013,FZ,RU,-0.12599166729387884,-0.12599166729387884
NL,2008,2013,GI,BE,-0.10605249961922986,-0.10605249961922986
NL,2008,2013,GI,LZ,0.10470982120040831,0.10470982120040831
NL,2008,2013,JZ,MN,0.10486110387544843,0.10486110387544843
NL,2008,2013,KZ,LZ,0.11896482681098836,0.11896482681098836
NL,2008,2013,LZ,FZ,-0.11086772358648145,-0.11086772358648145
NL,2008,2013,LZ,RU,-0.1412253839496993,-0.1412253839496993
NL,2008,2013,OQ,FZ,0.10914275573706977,0.10914275573706977
NL,2009,2014,BE,KZ,0.12925401439684317,0.12925401439684317
NL,2009,2014,BE,MN,-0.10565362447224365,-0.10565362447224365
NL,2009,2014,BE,RU,-0.10680134302228361,-0.10680134302228361
NL,2009,2014,GI,FZ,0.13518236792918903,0.13518236792918903
NL,2009,2014,GI,LZ,0.12246936454070664,0.12246936454070664
NL,2009,2014,KZ,LZ,0.11351619186970685,0.11351619186970685
NL,2009,2014,LZ,RU,-0.11386808430072348,-0.11386808430072348
NL,2009,2014,OQ,BE,0.11236142948926725,0.11236142948926725
NL,2009,2014,OQ,FZ,0.1528076083860892,0.1528076083860892
NL,2009,2014,RU,BE,0.12590266182182352,0.12590266182182352
NL,2010,2015,BE,KZ,0.19821902180813772,0.19821902180813772
NL,2010,2015,BE,RU,-0.10755090826382524,-0.10755090826382524
NL,2010,2015,GI,FZ,0.11475169765313657,0.11475169765313657
NL,2010,2015,JZ,MN,0.10733386971715425,0.10733386971715425
NL,2010,2015,KZ,LZ,0.12882926567841593,0.12882926567841593
NL,2010,2015,OQ,BE,0.11472056976747004,0.11472056976747004
NL,2010,2015,OQ,FZ,0.15807661878840848,0.15807661878840848
NL,2010,2015,RU,KZ,0.11635202209038531,0.11635202209038531
NL,2011,2016,BE,KZ,0.2188052643414201,0.2188052643414201
NL,2011,2016,JZ,MN,0.12028311019232943,0.12028311019232943
NL,2011,2016,KZ,LZ,0.10886205041650393,0.10886205041650393
NL,2011,2016,RU,KZ,0.17334314362595055,0.17334314362595055
NL,2012,2017,BE,KZ,0.18762521411804056,0.18762521411804056
NL,2012,2017,JZ,FZ,-0.10876031018831475,-0.10876031018831475
NL,2012,2017,KZ,LZ,0.11335145585226006,0.11335145585226006
NL,2012,2017,RU,GI,0.14113500121352546,0.14113500121352546
NL,2012,2017,RU,KZ,0.10209675700269875,0.10209675700269875
NL,2013,2018,BE,KZ,0.1410385910387073,0.1410385910387073
NL,2013,2018,FZ,BE,0.14690295698397837,0.14690295698397837
NL,2013,2018,JZ,FZ,-0.11348016865999738,-0.11348016865999738
NL,2013,2018,LZ,MN,-0.11069179970688055,-0.11069179970688055
NL,2013,2018,MN,RU,0.10163233576036729,0.10163233576036729
NL,2013,2018,RU,GI,0.17475118541131002,0.17475118541131002
NL,2013,2018,RU,JZ,0.10731185642401145,0.10731185642401145
NL,2013,2018,RU,KZ,0.12575735911824404,0.12575735911824404
NL,2014,2019,BE,KZ,0.14224334346113088,0.14224334346113088
NL,2014,2019,BE,MN,0.12101815653313475,0.12101815653313475
NL,2014,2019,FZ,BE,0.15088320115806364,0.15088320115806364
NL,2014,2019,FZ,RU,0.126291168368515,0.126291168368515
NL,2014,2019,GI,BE,0.1022812351405036,0.1022812351405036
NL,2014,2019,KZ,JZ,0.11199923609857751,0.11199923609857751
NL,2014,2019,MN,FZ,0.12166862780644935,0.12166862780644935
NL,2014,2019,MN,RU,0.14771864027607184,0.14771864027607184
NL,2014,2019,RU,GI,0.16503036036447302,0.16503036036447302
NL,2014,2019,RU,JZ,0.12862473844113625,0.12862473844113625
NL,2014,2019,RU,KZ,0.10406713281675045,0.10406713281675045
NL,2015,2020,BE,KZ,0.13078826718446462,0.14451712280256396
NL,2015,2020,BE,MN,0.10264587739103419,0.10428791313804743
NL,2015,2020,FZ,BE,0.14790025235011203,0.1297733789393461
NL,2015,2020,FZ,RU,0.1113057456655297,0.14169335753938983
NL,2015,2020,RU,JZ,0.10801229626872122,0.16211533852813612
NL,2016,2021,BE,MN,0.10538471542810496,0.10224524944076008
NL,2016,2021,FZ,BE,0.1496153595500912,0.11711015098490957
NL,2016,2021,FZ,OQ,-0.1104293666757571,-0.1601485423159273
NL,2016,2021,GI,BE,0.16821699276681326,0.12651175456097197
NL,2016,2021,RU,GI,0.1102186423045049,0.1418325090914735
NL,2016,2021,RU,JZ,0.10482376929184553,0.17553257132550343
NL,2017,2022,BE,OQ,-0.1015490623992983,-0.12832928294692683
NL,2017,2022,FZ,BE,0.15319716073332038,0.14639701814538614
NL,2017,2022,GI,BE,0.15227252395285099,0.14534770925329127
NL,2017,2022,GI,LZ,0.11545770181695703,0.10138038821217159
NL,2017,2022,RU,GI,0.10745307412184069,0.11978182387659633
NL,2017,2022,RU,JZ,0.11860970497690948,0.14728962094316903
NL,2018,2023,BE,OQ,-0.1012045879170296,-0.14495342774515163
NL,2018,2023,FZ,BE,0.17744391007054572,0.18936868214497862
NL,2018,2023,RU,JZ,0.10921948991822944,0.13281340241079115
NL,2019,2024,BE,OQ,-0.11208739999764164,-0.16804203274783816
NL,2019,2024,FZ,BE,0.13851718645636402,0.1295169014770971
NL,2019,2024,MN,KZ,-0.120929018765954,-0.13100429300008518
NL,2019,2024,OQ,FZ,0.16951571270941457,0.1206350655409946
NL,2019,2024,OQ,GI,0.11686617780518546,0.14228753963350763
NL,2019,2024,RU,JZ,0.10400964195495849,0.14222704088093358
NL,2020,2025,FZ,BE,0.10066037176974653,0.13148876444327184
NL,2020,2025,MN,KZ,-0.13897215773576008,-0.15205666620406733
NL,2020,2025,OQ,GI,0.10095583648860562,0.11292697405799762
NL,2020,2025,OQ,MN,0.1535347930655206,0.11894266712708249
