ze2020,libze2020,n_total_estab,n_active_estab,n_inactive_estab,active_share,total_workforce,avg_workforce_per_estab,n_distinct_naf4,n_estab_with_workforce,naf4_shannon_diversity,naf4_hhi,avg_pci_naf_weighted,avg_resilience_naf_weighted,avg_green_naf_weighted,avg_maslow_naf_weighted,mean_naf_proximity,mean_semantic_proximity,n_naf_pairs_in_ze,nace_io_mean,nace_io_total,n_nace_pairs_in_ze,n_recommendations_postmodel,n_estab_with_recom_postmodel,recommendation_density_postmodel
8415,Le Chablais,2197,1771,426,0.8061,8491,3.86,169,898,4.1199,0.0285,-0.5011,0.4606,0.0049,0.0681,0.4276,0.7555,4945,0.7969,567.38,712,625,357,0.3529
0055,Bollène-Pierrelatte,2232,1747,485,0.7827,11558,5.18,178,757,3.4710,0.1021,-0.7899,0.7319,0.0024,0.0270,0.3608,0.7233,4946,0.7983,375.21,470,746,491,0.4270
2803,Bernay,2108,1726,382,0.8188,7231,3.43,167,681,3.5577,0.0813,-0.5050,0.4818,0.0034,0.0284,0.4057,0.7528,4847,0.8018,362.42,452,0,0,0.0000
5301,Auray,2391,1718,673,0.7185,6369,2.66,164,848,3.8773,0.0425,-0.6652,0.5575,0.0022,0.0727,0.4164,0.7152,4453,0.8007,421.17,526,0,0,0.0000
2414,Vendôme,2298,1692,606,0.7363,7915,3.44,160,664,3.3828,0.1272,-0.4699,0.5369,0.0058,0.0257,0.4258,0.7508,3478,0.7993,303.72,380,0,0,0.0000
5208,La Ferté-Bernard,2265,1658,607,0.7320,10095,4.46,161,614,3.5934,0.0645,-0.4729,0.4564,0.0036,0.0241,0.4296,0.7406,4462,0.8015,392.72,490,0,0,0.0000
2407,Gien,2233,1638,595,0.7335,11231,5.03,173,738,3.6743,0.0880,-0.5577,0.5483,0.0022,0.0257,0.4230,0.7371,4458,0.7935,452.28,570,0,0,0.0000
2812,L'Aigle,2110,1631,479,0.7730,5227,2.48,139,544,3.3031,0.0788,-0.5686,0.3668,0.0022,0.0094,0.4178,0.7309,3158,0.7961,264.29,332,0,0,0.0000
8414,La Vallée de l'Arve,1992,1629,363,0.8178,15424,7.74,167,964,4.0197,0.0372,-0.3410,0.4359,0.0227,0.0688,0.4110,0.7377,4945,0.8010,440.53,550,567,328,0.3481
4414,Remiremont,2202,1627,575,0.7389,9937,4.51,200,793,4.2857,0.0289,-0.5105,0.4637,0.0023,0.0404,0.4076,0.7571,7253,0.8029,568.46,708,0,0,0.0000
