window_start,window_end,is_covid_era,n_pairs,n_p001,n_bss095,n_promoted
2010,2015,False,72,3,11,0
2011,2016,False,72,3,10,0
2012,2017,False,72,4,9,0
2013,2018,False,72,2,5,0
2014,2019,False,72,1,5,0
2015,2020,True,72,3,7,0
2016,2021,True,72,3,8,0
2017,2022,True,72,3,7,0
2018,2023,True,72,2,6,0
2019,2024,True,72,4,8,0
2020,2025,True,72,5,10,1
