ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
2,2010,48830.0,28120.0,37350.0,1430.0,2070.0,1000.0,9760.0,56570.0,10010.0,195140.0
3,2010,77860.0,15800.0,34000.0,570.0,1640.0,780.0,8119.999999999999,38100.0,7440.0,184310.0
4,2010,179010.0,57830.0,197100.0,10360.0,15350.0,4650.0,93230.0,184690.0,44210.0,786430.0
5,2010,3370.0,3060.0,5800.0,100.0,410.0,100.0,820.0,19540.0,1490.0,34690.0
6,2010,61090.0,32140.0,28090.0,360.0,1310.0,780.0,4850.0,37950.0,8830.0,175400.0
7,2010,7000.0,7790.0,14810.0,260.0,980.0,150.0,3290.0,68490.0,4260.0,107030.0
8,2010,3760.0,3610.0,8680.0,140.0,590.0,90.0,1640.0,39520.0,1740.0,59770.0
9,2010,10830.0,22860.0,72280.0,1200.0,2790.0,3100.0,17610.0,65250.0,12450.0,208370.0
10,2010,26860.0,16329.999999999998,41330.0,840.0,1910.0,780.0,8230.0,77190.0,7750.0,181220.0
11,2010,52160.0,12490.0,36480.0,1730.0,1900.0,610.0,11340.0,48630.0,7400.0,172740.0
12,2010,29460.0,19040.0,44750.0,1900.0,2330.0,740.0,13190.0,79800.0,11720.0,202930.0
13,2010,33510.0,19910.0,33180.0,800.0,1980.0,680.0,9530.0,36300.0,5160.0,141050.0
14,2010,20290.0,12860.0,24030.0,410.0,1330.0,320.0,5870.0,42570.0,5500.0,113180.0
15,2010,6210.0,3970.0,8710.0,180.0,610.0,120.0,1940.0,18420.0,2470.0,42630.0
16,2010,16900.0,9800.0,22230.0,330.0,1070.0,450.0,5290.0,39260.0,5640.0,100970.0
17,2010,14360.0,8540.0,18650.0,390.0,1160.0,230.0,3430.0,42320.0,4510.0,93590.0
18,2010,118500.0,99720.0,384840.0,46770.0,48260.0,11080.0,241420.0,342520.0,105340.0,1398450.0
19,2010,4930.0,4490.0,9320.0,140.0,490.0,180.0,3340.0,17200.0,2360.0,42450.0
20,2010,4920.0,3960.0,9310.0,180.0,660.0,110.0,2010.0,28730.0,2500.0,52380.0
21,2010,17540.0,8830.0,26830.0,450.0,1320.0,380.0,6620.0,44460.0,4950.0,111380.0
22,2010,5230.0,3010.0,9600.0,140.0,630.0,130.0,1830.0,22690.0,3190.0,46450.0
23,2010,10200.0,5170.0,14460.0,360.0,990.0,270.0,4000.0,37480.0,4600.0,77530.0
24,2010,9380.0,12150.0,25850.0,850.0,1420.0,240.0,5990.0,50780.0,8240.0,114900.0
25,2010,9050.0,12580.0,34270.0,970.0,1480.0,910.0,8310.0,55210.0,7300.0,130080.0
1,2011,18820.0,12010.0,19840.0,320.0,1210.0,400.0,4160.0,32270.0,5300.0,94330.0
2,2011,48100.0,25270.0,37700.0,1350.0,2160.0,970.0,10280.0,54770.0,10190.0,190790.0
3,2011,76970.0,14900.0,34100.0,580.0,1680.0,770.0,8420.0,37100.0,7430.0,181950.0
4,2011,176200.0,53710.0,195830.0,10150.0,15510.0,4670.0,93790.0,181090.0,43700.0,774650.0
5,2011,3320.0,2840.0,5920.0,90.0,420.0,90.0,810.0,18810.0,1470.0,33770.0
6,2011,61500.0,29680.0,28560.0,280.0,1360.0,720.0,5250.0,37010.0,8720.0,173080.0
7,2011,6940.0,7750.0,15000.0,210.0,990.0,150.0,3000.0,65530.0,4110.0,103680.0
8,2011,3750.0,3350.0,8840.0,130.0,610.0,100.0,1600.0,38220.0,1750.0,58350.0
9,2011,10330.0,19220.0,73020.0,1090.0,2780.0,2830.0,18080.0,64280.0,12370.0,204000.0
10,2011,26500.0,14550.0,41510.0,890.0,1940.0,780.0,8010.0,72310.0,7740.0,174230.0
11,2011,51350.0,11660.0,36500.0,1740.0,1900.0,620.0,11290.0,46880.0,7480.0,169420.0
12,2011,29300.0,18600.0,44150.0,1920.0,2400.0,750.0,13290.0,77030.0,11780.0,199220.0
13,2011,33060.0,18520.0,32980.0,820.0,1990.0,660.0,9790.0,34890.0,5330.0,138040.0
14,2011,19650.0,12110.0,24330.0,400.0,1350.0,320.0,5480.0,41300.0,5700.0,110640.0
15,2011,6040.0,3880.0,8600.0,260.0,610.0,140.0,2050.0,17950.0,2440.0,41970.0
16,2011,16520.0,9000.0,21730.0,330.0,1100.0,420.0,5360.0,37180.0,5590.0,97230.0
17,2011,13850.0,8000.0,18590.0,700.0,1190.0,220.0,3450.0,40820.0,4590.0,91410.0
18,2011,113530.0,87130.0,390790.0,48070.0,48990.0,11160.0,238860.0,337940.0,103580.0,1380050.0
19,2011,5180.0,4190.0,9200.0,130.0,480.0,190.0,3950.0,16970.0,2400.0,42690.0
20,2011,5220.0,4150.0,9300.0,170.0,670.0,100.0,1970.0,28180.0,2470.0,52230.0
21,2011,17280.0,7620.0,25640.0,460.0,1340.0,340.0,5920.0,43420.0,4960.0,106980.0
22,2011,5260.0,2660.0,9160.0,150.0,620.0,140.0,1940.0,22450.0,3150.0,45530.0
23,2011,10060.0,4840.0,14260.0,380.0,980.0,260.0,3930.0,36690.0,4490.0,75890.0
24,2011,9110.0,11440.0,24380.0,820.0,1400.0,230.0,6240.0,49870.0,8370.0,111860.0
25,2011,8570.0,10760.0,32550.0,890.0,1460.0,860.0,8490.0,53840.0,7240.0,124660.0
1,2012,18410.0,10220.0,19770.0,330.0,1170.0,360.0,4300.0,30340.0,5250.0,90150.0
2,2012,46230.0,21200.0,36720.0,1480.0,2100.0,980.0,10540.0,52410.0,9930.0,181590.0
3,2012,74450.0,12730.0,34130.0,620.0,1680.0,780.0,9190.0,36560.0,7290.0,177430.0
4,2012,169650.0,44450.0,193270.0,10890.0,14510.0,4320.0,91530.0,179830.0,42990.0,751440.0
5,2012,3150.0,2560.0,5910.0,90.0,410.0,70.0,810.0,18760.0,1440.0,33200.0
6,2012,60050.0,23980.0,28440.0,270.0,1340.0,560.0,5090.0,37280.0,8530.0,165540.0
7,2012,6330.0,6410.0,14990.0,220.0,1030.0,150.0,2820.0,67140.0,4160.0,103250.0
8,2012,3670.0,2660.0,8360.0,150.0,600.0,90.0,1520.0,36320.0,1720.0,55090.0
9,2012,9750.0,14040.0,69760.0,1160.0,2680.0,2620.0,17660.0,65500.0,11880.0,195050.0
10,2012,25490.0,10900.0,40040.0,960.0,1850.0,680.0,7300.0,72050.0,7440.0,166710.0
11,2012,50130.0,8840.0,35470.0,1730.0,1860.0,570.0,10530.0,49580.0,7330.0,166040.0
12,2012,27960.0,14120.0,42770.0,2030.0,2360.0,660.0,12630.0,75090.0,11570.0,189190.0
13,2012,32200.000000000004,14680.0,31870.0,800.0,1910.0,650.0,9650.0,32710.0,5050.0,129520.0
14,2012,18040.0,10380.0,24040.0,430.0,1310.0,290.0,4990.0,40930.0,5530.0,105940.0
15,2012,5920.0,3210.0,8270.0,250.0,580.0,130.0,1950.0,18360.0,2490.0,41160.0
16,2012,15570.0,6830.0,19870.0,350.0,1070.0,380.0,4520.0,35550.0,5600.0,89740.0
17,2012,13440.0,6400.0,18060.0,800.0,1170.0,220.0,3200.0,43040.0,4530.0,90860.0
18,2012,108100.0,71100.0,364510.0,48130.0,47790.0,10710.0,231800.0,331660.0,101270.0,1315070.0
19,2012,4890.0,3150.0,8860.0,110.0,470.0,170.0,3340.0,17150.0,2410.0,40550.0
20,2012,5430.0,3260.0,8920.0,160.0,670.0,90.0,1860.0,28480.0,2440.0,51310.0
21,2012,16920.0,5390.0,24060.0,480.0,1270.0,290.0,5490.0,43150.0,4810.0,101860.0
22,2012,4980.0,2010.0,8790.0,120.0,580.0,130.0,1970.0,22600.0,3080.0,44260.0
23,2012,10040.0,3470.0,13790.0,430.0,970.0,230.0,3470.0,36560.0,4470.0,73430.0
24,2012,8590.0,8260.0,23090.0,900.0,1340.0,230.0,5590.0,49420.0,8690.0,106110.0
25,2012,7830.0,8080.0,31920.0,880.0,1380.0,820.0,7750.0,53580.0,7110.0,119350.0
1,2013,18580.0,9860.0,19260.0,330.0,1110.0,350.0,4600.0,30390.0,5250.0,89730.0
2,2013,45710.0,19540.0,36580.0,1610.0,2040.0,960.0,10590.0,49340.0,9970.0,176340.0
3,2013,75500.0,11520.0,34080.0,660.0,1610.0,760.0,9310.0,35110.0,7260.0,175810.0
4,2013,167440.0,40000.0,186250.0,11180.0,13740.0,4350.0,92680.0,172640.0,42390.0,730670.0
5,2013,3070.0,2400.0,5920.0,90.0,390.0,70.0,830.0,19380.0,1470.0,33620.0
6,2013,60040.0,22820.0,27640.0,280.0,1300.0,470.0,5420.0,36100.0,8350.0,162420.0
7,2013,6310.0,5750.0,14290.0,210.0,1000.0,160.0,2720.0,63690.0,4040.0,98170.0
8,2013,3530.0,2350.0,8320.0,150.0,590.0,100.0,1400.0,36980.0,1760.0,55180.0
9,2013,9420.0,12210.0,69180.0,1040.0,2520.0,2720.0,17290.0,63580.0,11590.0,189550.0
10,2013,25240.0,9140.0,38600.0,920.0,1770.0,690.0,7190.0,64910.0,7310.0,155770.0
11,2013,49810.0,7880.0,34020.0,1740.0,1760.0,540.0,10470.0,47360.0,7290.0,160870.0
12,2013,27520.0,12260.0,41750.0,2080.0,2220.0,660.0,13190.0,73060.0,11480.0,184220.0
13,2013,31800.0,13930.0,30910.0,830.0,1820.0,620.0,9360.0,30680.0,5120.0,125070.0
14,2013,18000.0,10180.0,22970.0,420.0,1240.0,300.0,5380.0,39960.0,5560.0,104010.0
15,2013,5350.0,2760.0,8170.0,200.0,570.0,130.0,2350.0,17250.0,2430.0,39210.0
16,2013,14850.0,6010.0,20140.0,370.0,1010.0,370.0,4390.0,32820.0,5430.0,85390.0
17,2013,12870.0,5700.0,17620.0,1150.0,1070.0,210.0,3360.0,41410.0,4500.0,87890.0
18,2013,101950.0,63290.0,354790.0,48360.0,47380.0,11120.0,229550.0,326040.0,100220.0,1282700.0
19,2013,4560.0,2580.0,8870.0,120.0,460.0,160.0,3220.0,16690.0,2400.0,39060.0
20,2013,5460.0,2930.0,8640.0,160.0,650.0,100.0,1780.0,27190.0,2370.0,49280.0
21,2013,15470.0,4680.0,23230.0,500.0,1200.0,270.0,5400.0,41650.0,4480.0,96880.0
22,2013,4840.0,1790.0,8480.0,110.0,560.0,130.0,1810.0,22170.0,3030.0,42920.0
23,2013,9890.0,3120.0,13290.0,450.0,920.0,210.0,3240.0,34570.0,4340.0,70030.0
24,2013,8320.0,6970.0,21950.0,830.0,1350.0,250.0,5400.0,48400.0,8820.0,102290.0
25,2013,7070.0,6760.0,31150.0,840.0,1220.0,800.0,7740.0,51600.0,6820.0,114000.0
