ZE2020,libze2020,fc_2026_mean,fc_2026_std,fc_uncertainty_cv,pred_2025_std,herald_wmape,risk_score
2812,L'Aigle,651.097516118164,34.447868889104626,0.05290738796621807,76.03955978424648,21.586893502715885,28.214285714285715
2801,Argentan,275.45079480453916,11.59597682205568,0.042098178842737505,37.646085936337165,23.558149825982362,95.0
4401,Bar-le-Duc,989.869255447404,40.91256719241683,0.04133128387134829,99.07896773805494,9.540791614774898,46.42857142857143
5209,La Flèche,500.246799201615,19.965785185825453,0.039911869936380386,44.12504050997256,12.012313713252334,93.57142857142857
8429,Saint-Flour,600.4470566000127,20.777314404851865,0.034603074786479726,81.36022137224457,27.979225138805816,17.5
2703,Avallon,558.4404583489071,17.518069569558055,0.031369628234587846,59.7185265251323,10.117276280878622,96.78571428571429
5204,Château-Gontier-sur-Mayenne,382.81061663342007,10.691438191186531,0.02792879227125685,47.31593124525982,14.705428754972576,90.89285714285714
2701,Autun,605.8550818032666,15.192396991979939,0.025075958671108775,82.79248781357835,6.38543452333652,42.142857142857146
5218,Sablé-sur-Sarthe,512.15989489778,12.184949441918953,0.023791299481484975,50.69328786154661,10.926656278713972,99.64285714285714
56,Cosne-Cours-sur-Loire,1092.0104879210876,20.829839707305915,0.01907476158673226,94.58422444612629,5.292093775234134,29.28571428571429
4415,Romilly-sur-Seine,1008.2101370496023,19.001997460609818,0.018847258882177805,100.49603734452344,10.595952319686088,92.85714285714286
2806,Coutances,765.6243655241276,14.275973055658373,0.018646184341175445,74.56857797684134,14.04873543819373,97.85714285714285
5307,Lamballe-Armor,870.1499458300896,15.012772556863148,0.017253086814297897,72.159302413753,10.42648142801314,94.64285714285714
2818,Vire Normandie,420.5381543672668,7.229790768597054,0.017191759400463556,43.8612024947161,24.189564268271788,92.14285714285714
58,La Vallée de la Bresle-Vimeu,691.1377833478119,11.186566498344646,0.016185725578708607,60.021009005450445,11.31019990095595,99.28571428571429
9302,Briançon,987.4374424306723,15.844049448913301,0.01604562351809513,63.948149537227096,6.358598485369231,7.142857142857142
3214,Laon,1000.0239827336702,15.40821459656719,0.01540784507432234,51.03404290970852,8.494829598187467,98.21428571428571
4421,Sedan,964.6682595244804,14.483064484788175,0.015013518213947868,58.478036197790026,3.557649683891083,100.0
2810,Granville,829.439032981556,12.192353186810454,0.014699517025359925,90.56139246486022,13.21647458054349,45.89285714285714
4409,Haguenau,2573.625188597561,37.065179666573684,0.014401933828900515,92.4452385638661,0.8985085667839711,96.42857142857143
5208,La Ferté-Bernard,642.8483876650901,9.09103334688378,0.014141800028314,47.07545340572395,11.014230396755556,96.07142857142857
