ZE2020,graph_source,self_weight,top1_ze,top1_name,top1_weight,top2_ze,top2_name,top2_weight,top3_ze,top3_name,top3_weight,total_outflow,top3_concentration,graph_dependency_high,learned_adj_status,libze2020,opportunity_score,risk_score,risk_graph_component
51,mobility_prior,0.0,5212,Le Mans,0.263666881695693,61,Nogent-le-Rotrou,0.1146294190210412,5215,Mayenne,0.1025090015263073,0.9999999999999949,0.480805302243044,False,pending,Alençon,45.0,39.64285714285714,0.060714285714285714
52,mobility_prior,0.0,9313,Martigues-Salon,0.3190355788897714,53,Avignon,0.2402432428776546,7618,Nîmes,0.2069822531851145,0.999999999999996,0.7662610749525437,True,pending,Arles,48.92857142857142,61.07142857142858,0.6035714285714285
53,mobility_prior,0.0,9306,Cavaillon,0.2326940470890263,52,Arles,0.1572365294361796,9305,Carpentras,0.1329866632011632,0.9999999999999938,0.5229172397263723,True,pending,Avignon,51.78571428571429,66.78571428571428,0.1
54,mobility_prior,0.0,1101,Cergy-Vexin,0.2977850690758835,3211,Creil,0.1845492536286978,1109,Paris,0.1425122850341538,0.9999999999999938,0.624846607738739,True,pending,Beauvais,78.21428571428571,53.57142857142857,0.2857142857142857
55,mobility_prior,0.0,8422,Montélimar,0.3304587215150605,7605,Bagnols-sur-Cèze,0.1717957131230086,9316,Orange,0.1324577050645854,0.9999999999999969,0.6347121397026565,True,pending,Bollène-Pierrelatte,16.071428571428573,81.07142857142857,0.3142857142857143
56,mobility_prior,0.0,60,Nevers,0.2840780378318949,2407,Gien,0.1945266866878472,2702,Auxerre,0.1376457230267605,0.999999999999997,0.6162504475465045,True,pending,Cosne-Cours-sur-Loire,27.857142857142858,29.28571428571429,0.24285714285714285
57,mobility_prior,0.0,1115,Versailles-Saint-Quentin,0.4091168123112111,2403,Chartres,0.1539193687828621,1114,Seine-Yvelinoise,0.1136650415225424,0.9999999999999948,0.6767012226166191,True,pending,Dreux,78.92857142857143,66.42857142857143,0.4035714285714286
58,mobility_prior,0.0,3201,Abbeville,0.3720542575885645,2807,Dieppe-Caux maritime,0.2739163762148381,3202,Amiens,0.1228927361459748,0.9999999999999976,0.7688633699493793,True,pending,La Vallée de la Bresle-Vimeu,2.857142857142857,99.28571428571429,0.6142857142857143
59,mobility_prior,0.0,8405,Bourg-en-Bresse,0.283225021790083,8434,Villefranche-sur-Saône,0.2153972018947896,2707,Chalon-sur-Saône,0.1598014305511607,0.9999999999999947,0.6584236542360369,True,pending,Mâcon,71.78571428571429,57.14285714285714,0.3607142857142857
60,mobility_prior,0.0,56,Cosne-Cours-sur-Loire,0.2282886116582483,8424,Moulins,0.185982474416697,2402,Bourges,0.1654271057815112,0.9999999999999946,0.5796981918564597,True,pending,Nevers,77.32142857142857,4.285714285714286,0.18571428571428572
