ZE2020,libze2020,obs_2025,fc_2026_mean,fc_growth_2025_2026_pct,fc_2026_percentile,hist_mean,risk_score,risk_tier,herald_wmape,fc_uncertainty_cv
2801,Argentan,420,275.45079480453916,-34.416477427490676,0.35714285714285715,267.6666666666667,95.0,très élevé,23.558149825982362,0.042098178842737505
5209,La Flèche,626,500.246799201615,-20.088370734566297,1.4285714285714286,357.1111111111111,93.57142857142857,très élevé,12.012313713252334,0.039911869936380386
5204,Château-Gontier-sur-Mayenne,459,382.81061663342007,-16.598994197511967,0.7142857142857143,278.3333333333333,90.89285714285714,très élevé,14.705428754972576,0.02792879227125685
2703,Avallon,655,558.4404583489071,-14.741914755892047,2.142857142857143,382.44444444444446,96.78571428571429,très élevé,10.117276280878622,0.031369628234587846
3214,Laon,1083,1000.0239827336702,-7.661682111387792,17.857142857142858,658.7777777777778,98.21428571428571,très élevé,8.494829598187467,0.01540784507432234
4409,Haguenau,2780,2573.625188597561,-7.423554366994202,60.0,1832.5555555555557,96.42857142857143,très élevé,0.8985085667839711,0.014401933828900515
5218,Sablé-sur-Sarthe,553,512.15989489778,-7.385190796061488,1.7857142857142856,310.77777777777777,99.64285714285714,très élevé,10.926656278713972,0.023791299481484975
5307,Lamballe-Armor,922,870.1499458300896,-5.623650126888333,11.785714285714285,489.77777777777777,94.64285714285714,très élevé,10.42648142801314,0.017253086814297897
58,La Vallée de la Bresle-Vimeu,732,691.1377833478119,-5.582270034451922,5.0,431.3333333333333,99.28571428571429,très élevé,11.31019990095595,0.016185725578708607
5312,Pontivy-Loudéac,1307,1236.737095706053,-5.375891682780951,26.071428571428573,733.6666666666666,87.5,très élevé,3.112909911477626,0.011286942136906744
4421,Sedan,1016,964.6682595244804,-5.052336660976339,15.0,619.4444444444445,100.0,très élevé,3.557649683891083,0.015013518213947868
64,Valréas,1039,989.8072043248994,-4.734629035139612,16.785714285714285,738.2222222222222,80.71428571428572,très élevé,7.827342840644421,0.010890378648901846
5311,Ploërmel,940,898.2160585559379,-4.445100153623624,12.857142857142856,539.6666666666666,86.42857142857143,très élevé,6.289789903140431,0.012729408580476055
1110,Provins,806,774.171870914384,-3.9488993902749328,7.5,491.8888888888889,93.92857142857143,très élevé,5.765207680120627,0.0134519529791063
3201,Abbeville,998,960.9479034769636,-3.7126349221479384,13.928571428571429,656.5555555555555,97.5,très élevé,5.001417752180694,0.007716892369128673
9316,Orange,1267,1224.832422152178,-3.3281434765447537,25.357142857142854,781.3333333333334,90.89285714285714,très élevé,4.655521917744463,0.009005476772793702
5208,La Ferté-Bernard,662,642.8483876650901,-2.892992799835339,3.9285714285714284,380.44444444444446,96.07142857142857,très élevé,11.014230396755556,0.014141800028314
2806,Coutances,787,765.6243655241276,-2.7160907847360103,7.142857142857142,418.1111111111111,97.85714285714285,très élevé,14.04873543819373,0.018646184341175445
2803,Bernay,864,842.0068310598874,-2.545505664364882,10.357142857142858,532.1111111111111,95.35714285714286,très élevé,6.284176662985559,0.009218025323754016
7514,Langon,2007,1958.0634753348834,-2.438292210519015,47.5,1292.888888888889,89.28571428571429,très élevé,2.3285457518858115,0.007333721423348088
5306,Guingamp,717,699.6492701868763,-2.41990652902702,5.357142857142857,361.1111111111111,98.57142857142858,très élevé,20.438063668676524,0.012702300775268967
8410,Issoire,1122,1095.601532367246,-2.352804601849741,20.357142857142858,670.5555555555555,88.21428571428571,très élevé,6.555766771353229,0.00749070793886268
2407,Gien,943,921.7465095438841,-2.2538165913166335,13.214285714285715,538.2222222222222,95.71428571428572,très élevé,10.533041861423508,0.01050896094858919
2717,Sens,1730,1691.5930642658052,-2.2200540886817803,41.42857142857143,964.3333333333334,90.35714285714286,très élevé,2.603123309782928,0.007441171504466025
2716,Saint-Claude,741,725.4822942778442,-2.0941573174299357,5.714285714285714,425.77777777777777,84.64285714285714,très élevé,8.018691550649976,0.005925764100176623
7619,Nord-du-Lot,806,789.273539432476,-2.0752432465910653,7.857142857142857,522.1111111111111,85.0,très élevé,12.147525689159675,0.01008532207443749
7605,Bagnols-sur-Cèze,1198,1174.779405261132,-1.9382800282861379,23.214285714285715,695.6666666666666,87.85714285714286,très élevé,3.6336085858961185,0.008825434286317988
7513,La Teste-de-Buch,3593,3541.3640644108323,-1.4371259557241227,72.14285714285714,2268.222222222222,86.78571428571429,très élevé,1.6144147910929223,0.006248383706505271
7612,Foix-Pamiers,2117,2089.741801842726,-1.287586119852334,49.642857142857146,1424.0,79.28571428571428,très élevé,1.6825976244084764,0.0065580641865304965
5212,Le Mans,4818,4757.461881434976,-1.2564989324413445,80.71428571428572,2594.6666666666665,85.71428571428571,très élevé,1.352566714485806,0.008931143950831251
8402,Aubenas,2184,2159.0443998363066,-1.142655685150795,50.71428571428571,1468.0,75.0,élevé,2.3268333458114765,0.005773503848569223
7610,Castres-Mazamet,2481,2456.0504478495936,-1.0056248347604337,58.214285714285715,1418.2222222222222,83.92857142857143,très élevé,1.4296315002175486,0.007248326322446535
4423,Strasbourg,12190,12072.21861630637,-0.9662131558132021,93.21428571428572,8003.333333333333,94.28571428571428,très élevé,1.8019465251820972,0.01293416273500839
7519,Mont-de-Marsan,2037,2021.4547396057885,-0.7631448401674757,48.214285714285715,1180.7777777777778,79.64285714285714,très élevé,2.28648099783564,0.006196425178999859
7527,Saint-Junien,1194,1185.081859172562,-0.7469129671221136,23.92857142857143,746.4444444444445,88.57142857142857,très élevé,4.589153983693019,0.006412406979955097
7607,Cahors,1368,1358.5568864774768,-0.6902860762078336,31.428571428571427,865.5555555555555,58.57142857142858,élevé,3.5433914825280626,0.004465223947343696
5221,Segré-en-Anjou Bleu,658,654.4352619976632,-0.5417534957958592,4.642857142857143,354.3333333333333,87.14285714285714,très élevé,10.132331669169377,0.009236145007353548
5217,Pornic,1223,1219.2560285180446,-0.306130129350404,25.0,727.6666666666666,81.42857142857143,très élevé,3.6715518162950858,0.00566781733576735
55,Bollène-Pierrelatte,1317,1316.9470618255982,-0.004019603219573901,30.0,794.5555555555555,81.07142857142857,très élevé,4.031572543440789,0.007572879665020898
