ZE2020,herfindahl_hist,sectoral_concentration_high,dominant_sector_1,dominant_sector_2,dominant_sector_3,dominant_3_share_pct,hist_share_BE_pct,hist_share_FZ_pct,hist_share_GI_pct,hist_share_JZ_pct,hist_share_KZ_pct,hist_share_LZ_pct,hist_share_MN_pct,hist_share_OQ_pct,hist_share_RU_pct,growth_BE_pct,growth_FZ_pct,growth_GI_pct,growth_JZ_pct,growth_KZ_pct,growth_LZ_pct,growth_MN_pct,growth_OQ_pct,growth_RU_pct,nat_growth_BE_pct,nat_growth_FZ_pct,nat_growth_GI_pct,nat_growth_JZ_pct,nat_growth_KZ_pct,nat_growth_LZ_pct,nat_growth_MN_pct,nat_growth_OQ_pct,nat_growth_RU_pct,fc_prop_BE,fc_prop_FZ,fc_prop_GI,fc_prop_JZ,fc_prop_KZ,fc_prop_LZ,fc_prop_MN,fc_prop_OQ,fc_prop_RU,libze2020,opportunity_score,risk_score
51,0.18993613099278334,False,GI,MN,RU,61.87535092644581,7.102751263335206,10.892756878158337,34.72768107804604,2.358225715889949,3.425042111173498,3.64963503649635,15.889949466591801,10.696238068500842,11.257720381807973,79.46428571428571,-12.318840579710146,22.054380664652566,27.083333333333332,-20.408163265306122,20.454545454545457,18.614718614718615,0.9090909090909091,26.89655172413793,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.1268283627927303,0.08612840920686718,0.26135914623737333,0.03666150532662863,0.03304402288049456,0.04908676445484158,0.1988385379314422,0.08782643228769299,0.12022680938243861,Alençon,45.0,39.64285714285714
52,0.1869627808720503,False,GI,MN,FZ,63.08014119492744,7.935677866387763,11.086416525035952,33.089292718002355,2.340175186298863,2.902340175186299,3.556020394822853,18.904431951889137,9.321479932017256,10.864165250359523,-7.174887892376682,-10.181818181818182,17.580872011251756,38.095238095238095,-14.457831325301203,0.9174311926605505,19.868637110016422,15.165876777251185,-8.287292817679557,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.09088300988078113,0.09286023750901216,0.26632273197174067,0.04158297851681705,0.03227980509400362,0.04699341952800744,0.21092621535062786,0.0977760069072246,0.12037559971213337,Arles,48.92857142857142,61.07142857142858
53,0.19424114963467567,False,GI,MN,FZ,66.10792192881746,5.1664753157290475,12.893226176808268,33.87485648679679,2.801377726750861,2.864523536165327,2.881745120551091,19.3398392652124,10.0,10.177956371986223,4.225352112676056,-8.006042296072508,16.61858049624928,16.599190283400812,-16.091954022988507,41.23711340206185,9.745454545454546,21.193415637860085,2.5034770514603615,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.07593236491084093,0.08792756274342532,0.2712710499763488,0.043995602056384045,0.03100434690713879,0.04496533609926695,0.21943962723016738,0.10805209130048747,0.11741201058030123,Avignon,51.78571428571429,66.78571428571428
54,0.19184356760386356,False,GI,MN,FZ,64.64730290456431,5.964730290456432,12.448132780082988,34.66804979253112,2.7178423236514524,2.7489626556016598,5.165975103734439,17.531120331950206,8.609958506224066,10.145228215767634,29.054054054054053,-13.563829787234042,29.411764705882355,46.09375,-24.137931034482758,-25.543478260869566,22.812051649928264,-2.848101265822785,1.9277108433734942,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.07967308908700939,0.09175056442618365,0.27199926674366,0.043468464538454946,0.03137077093124385,0.04604438468813893,0.21868567466735836,0.0993979379534721,0.11760983243584629,Beauvais,78.21428571428571,53.57142857142857
55,0.17984891774969364,False,GI,MN,RU,61.554192229038854,9.114811568799299,12.182296231375986,31.551270815074496,2.2494887525562373,2.1034180543382996,3.359626059012562,17.411627227578148,9.436167104878761,12.591294186386213,30.952380952380953,-26.717557251908396,0.2631578947368421,23.52941176470588,-29.03225806451613,0.0,17.786561264822133,-6.6115702479338845,-5.0,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.12975436076521868,0.08582303002476688,0.23858466446399684,0.04289243221282954,0.037650388106703715,0.051735197752714124,0.20038186907768246,0.09082709774374957,0.12235097214579578,Bollène-Pierrelatte,16.071428571428573,81.07142857142857
56,0.1922631648811953,False,GI,MN,BE,63.19290465631929,12.195121951219512,10.33259423503326,34.85587583148559,1.951219512195122,2.305986696230599,4.301552106430155,16.14190687361419,7.62749445676275,10.288248337028826,32.3943661971831,30.0,22.82608695652174,0.0,14.285714285714285,50.0,36.241610738255034,-2.941176470588235,-6.896551724137931,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.1443503618240356,0.08860673233866687,0.26425902843475335,0.02644515112042422,0.028517812676727726,0.04707739800214764,0.19239490479230875,0.0848209403455257,0.12352767139673229,Cosne-Cours-sur-Loire,27.857142857142858,29.28571428571429
57,0.2049575635779292,False,GI,MN,FZ,66.45077720207254,5.458919319022946,11.806069578090304,36.95410806809771,3.3493708364174686,2.775721687638786,3.774981495188749,17.69059955588453,7.8275351591413775,10.362694300518134,23.52941176470588,-17.937219730941703,31.5018315018315,30.136986301369863,-35.294117647058826,-1.098901098901099,3.3112582781456954,-2.824858757062147,14.146341463414632,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.09746804013848301,0.09249815642833706,0.2659455269575119,0.04127504229545589,0.03249903880059714,0.0479227446019649,0.21065531522035594,0.0912106223404407,0.12052550986409183,Dreux,78.92857142857143,66.42857142857143
58,0.20200778410295686,False,GI,MN,RU,64.04736275565124,8.180839612486544,8.934337997847146,37.51345532831001,2.099031216361679,3.552206673842842,5.005382131324004,14.854682454251883,8.180839612486544,11.679224973089344,58.57142857142858,7.547169811320755,12.571428571428573,23.52941176470588,-14.285714285714285,33.33333333333333,4.724409448818897,-19.148936170212767,18.88888888888889,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.14929988682270048,0.0833134993910789,0.2329974472522735,0.03934654146432871,0.03645528350025412,0.05020339526236053,0.20335213392972942,0.08350612670183177,0.12152565568685528,La Vallée de la Bresle-Vimeu,2.857142857142857,99.28571428571429
59,0.18852323131998913,False,GI,MN,FZ,63.214393710311455,6.939824614454188,11.32446325975204,34.185061989718776,2.797097066827941,2.918052615663744,4.747505291805262,17.704868460840643,9.60084668884185,9.782280012095555,24.789915966386555,-14.785992217898833,15.055467511885896,37.333333333333336,-6.493506493506493,10.619469026548673,30.612244897959183,8.294930875576037,-1.342281879194631,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.09628900662064548,0.09022495597600932,0.2621246963739395,0.0429680790752172,0.03365242611616845,0.0488231603056192,0.20913673043251033,0.09638775140047069,0.1203931979835033,Mâcon,71.78571428571429,57.14285714285714
60,0.19753769113762915,False,GI,MN,BE,61.62642947903431,10.059296908089793,9.487505294366795,36.55230834392207,2.5201185938161794,2.3718763235916986,4.46844557390936,15.014824227022446,9.551037695891571,9.974587039390089,15.172413793103448,12.5,12.087912087912088,31.818181818181817,-20.51282051282051,-29.523809523809526,45.65217391304348,40.51724137931034,27.127659574468083,80.46820054254998,6.50213406389258,8.837104169148484,75.49105834066256,11.139686454113088,42.67796349860496,54.625098270440255,35.41830266197776,60.54338130710446,0.10837949663400648,0.08813690170645709,0.2748029708862304,0.038675872609019224,0.03257979247719045,0.04924940243363375,0.19852882325649257,0.089476728439331,0.12017001807689662,Nevers,77.32142857142857,4.285714285714286
