ZE2020,libze2020,opportunity_score,opportunity_tier,risk_score,risk_tier,score_status,opp_c_local_trend,opp_c_national_diff,opp_c_vs_baseline,opp_c_reliability,opp_c_low_uncertainty,risk_c_deceleration,risk_c_volatility,risk_c_concentration,risk_c_graph_dep,risk_c_uncertainty,risk_c_herald_error,herald_wmape_all,herald_wmape_aligned,herald_n_years,ridge_wmape,ridge_n_years,herald_vs_ridge_pct,comparison_years,herald_only_years,baseline_ridge_ar_status,baseline_arima_status,baseline_lstm_status,baseline_stgnn_ext_status,learned_graph_status,fc_2026_mean,fc_2026_std,fc_2026_ridge,fc_2026_percentile,fc_growth_2025_2026_pct,explication_fr
8408,Clermont-Ferrand,96.42857142857143,très élevée,7.5,faible,exploratoire_poids_non_calibres,0.8464285714285714,0.9,0.9535714285714286,0.5214285714285714,0.8678571428571429,0.19285714285714284,0.8857142857142857,0.33214285714285713,0.24642857142857144,0.13214285714285715,0.4785714285714286,2.4641433011761036,2.323599658681242,5,7.8022008992286915,4,-70.21866408347742,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,8588.042957231639,24.697846621846526,8552.152787706493,90.0,8.69564557944107,"HERALD prévoit 8588 créations en 2026 (p90 national). Le signal sectoriel est porté principalement par GI et MN. La zone présente une forte dépendance au pôle Issoire (concentration mobilité top3 = 0.62). HERALD est 0.4% au-dessus de la baseline Ridge AR. → Score d'opportunité très élevée, risque faible: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
2714,Montbéliard,96.07142857142857,très élevée,13.928571428571429,faible,exploratoire_poids_non_calibres,0.9892857142857143,0.6392857142857142,0.6928571428571428,0.7071428571428571,0.8642857142857143,0.014285714285714235,0.4928571428571429,0.9892857142857143,0.8357142857142857,0.1357142857142857,0.29285714285714287,1.9790348440716383,1.1268799557250953,5,6.838339294975836,4,-83.52114589352097,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,2833.624321456061,8.20482019491604,2893.3091210318667,63.92857142857142,15.422579285379262,"HERALD prévoit 2834 créations en 2026 (p64 national). Le signal sectoriel est porté principalement par GI et MN. La zone présente une forte dépendance au pôle Belfort (concentration mobilité top3 = 0.85). HERALD est 2.1% en dessous de la baseline Ridge AR. → Score d'opportunité très élevée, risque faible: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
4407,Épinal,95.71428571428572,très élevée,1.4285714285714286,faible,exploratoire_poids_non_calibres,0.7678571428571429,0.625,0.6964285714285714,0.9607142857142857,0.9821428571428571,0.07499999999999996,0.49642857142857144,0.7285714285714285,0.5142857142857142,0.017857142857142856,0.039285714285714285,1.332349823215381,0.7612334334106073,5,6.216187307514839,4,-87.75401390350092,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,2743.22936108965,4.972022851632238,2802.2429345454607,62.5,10.614087140711693,"HERALD prévoit 2743 créations en 2026 (p62 national). Le signal sectoriel est porté principalement par GI et MN. La zone présente une forte dépendance au pôle Nancy (concentration mobilité top3 = 0.73). HERALD est 2.1% en dessous de la baseline Ridge AR. → Score d'opportunité très élevée, risque faible: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
2410,Orléans,95.35714285714286,très élevée,33.214285714285715,modéré,exploratoire_poids_non_calibres,0.9285714285714286,0.8857142857142857,0.6285714285714286,0.6535714285714286,0.775,0.2857142857142857,0.8821428571428571,0.8321428571428572,0.010714285714285714,0.225,0.3464285714285714,2.0790936750127726,2.054217812487714,5,5.808994941462299,4,-64.63729383157967,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,7938.497376785077,27.525226221544134,8006.361088046826,88.57142857142857,6.886998475630497,"HERALD prévoit 7938 créations en 2026 (p89 national). Le signal sectoriel est porté principalement par GI et MN. HERALD est 0.8% en dessous de la baseline Ridge AR. → Score d'opportunité très élevée, risque modéré: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
1114,Seine-Yvelinoise,95.0,très élevée,51.78571428571429,élevé,exploratoire_poids_non_calibres,0.85,0.9678571428571429,0.09285714285714286,0.9392857142857143,0.95,0.37142857142857144,0.9785714285714285,0.775,0.9607142857142857,0.05,0.060714285714285714,1.4148369386044386,1.3963703012200668,5,3.848057690885599,4,-63.71233454925922,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,18675.864422910956,42.12432116487557,18853.65018874958,96.78571428571429,6.161121094309663,HERALD prévoit 18676 créations en 2026 (p97 national). Le signal sectoriel est porté principalement par GI et MN. La zone présente une forte dépendance au pôle Paris (concentration mobilité top3 = 0.90). HERALD est 0.9% en dessous de la baseline Ridge AR. → Score de risque élevé: zone à surveiller. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR.
8416,Le Genevois Français,94.64285714285714,très élevée,36.07142857142857,modéré,exploratoire_poids_non_calibres,1.0,0.8821428571428571,0.9892857142857143,0.4892857142857143,0.42500000000000004,0.046428571428571375,0.8892857142857142,0.32142857142857145,0.725,0.575,0.5107142857142857,2.6349900500542405,2.1242211434798715,5,6.50192226093925,4,-67.32933649112852,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,7835.079566881131,43.241892067774565,7679.595568010281,88.21428571428571,11.817890208093772,"HERALD prévoit 7835 créations en 2026 (p88 national). Le signal sectoriel est porté principalement par GI et MN. La zone présente une forte dépendance au pôle Annecy (concentration mobilité top3 = 0.80). HERALD est 2.0% au-dessus de la baseline Ridge AR. → Score d'opportunité très élevée, risque modéré: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
2706,Besançon,94.28571428571428,très élevée,5.357142857142857,faible,exploratoire_poids_non_calibres,0.6857142857142857,0.8357142857142857,0.9285714285714286,0.6071428571428572,0.9607142857142857,0.11785714285714288,0.8107142857142857,0.6392857142857142,0.11071428571428571,0.039285714285714285,0.39285714285714285,2.179316708285122,1.7028930642383502,5,5.101742911516906,4,-66.62134698331893,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,5443.4731291045455,11.814711273261235,5438.017833589485,83.57142857142857,9.747442119043255,"HERALD prévoit 5443 créations en 2026 (p84 national). Le signal sectoriel est porté principalement par GI et MN. HERALD est 0.1% au-dessus de la baseline Ridge AR. → Score d'opportunité très élevée, risque faible: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
4411,Mulhouse,93.92857142857143,très élevée,38.21428571428571,modéré,exploratoire_poids_non_calibres,0.6928571428571428,0.8678571428571429,0.95,0.525,0.975,0.18214285714285716,0.8642857142857143,0.8821428571428571,0.7285714285714285,0.025,0.475,2.456300948930538,2.154925730856759,5,5.506419126361846,4,-60.86520692658309,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,7185.313712863133,13.191099444663472,7164.488337900744,86.78571428571429,8.868389588835353,"HERALD prévoit 7185 créations en 2026 (p87 national). Le signal sectoriel est porté principalement par GI et MN. La zone présente une forte dépendance au pôle Saint-Louis (concentration mobilité top3 = 0.81). HERALD est 0.3% au-dessus de la baseline Ridge AR. → Score d'opportunité très élevée, risque modéré: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
2403,Chartres,93.57142857142857,très élevée,4.642857142857143,faible,exploratoire_poids_non_calibres,0.8392857142857143,0.7035714285714286,0.7178571428571429,0.7142857142857143,0.8785714285714286,0.2142857142857143,0.7321428571428571,0.4642857142857143,0.125,0.12142857142857143,0.2857142857142857,1.9612362315651186,1.4431596959200774,5,4.9625856532861325,4,-70.91919824165768,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,3365.394282530238,9.392789504328546,3421.667213819911,70.35714285714286,8.107750804055184,"HERALD prévoit 3365 créations en 2026 (p70 national). Le signal sectoriel est porté principalement par GI et MN. HERALD est 1.6% en dessous de la baseline Ridge AR. → Score d'opportunité très élevée, risque faible: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
9303,Brignoles,93.21428571428572,très élevée,3.214285714285714,faible,exploratoire_poids_non_calibres,0.7964285714285714,0.7321428571428571,0.8428571428571429,0.5678571428571428,0.9714285714285714,0.06428571428571428,0.6857142857142857,0.45714285714285713,0.525,0.02857142857142857,0.43214285714285716,2.319328655760897,1.5102669888163174,5,5.1355957397647005,4,-70.59217537076792,"[2021, 2022, 2023, 2024]",[2025],disponible_2021_2024,pending_hpc_battery,pending_hpc_battery,pending_hpc_battery,pending_npz_extraction,3575.482858791432,6.663344998552837,3605.6843535805556,73.21428571428571,11.212530600044545,"HERALD prévoit 3575 créations en 2026 (p73 national). Le signal sectoriel est porté principalement par GI et MN. La zone présente une forte dépendance au pôle Toulon (concentration mobilité top3 = 0.73). HERALD est 0.8% en dessous de la baseline Ridge AR. → Score d'opportunité très élevée, risque faible: zone candidate à l'opportunité. Note: baselines ARIMA/LSTM pending_hpc_battery — comparaison actuelle limitée à Ridge AR."
