ZE2020,libze2020,obs_2025,obs_2025_vs_national_pct,obs_2025_percentile,obs_2025_national_rank,obs_growth_2024_2025_pct,hist_mean,pred_growth_vs_hist_pct,fc_2026_mean,fc_2026_std,fc_2026_ridge,fc_growth_2025_2026_pct,fc_acceleration_2026_vs_hist_pct,fc_2026_vs_national_pct,fc_2026_percentile,fc_2026_national_rank,herald_wmape,ridge_wmape,opportunity_score,opportunity_tier
1109,Paris,246451,5339.23157746219,100.0,1,9.514795213274144,135225.55555555556,70.62932863639936,269578.35172535654,2220.2365875932906,262905.63119313,9.384158199949091,99.35458990560699,5505.547846042101,100.0,1,2.9275916730429095,3.5272851312220235,87.14285714285714,très élevée
8421,Lyon,46119,917.8571850833584,99.64285714285714,2,3.766452919338508,27700.0,62.33829253158844,48574.44908345033,308.6869345897101,49393.687849929825,5.324159421172034,75.35902196191455,910.045490261841,99.64285714285714,2,1.688938429157303,6.281153979579544,54.64285714285714,élevée
9312,Marseille,31795,601.7231336266047,99.28571428571429,3,7.710288288898676,17141.444444444445,80.56122235565014,34225.68909098215,106.5504967429589,34034.91661249704,7.644878411643818,99.6663070134368,611.6808027623824,99.28571428571429,3,2.794190757845612,11.172515540629828,96.78571428571429,très élevée
7505,Bordeaux,31436,593.7999191283518,98.92857142857143,4,2.547708367313652,17592.444444444445,76.57736337704496,33172.3251986295,309.0224959025223,33692.248985555765,5.523365563778788,88.56006795067674,589.7774056235368,98.92857142857143,4,1.7458207817209677,9.19274530067678,67.5,élevée
7625,Toulouse,30997,584.1110858004047,98.57142857142858,5,4.240651062684961,17106.222222222223,77.51451133533514,33031.828087522044,267.04763502360083,33213.951386167064,6.564596856218487,93.0983221100174,586.8559422586079,98.57142857142858,5,2.0323822998673275,8.53503688596506,69.64285714285714,élevée
7616,Montpellier,20856,360.2968289012885,97.85714285714285,7,5.3546170943624976,12053.555555555555,69.6075705737555,22177.81144856809,99.9395040735712,22351.142740529758,6.337799427349871,83.99393727725595,361.1601131907777,98.21428571428571,6,2.0592660803468044,6.652670659711145,68.21428571428572,élevée
1112,Roissy,21392,372.12647506023995,98.21428571428571,6,0.73934542029668,11120.444444444445,99.093553686109,22012.2372652783,152.52069020963424,22908.098684956036,2.899388861622576,97.9438625429686,357.7172031775663,97.85714285714285,7,1.9178026035783255,4.267643264905435,76.42857142857142,très élevée
9315,Nice,18981,318.9151375803297,97.5,8,12.479999999999999,10833.0,69.28334058630375,20869.57172147762,61.265337596047246,20385.04936124813,9.94980096663832,92.64812814065928,333.95688883183556,97.5,8,2.121714665558942,6.8321079006972765,97.14285714285714,très élevée
3216,Lille,18634,311.256765906531,97.14285714285714,9,0.5883940620782726,10985.444444444445,67.39157708504612,19158.51854596086,153.45811763149132,19947.239746522384,2.8148467637697667,74.39912097183921,298.3776578546646,97.14285714285714,9,1.72566761198529,7.708090082487068,48.214285714285715,modérée
1114,Seine-Yvelinoise,17592,288.25958064976345,96.78571428571429,10,5.518234165067178,9382.777777777777,90.28365736124738,18675.864422910956,42.12432116487557,18853.65018874958,6.161121094309663,99.04408763834283,288.3414633214994,96.78571428571429,10,1.4148369386044386,3.848057690885599,95.0,très élevée
5216,Nantes,17338,282.6537408654842,96.42857142857143,11,3.313073531164343,10634.333333333334,60.223448498741725,18083.986098639198,40.72280034156625,18562.015621344275,4.302607559344779,70.05284235312537,276.0340868407622,96.42857142857143,11,2.101495588024298,8.090898163498592,59.285714285714285,élevée
9304,Cannes,13655,201.36906399343565,96.07142857142857,12,5.411455920951058,8330.444444444445,62.547204608311816,14539.499748989921,39.80773804938236,14646.262130734307,6.477478938044097,74.53450228200347,202.33088443063605,96.07142857142857,12,1.45237134138632,5.23183789423766,77.85714285714286,très élevée
9318,Toulon,13349,194.61557196985518,95.35714285714286,14,5.910821961282132,7703.888888888889,71.11845717511514,14283.562575460917,43.39528781124975,14337.796910788067,7.000993149006797,85.40717268212052,197.0089879852596,95.71428571428572,13,1.8985711850796296,6.887568419671087,91.42857142857143,très élevée
1101,Cergy-Vexin,13508,198.1247393938725,95.71428571428572,13,4.276671298440636,7070.222222222223,95.53937521117518,14189.495139446935,40.049410648362155,14472.575341168125,5.045122441863602,100.693764544604,195.05297219261138,95.35714285714286,14,1.9162356589025087,4.603392440701333,90.0,très élevée
5315,Rennes,13095,189.00973218557598,95.0,15,7.1253272251308895,6796.222222222223,87.7516504686748,14120.410452712338,50.16153523049975,14077.461011279385,7.830549467066347,107.7685218494115,193.61644172033462,95.0,15,2.0193408903164687,6.9454727742023845,99.28571428571429,très élevée
1104,Évry-Courcouronnes,12449,174.75236013579502,94.64285714285714,16,2.79085129221369,6563.0,95.40203186900045,12960.063367262066,39.08527510604242,13324.192917432962,4.105256384143836,97.47163442422774,169.48846162149644,94.64285714285714,16,1.8705114864892205,4.253301867434206,87.85714285714286,très élevée
1115,Versailles-Saint-Quentin,12127,167.64574434627568,93.92857142857143,18,5.150437873926992,7110.666666666667,73.23779923396441,12856.302537075107,44.84349279455249,13008.359515682288,6.013874305888574,80.80305461853234,167.3308837060761,94.28571428571428,17,1.718210608881661,5.805693759848151,72.85714285714285,élevée
8409,Grenoble,11612,156.279573130119,93.57142857142857,19,6.7377516315837855,7223.0,57.306424263513364,12461.90170216971,50.8542993411401,12490.766308502487,7.319167259470453,72.53082794087926,159.12980696370647,93.92857142857143,18,1.5975402584398974,6.65961846404771,82.14285714285714,très élevée
