source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.44959387,0.022436855,0.000274803,0.0011962013,0.01715094,6.465953e-05,0.0042271167,0.21079005,0.0016084057,0.0057708626,0.00023439078,0.00025055566,0.0012123662,0.00034754496,0.083620936,0.10924227,0.0044615073,0.0003394625,0.0020286927,0.007678319,0.0009294807,0.0081471,0.00012123661,0.00084057386,0.0024813095,0.00021014347,0.0044938372,0.0013255203,0.00012123661,0.0024893917,0.008712871,0.0026995353,0.034916144,0.00048494645,0.0011315417,0.0008486563,0.0014790867,0.0039684786,0.00095372804,0.00011315417,0.0003556274,0.00064659526
1,0.0021924279,0.783157,0.00020230016,0.00011885134,0.00045517535,6.574755e-05,0.00322163,0.04989986,0.0014338023,0.0021974854,0.00012896635,7.8391306e-05,0.0005310379,0.00029839273,0.01126559,0.025644073,0.006117051,0.00018965639,0.0018131151,0.008319594,0.0015475962,0.0438789,6.574755e-05,0.00036919778,0.0013882848,0.00010620758,0.0022278305,0.0007737981,7.080505e-05,0.000978627,0.017966783,0.00021494391,0.0022177154,0.00018712765,0.0002579327,0.00094828196,0.0006144867,0.027634202,0.00064988923,3.5402525e-05,0.0001314951,0.00040460032
2,0.0005736686,0.0033464003,0.7644134,0.0002868343,9.561144e-05,0.049622335,0.0017210059,0.03069127,0.0064059664,0.00086050294,0.0026771203,0.0,0.00019122288,0.00019122288,0.001529783,0.0040156804,0.00086050294,0.00086050294,0.016540779,0.0007648915,0.00019122288,0.0005736686,0.0046849605,0.0011473373,0.017688116,0.02065207,0.006119132,0.00019122288,0.0009561143,0.00019122288,0.00038244575,0.0010517258,0.0002868343,0.00086050294,9.561144e-05,0.00038244575,0.0012429487,0.0013385601,0.0025815088,0.053351182,0.0002868343,9.561144e-05
3,0.0036248164,0.006890147,0.0004793146,0.4032234,0.03241365,0.00020970013,0.0023965728,0.14250621,0.017465025,0.0068002758,0.0011982864,0.0001497858,0.00017974297,0.0002396573,0.007549205,0.021509241,0.0021868728,0.0011383721,0.0068002758,0.0024564872,0.00041940025,0.00221683,0.0011683293,0.095803,0.009616248,0.0009885863,0.021299541,0.0007189719,0.0006590575,0.0010784578,0.0010485006,0.060813036,0.000928672,0.0036248164,0.0006590575,0.0004793146,0.13324945,0.0023965728,0.0017375153,8.9871486e-05,0.0005991432,0.0009885863
4,0.05591583,0.018134864,0.00019129603,0.0052989,0.5103013,0.00015303683,0.0057006218,0.07934959,0.0017790531,0.05545672,0.00013390722,0.00043998088,0.0017025346,0.0005738881,0.17023434,0.022936394,0.00336681,0.00030607366,0.0020468675,0.0043998086,0.0008034433,0.0052606408,0.00011477762,0.0011860353,0.0014729794,7.6518416e-05,0.0033285508,0.0022955523,0.00021042563,0.0068675275,0.005490196,0.0029076997,0.0074796746,0.00019129603,0.009048303,0.00038259206,0.009029172,0.002984218,0.00042085125,3.8259208e-05,0.00021042563,0.0017790531
5,0.00067842606,0.005156038,0.05203528,0.00040705563,0.00020352782,0.67299867,0.0014246947,0.023270013,0.002781547,0.0016960652,0.004613297,0.0,6.784261e-05,0.00013568522,0.0023066485,0.004138399,0.0020352781,0.0033242877,0.04274084,0.0018317504,0.00040705563,0.0018995929,0.0385346,0.0011533243,0.012211669,0.057327002,0.005563094,0.00074626866,0.00061058346,0.00027137043,0.0010176391,0.0010854817,0.00054274086,0.00054274086,0.0018995929,0.0010176391,0.0012211669,0.0018317504,0.041044775,0.00834464,0.00067842606,0.00020352782
6,0.0039377334,0.02103755,0.00018431945,0.00017594128,0.0014410429,8.378157e-05,0.72094035,0.044730976,0.0011980764,0.01613633,0.00017594128,0.0054793144,0.008512207,0.0051525664,0.045426365,0.009752174,0.0041555655,0.00023458838,0.0016840094,0.0049933814,0.00097186613,0.00427286,5.8647096e-05,0.00046079862,0.0013405051,0.00014242866,0.002035892,0.039787866,0.00012567235,0.027471974,0.0032591028,0.00023458838,0.002253724,0.00021783207,0.012969386,0.00080430304,0.0014410429,0.00331775,0.00051106757,2.513447e-05,0.00010053788,0.0027647917
7,0.0026377914,0.013991886,0.00039581006,0.0007124581,0.00048910815,0.000121570236,0.0016991561,0.81147003,0.006991702,0.0013881625,0.00061916,3.675379e-05,9.3298084e-05,0.00011874302,0.0058749523,0.07310046,0.0032428154,0.00054565247,0.0052840644,0.008614523,0.00033361133,0.0056911833,0.00036753793,0.0023720332,0.005340609,0.00033643856,0.035594635,0.0005202075,0.00022900439,0.00033926577,0.0015238688,0.0021288928,0.0012976916,0.00073507585,0.00018094174,0.00055978855,0.001447534,0.0018744434,0.0010206245,0.00010177973,0.00035905628,0.00021769553
8,0.0009962003,0.00636145,0.00044117437,0.0014444903,0.0010104317,0.00024905006,0.0013092917,0.099427894,0.6241835,0.0009535059,0.0015796889,3.5578578e-05,0.00016366146,9.2504306e-05,0.0032091879,0.018778374,0.0018145075,0.0015654574,0.009563522,0.0019710532,0.0003059758,0.001501416,0.0010958202,0.020301137,0.045355573,0.0011883245,0.07460828,0.00032732292,0.0065179956,0.00039136436,0.0012950603,0.03437602,0.00041271152,0.029672535,0.00020635576,0.00051233155,0.0028391706,0.0012879445,0.0016437303,0.0002277029,0.00059772015,0.00018500861
9,0.0031813101,0.011721904,0.00013867249,0.00031813103,0.021616595,0.0001468297,0.015376333,0.031046325,0.0015009259,0.7008508,8.972926e-05,0.0014519827,0.0009870218,0.0012969957,0.05068072,0.009388944,0.0032220962,0.00011420088,0.0011746376,0.004396734,0.0007423057,0.0033199827,6.525764e-05,0.00053021836,0.000913607,0.00012235809,0.0017537993,0.0029855373,3.262882e-05,0.048413016,0.002496105,0.0004975895,0.0019658867,0.00017945853,0.03146234,0.0005710044,0.02367221,0.0027326639,0.000513904,3.262882e-05,9.788647e-05,0.018198727
10,0.00062671746,0.005278889,0.0054235165,0.00062671746,0.00031335873,0.0077134455,0.0016391071,0.06544376,0.017933762,0.0009400762,0.5287326,0.00016873163,4.8209033e-05,0.000120522585,0.0025550788,0.008653522,0.002048884,0.010750615,0.017620401,0.0025068698,0.00033746325,0.0019765703,0.05481367,0.0022658247,0.17150363,0.039772455,0.023887577,0.0002651497,0.011835318,0.00036156777,0.00081955356,0.0014944801,0.0005302994,0.0015908981,0.0005785084,0.0005785084,0.0016873162,0.0012052258,0.0022658247,0.0016391071,0.0013016439,0.0001446271
11,0.002235736,0.0095242355,0.00031300305,0.00017885889,0.0010731533,0.00013414417,0.09729923,0.016946878,0.00071543554,0.021999642,0.00031300305,0.47039884,0.0008942944,0.07060454,0.02414595,0.0054999106,0.0026828833,8.942944e-05,0.000804865,0.0042926134,0.0006260061,0.0034430334,4.471472e-05,0.00031300305,0.0008495797,0.0,0.0019227329,0.06778751,4.471472e-05,0.114380255,0.0021910213,0.00017885889,0.0012072974,8.942944e-05,0.014934717,0.0006260061,0.0037560365,0.0024145949,0.001117868,0.0,0.00017885889,0.053747095
12,0.0046080314,0.02249635,8.586393e-05,0.00020034918,0.002032113,5.724262e-05,0.066802144,0.023440855,0.00060104753,0.0048942445,8.586393e-05,0.00028621312,0.49992844,0.0010589885,0.31635135,0.007842239,0.0030052378,2.862131e-05,0.001287959,0.0034918,0.00057242624,0.0042645754,0.0,0.00022897049,0.0009445033,8.586393e-05,0.0011162312,0.0034631786,0.00011448524,0.0036349066,0.011505767,8.586393e-05,0.005810126,0.00034345573,0.003405936,0.00060104753,0.00057242624,0.0034345575,0.00065829017,0.0,0.00011448524,0.00045794097
13,0.0050944877,0.02037795,0.00034834104,0.00043542628,0.0022642168,4.354263e-05,0.038883567,0.044848908,0.0025254725,0.018810416,0.00026125577,0.030087955,0.00074022467,0.64038146,0.026386833,0.014935122,0.0046155187,0.00026125577,0.0021771314,0.007358704,0.0010014805,0.005355743,0.00013062789,0.0019158756,0.0016110772,8.708526e-05,0.0037011234,0.052904293,4.354263e-05,0.01955064,0.0030044413,0.0006966821,0.002830271,0.00043542628,0.0050944877,0.0011321084,0.0041800924,0.0044848905,0.0017852477,8.708526e-05,0.00021771314,0.028912306
14,0.014778793,0.03260663,0.00019434416,0.00025912555,0.015646864,6.478139e-05,0.017106604,0.06995957,0.001200615,0.020652305,0.000107968975,0.00046642596,0.022427315,0.0009587645,0.69303125,0.020414773,0.0043446715,0.00017706912,0.0017275036,0.0065126885,0.0010192271,0.0071907337,8.637518e-05,0.00042755713,0.001200615,0.00012524401,0.002116192,0.0036623075,5.614387e-05,0.0049881665,0.02045796,0.00034118196,0.018190613,0.00022889422,0.009129857,0.0007557828,0.0013344965,0.004262615,0.00047938226,2.1593794e-05,5.614387e-05,0.0012308463
15,0.018758042,0.03005143,0.0002557736,0.00079093064,0.0011490138,0.00012198433,0.0022980275,0.37591636,0.004175012,0.0024003368,0.0002754485,0.00012198433,0.00042497768,0.0002911884,0.012686371,0.44222468,0.003954653,0.00024396867,0.0031715927,0.02434571,0.00071616605,0.027202506,0.00015346416,0.001274933,0.0030063235,0.00019281394,0.022260172,0.0006807513,0.00016920407,0.00094045984,0.003273902,0.0022783524,0.006233006,0.00048006736,0.000362018,0.0010624442,0.0009680047,0.003639855,0.00084602035,4.7219743e-05,0.00012985429,0.00042497768
16,0.0017382508,0.029521197,0.00035462642,9.3016766e-05,0.00036625352,6.976257e-05,0.0019591656,0.041880798,0.0011859637,0.002377741,0.00015696579,8.138967e-05,0.00032555868,0.00019184708,0.006197242,0.017225543,0.666657,0.00030230448,0.005598447,0.062437505,0.053693928,0.0074006463,8.138967e-05,0.00046508384,0.0012382857,0.00039532126,0.003150943,0.00065111736,6.976257e-05,0.0010813199,0.002249843,0.00022672837,0.0009359812,0.0001453387,0.00031393158,0.044735253,0.00056391413,0.041433156,0.0009301677,2.3254192e-05,0.00091272703,0.0005813548
17,0.00048020855,0.0057167686,0.0013720244,0.00027440488,0.0003430061,0.0017836317,0.0017150305,0.052685738,0.009901443,0.0013720244,0.009055361,4.573415e-05,0.00013720244,9.14683e-05,0.0032242574,0.009741373,0.0037730671,0.44074,0.27751482,0.0038188014,0.00041160733,0.0016464293,0.014406256,0.0019665684,0.07514121,0.0023095745,0.020123025,0.00041160733,0.0011890879,0.00041160733,0.0012805561,0.0013491573,0.00059454393,0.0011204866,0.00038874024,0.00093755004,0.0017607646,0.002172372,0.014497724,0.00020580366,0.033706065,0.0001829366
18,0.00036911195,0.0068143746,0.0016988615,0.00035018314,0.00019402038,0.0011451935,0.0011451935,0.050118778,0.0067481236,0.00081867137,0.0013486783,3.312543e-05,0.00010884071,0.00014669834,0.0030617362,0.0088870805,0.0056360555,0.022236628,0.78460425,0.0030380753,0.0005442035,0.0011641224,0.0036248686,0.0017272547,0.016624235,0.0013486783,0.008612612,0.0003028611,0.00057259673,0.00026500344,0.0008517968,0.0010836748,0.00037857637,0.0008376002,0.00026500344,0.0035018313,0.001433858,0.001968597,0.04404736,0.00024134244,0.011934619,0.00016562716
19,0.0023944143,0.034279406,0.0002525359,0.00015900408,0.0006266631,8.885522e-05,0.0022213804,0.14744355,0.0015947174,0.002113819,0.00015432748,8.885522e-05,0.0002946252,0.0003367145,0.008151297,0.09561289,0.042234287,0.0004349229,0.003208141,0.5649602,0.003526149,0.042454086,0.00011691476,0.00065004604,0.0018940191,0.00017771043,0.0112472,0.0005752206,7.950204e-05,0.0009727308,0.0025440652,0.00029930178,0.0012486497,0.00030397836,0.0003367145,0.004316493,0.0005331313,0.02001113,0.000879199,4.2089312e-05,0.00071084173,0.00043024632
20,0.001664187,0.023188407,0.000209401,9.918995e-05,0.0003526754,3.3063316e-05,0.0016421448,0.020367002,0.0009808784,0.002182179,9.918995e-05,0.00015429547,0.00046288644,0.00026450653,0.005510553,0.008684631,0.19442332,0.000110211055,0.0019507357,0.017865213,0.63511324,0.0051688985,5.5105527e-05,0.00030859094,0.0008486251,0.0001983799,0.0013886592,0.0006833085,1.1021106e-05,0.0009147517,0.0020389045,6.612663e-05,0.0009808784,0.00018735879,0.00051799195,0.032137543,0.00051799195,0.037317462,0.00074943516,3.3063316e-05,0.00013225326,0.00038573868
21,0.0029504579,0.18580101,0.00023348947,0.00016981052,0.00059433683,9.905614e-05,0.0026745156,0.080709524,0.0011674473,0.0022004612,9.19807e-05,0.00012028245,0.0004811298,0.00028301752,0.010195707,0.070089296,0.0067075156,0.00019811228,0.0017688596,0.036728602,0.0016132,0.5318819,6.367895e-05,0.00037499823,0.0014221631,0.00014858421,0.0028160245,0.0007358456,5.6603505e-05,0.00096933503,0.013528238,0.00024764033,0.0053985594,0.00016273509,0.0002405649,0.0015282946,0.0006084877,0.033572953,0.00074999646,3.537719e-05,0.00013443333,0.0004457526
22,0.0006097275,0.0049716244,0.025889968,0.0003752169,0.00018760846,0.059987806,0.0016884762,0.04122696,0.005393743,0.0014539656,0.052014444,0.00018760846,0.00018760846,0.00014070634,0.0030955395,0.0058627645,0.0015946719,0.021340463,0.06711692,0.002392008,0.0007504338,0.0016415741,0.5856198,0.0015008677,0.036067728,0.04235261,0.0088645,0.0006097275,0.0014070634,0.0007035317,0.0007035317,0.0010318465,0.00056282536,0.0006566296,0.0015008677,0.0007035317,0.001219455,0.0015477698,0.013179494,0.0015946719,0.0017353783,0.0003283148
