codgeo,libgeo,zrr_simp,zonage_zrr
01240,Matafelon-Granges,NC - Commune non classée,NC - Commune non classée
01241,Meillonnas,NC - Commune non classée,NC - Commune non classée
01242,Mérignat,NC - Commune non classée,NC - Commune non classée
01243,Messimy-sur-Saône,NC - Commune non classée,NC - Commune non classée
01244,Meximieux,NC - Commune non classée,NC - Commune non classée
01245,Bohas-Meyriat-Rignat,NC - Commune non classée,NC - Commune non classée
01246,Mézériat,NC - Commune non classée,NC - Commune non classée
01247,Mijoux,NC - Commune non classée,NC - Commune non classée
01248,Mionnay,NC - Commune non classée,NC - Commune non classée
01249,Miribel,NC - Commune non classée,NC - Commune non classée
01250,Misérieux,NC - Commune non classée,NC - Commune non classée
01252,Mogneneins,NC - Commune non classée,NC - Commune non classée
01254,Montagnat,NC - Commune non classée,NC - Commune non classée
01255,Montagnieu,NC - Commune non classée,NC - Commune non classée
01257,Montanges,NC - Commune non classée,NC - Commune non classée
01258,Montceaux,NC - Commune non classée,NC - Commune non classée
01259,Montcet,NC - Commune non classée,NC - Commune non classée
01260,Le Montellier,NC - Commune non classée,NC - Commune non classée
01261,Monthieux,NC - Commune non classée,NC - Commune non classée
01262,Montluel,NC - Commune non classée,NC - Commune non classée
01263,Montmerle-sur-Saône,NC - Commune non classée,NC - Commune non classée
01264,Montracol,NC - Commune non classée,NC - Commune non classée
01265,Montréal-la-Cluse,NC - Commune non classée,NC - Commune non classée
01266,Montrevel-en-Bresse,NC - Commune non classée,NC - Commune non classée
01267,Nurieux-Volognat,NC - Commune non classée,NC - Commune non classée
01268,Murs-et-Gélignieux,NC - Commune non classée,NC - Commune non classée
01269,Nantua,NC - Commune non classée,NC - Commune non classée
01272,Neuville-les-Dames,NC - Commune non classée,NC - Commune non classée
01273,Neuville-sur-Ain,NC - Commune non classée,NC - Commune non classée
01274,Les Neyrolles,NC - Commune non classée,NC - Commune non classée
01275,Neyron,NC - Commune non classée,NC - Commune non classée
01276,Niévroz,NC - Commune non classée,NC - Commune non classée
01277,Nivollet-Montgriffon,NC - Commune non classée,NC - Commune non classée
01279,Oncieu,NC - Commune non classée,NC - Commune non classée
01280,Ordonnaz,NC - Commune non classée,NC - Commune non classée
01281,Ornex,NC - Commune non classée,NC - Commune non classée
01282,Outriaz,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01283,Oyonnax,NC - Commune non classée,NC - Commune non classée
01284,Ozan,NC - Commune non classée,NC - Commune non classée
01285,Parcieux,NC - Commune non classée,NC - Commune non classée
01286,Parves et Nattages,NC - Commune non classée,NC - Commune non classée
01288,Péron,NC - Commune non classée,NC - Commune non classée
01289,Péronnas,NC - Commune non classée,NC - Commune non classée
01290,Pérouges,NC - Commune non classée,NC - Commune non classée
01291,Perrex,NC - Commune non classée,NC - Commune non classée
01293,Peyriat,NC - Commune non classée,NC - Commune non classée
01294,Peyrieu,NC - Commune non classée,NC - Commune non classée
01295,Peyzieux-sur-Saône,NC - Commune non classée,NC - Commune non classée
01296,Pirajoux,NC - Commune non classée,NC - Commune non classée
01297,Pizay,NC - Commune non classée,NC - Commune non classée
01298,Plagne,NC - Commune non classée,NC - Commune non classée
01299,Le Plantay,NC - Commune non classée,NC - Commune non classée
01301,Polliat,NC - Commune non classée,NC - Commune non classée
01302,Pollieu,NC - Commune non classée,NC - Commune non classée
01303,Poncin,NC - Commune non classée,NC - Commune non classée
01304,Pont-d'Ain,NC - Commune non classée,NC - Commune non classée
01305,Pont-de-Vaux,NC - Commune non classée,NC - Commune non classée
01306,Pont-de-Veyle,NC - Commune non classée,NC - Commune non classée
01307,Port,NC - Commune non classée,NC - Commune non classée
01308,Pougny,NC - Commune non classée,NC - Commune non classée
01309,Pouillat,NC - Commune non classée,NC - Commune non classée
01310,Prémeyzel,NC - Commune non classée,NC - Commune non classée
01311,Prémillieu,NC - Commune non classée,NC - Commune non classée
01313,Prévessin-Moëns,NC - Commune non classée,NC - Commune non classée
01314,Priay,NC - Commune non classée,NC - Commune non classée
01317,Ramasse,NC - Commune non classée,NC - Commune non classée
01318,Rancé,NC - Commune non classée,NC - Commune non classée
01319,Relevant,NC - Commune non classée,NC - Commune non classée
01320,Replonges,NC - Commune non classée,NC - Commune non classée
01321,Revonnas,NC - Commune non classée,NC - Commune non classée
01322,Reyrieux,NC - Commune non classée,NC - Commune non classée
01323,Reyssouze,NC - Commune non classée,NC - Commune non classée
01325,Rignieux-le-Franc,NC - Commune non classée,NC - Commune non classée
01328,Romans,NC - Commune non classée,NC - Commune non classée
01329,Rossillon,NC - Commune non classée,NC - Commune non classée
01330,Ruffieu,NC - Commune non classée,NC - Commune non classée
01331,Saint-Alban,NC - Commune non classée,NC - Commune non classée
01332,Saint-André-de-Bâgé,NC - Commune non classée,NC - Commune non classée
01333,Saint-André-de-Corcy,NC - Commune non classée,NC - Commune non classée
01334,Saint-André-d'Huiriat,NC - Commune non classée,NC - Commune non classée
01335,Saint-André-le-Bouchoux,NC - Commune non classée,NC - Commune non classée
01336,Saint-André-sur-Vieux-Jonc,NC - Commune non classée,NC - Commune non classée
01337,Saint-Bénigne,NC - Commune non classée,NC - Commune non classée
01338,Groslée-Saint-Benoit,NC - Commune non classée,NC - Commune non classée
01339,Saint-Bernard,NC - Commune non classée,NC - Commune non classée
01342,Sainte-Croix,NC - Commune non classée,NC - Commune non classée
01343,Saint-Cyr-sur-Menthon,NC - Commune non classée,NC - Commune non classée
01344,Saint-Denis-lès-Bourg,NC - Commune non classée,NC - Commune non classée
01345,Saint-Denis-en-Bugey,NC - Commune non classée,NC - Commune non classée
01346,Saint-Didier-d'Aussiat,NC - Commune non classée,NC - Commune non classée
01347,Saint-Didier-de-Formans,NC - Commune non classée,NC - Commune non classée
01348,Saint-Didier-sur-Chalaronne,NC - Commune non classée,NC - Commune non classée
01349,Saint-Éloi,NC - Commune non classée,NC - Commune non classée
01350,Saint-Étienne-du-Bois,NC - Commune non classée,NC - Commune non classée
01351,Saint-Étienne-sur-Chalaronne,NC - Commune non classée,NC - Commune non classée
01352,Saint-Étienne-sur-Reyssouze,NC - Commune non classée,NC - Commune non classée
01353,Sainte-Euphémie,NC - Commune non classée,NC - Commune non classée
01354,Saint-Genis-Pouilly,NC - Commune non classée,NC - Commune non classée
01355,Saint-Genis-sur-Menthon,NC - Commune non classée,NC - Commune non classée
01356,Saint-Georges-sur-Renon,NC - Commune non classée,NC - Commune non classée
01357,Saint-Germain-de-Joux,NC - Commune non classée,NC - Commune non classée
01358,Saint-Germain-les-Paroisses,NC - Commune non classée,NC - Commune non classée
01359,Saint-Germain-sur-Renon,NC - Commune non classée,NC - Commune non classée
01360,Saint-Jean-de-Gonville,NC - Commune non classée,NC - Commune non classée
01361,Saint-Jean-de-Niost,NC - Commune non classée,NC - Commune non classée
01362,Saint-Jean-de-Thurigneux,NC - Commune non classée,NC - Commune non classée
01363,Saint-Jean-le-Vieux,NC - Commune non classée,NC - Commune non classée
01364,Saint-Jean-sur-Reyssouze,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01365,Saint-Jean-sur-Veyle,NC - Commune non classée,NC - Commune non classée
01366,Sainte-Julie,NC - Commune non classée,NC - Commune non classée
01367,Saint-Julien-sur-Reyssouze,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01368,Saint-Julien-sur-Veyle,NC - Commune non classée,NC - Commune non classée
01369,Saint-Just,NC - Commune non classée,NC - Commune non classée
01370,Saint-Laurent-sur-Saône,NC - Commune non classée,NC - Commune non classée
01371,Saint-Marcel,NC - Commune non classée,NC - Commune non classée
01372,Saint-Martin-de-Bavel,NC - Commune non classée,NC - Commune non classée
01373,Saint-Martin-du-Frêne,NC - Commune non classée,NC - Commune non classée
01374,Saint-Martin-du-Mont,NC - Commune non classée,NC - Commune non classée
01375,Saint-Martin-le-Châtel,NC - Commune non classée,NC - Commune non classée
01376,Saint-Maurice-de-Beynost,NC - Commune non classée,NC - Commune non classée
01378,Saint-Maurice-de-Gourdans,NC - Commune non classée,NC - Commune non classée
01379,Saint-Maurice-de-Rémens,NC - Commune non classée,NC - Commune non classée
01380,Saint-Nizier-le-Bouchoux,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01381,Saint-Nizier-le-Désert,NC - Commune non classée,NC - Commune non classée
01382,Sainte-Olive,NC - Commune non classée,NC - Commune non classée
01383,Saint-Paul-de-Varax,NC - Commune non classée,NC - Commune non classée
01384,Saint-Rambert-en-Bugey,NC - Commune non classée,NC - Commune non classée
01385,Saint-Rémy,NC - Commune non classée,NC - Commune non classée
01386,Saint-Sorlin-en-Bugey,NC - Commune non classée,NC - Commune non classée
01387,Saint-Sulpice,NC - Commune non classée,NC - Commune non classée
01388,Saint-Trivier-de-Courtes,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01389,Saint-Trivier-sur-Moignans,NC - Commune non classée,NC - Commune non classée
01390,Saint-Vulbas,NC - Commune non classée,NC - Commune non classée
01391,Salavre,NC - Commune non classée,NC - Commune non classée
01392,Samognat,NC - Commune non classée,NC - Commune non classée
01393,Sandrans,NC - Commune non classée,NC - Commune non classée
01396,Sault-Brénaz,NC - Commune non classée,NC - Commune non classée
01397,Sauverny,NC - Commune non classée,NC - Commune non classée
01398,Savigneux,NC - Commune non classée,NC - Commune non classée
01399,Ségny,NC - Commune non classée,NC - Commune non classée
01400,Seillonnaz,NC - Commune non classée,NC - Commune non classée
01401,Sergy,NC - Commune non classée,NC - Commune non classée
01402,Sermoyer,NC - Commune non classée,NC - Commune non classée
01403,Serrières-de-Briord,NC - Commune non classée,NC - Commune non classée
01404,Serrières-sur-Ain,NC - Commune non classée,NC - Commune non classée
01405,Servas,NC - Commune non classée,NC - Commune non classée
01406,Servignat,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01407,Seyssel,NC - Commune non classée,NC - Commune non classée
01408,Simandre-sur-Suran,NC - Commune non classée,NC - Commune non classée
01410,Sonthonnax-la-Montagne,NC - Commune non classée,NC - Commune non classée
01411,Souclin,NC - Commune non classée,NC - Commune non classée
01412,Sulignat,NC - Commune non classée,NC - Commune non classée
01415,Talissieu,NC - Commune non classée,NC - Commune non classée
01416,Tenay,NC - Commune non classée,NC - Commune non classée
01418,Thil,NC - Commune non classée,NC - Commune non classée
01419,Thoiry,NC - Commune non classée,NC - Commune non classée
01420,Thoissey,NC - Commune non classée,NC - Commune non classée
01421,Torcieu,NC - Commune non classée,NC - Commune non classée
01422,Tossiat,NC - Commune non classée,NC - Commune non classée
01423,Toussieux,NC - Commune non classée,NC - Commune non classée
01424,Tramoyes,NC - Commune non classée,NC - Commune non classée
01425,La Tranclière,NC - Commune non classée,NC - Commune non classée
01426,Val-Revermont,NC - Commune non classée,NC - Commune non classée
01427,Trévoux,NC - Commune non classée,NC - Commune non classée
01428,Valeins,NC - Commune non classée,NC - Commune non classée
01429,Vandeins,NC - Commune non classée,NC - Commune non classée
01430,Varambon,NC - Commune non classée,NC - Commune non classée
01431,Vaux-en-Bugey,NC - Commune non classée,NC - Commune non classée
01432,Verjon,NC - Commune non classée,NC - Commune non classée
01433,Vernoux,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01434,Versailleux,NC - Commune non classée,NC - Commune non classée
01435,Versonnex,NC - Commune non classée,NC - Commune non classée
01436,Vesancy,NC - Commune non classée,NC - Commune non classée
01437,Vescours,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
01439,Vésines,NC - Commune non classée,NC - Commune non classée
01441,Vieu-d'Izenave,C - Classée en ZRR,M - Commune sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
01443,Villars-les-Dombes,NC - Commune non classée,NC - Commune non classée
01444,Villebois,NC - Commune non classée,NC - Commune non classée
01445,Villemotier,NC - Commune non classée,NC - Commune non classée
01446,Villeneuve,NC - Commune non classée,NC - Commune non classée
01447,Villereversure,NC - Commune non classée,NC - Commune non classée
01448,Villes,NC - Commune non classée,NC - Commune non classée
01449,Villette-sur-Ain,NC - Commune non classée,NC - Commune non classée
01450,Villieu-Loyes-Mollon,NC - Commune non classée,NC - Commune non classée
01451,Viriat,NC - Commune non classée,NC - Commune non classée
01452,Virieu-le-Grand,NC - Commune non classée,NC - Commune non classée
01453,Arvière-en-Valromey,NC - Commune non classée,NC - Commune non classée
01454,Virignin,NC - Commune non classée,NC - Commune non classée
01456,Vongnes,NC - Commune non classée,NC - Commune non classée
01457,Vonnas,NC - Commune non classée,NC - Commune non classée
02001,Abbécourt,NC - Commune non classée,NC - Commune non classée
02002,Achery,NC - Commune non classée,NC - Commune non classée
02003,Acy,NC - Commune non classée,NC - Commune non classée
02004,Agnicourt-et-Séchelles,C - Classée en ZRR,C - Commune classée en ZRR
02005,Aguilcourt,C - Classée en ZRR,C - Commune classée en ZRR
02006,Aisonville-et-Bernoville,C - Classée en ZRR,C - Commune classée en ZRR
02007,Aizelles,C - Classée en ZRR,C - Commune classée en ZRR
02008,Aizy-Jouy,NC - Commune non classée,NC - Commune non classée
02009,Alaincourt,C - Classée en ZRR,C - Commune classée en ZRR
02010,Allemant,NC - Commune non classée,NC - Commune non classée
02011,Ambleny,NC - Commune non classée,NC - Commune non classée
02012,Ambrief,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
02013,Amifontaine,C - Classée en ZRR,C - Commune classée en ZRR
02014,Amigny-Rouy,NC - Commune non classée,NC - Commune non classée
02015,Ancienville,NC - Commune non classée,NC - Commune non classée
02016,Andelain,NC - Commune non classée,NC - Commune non classée
02017,Anguilcourt-le-Sart,NC - Commune non classée,NC - Commune non classée
02018,Anizy-le-Grand,C - Classée en ZRR,C - Commune classée en ZRR
02019,Annois,NC - Commune non classée,NC - Commune non classée
02020,Any-Martin-Rieux,C - Classée en ZRR,C - Commune classée en ZRR
02021,Archon,C - Classée en ZRR,C - Commune classée en ZRR
02022,Arcy-Sainte-Restitue,C - Classée en ZRR,A - Commune sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
02023,Armentières-sur-Ourcq,C - Classée en ZRR,C - Commune classée en ZRR
02024,Arrancy,NC - Commune non classée,NC - Commune non classée
02025,Artemps,NC - Commune non classée,NC - Commune non classée
02027,Assis-sur-Serre,C - Classée en ZRR,C - Commune classée en ZRR
02028,Athies-sous-Laon,NC - Commune non classée,NC - Commune non classée
02029,Attilly,NC - Commune non classée,NC - Commune non classée
02030,Aubencheul-aux-Bois,NC - Commune non classée,NC - Commune non classée
02031,Aubenton,C - Classée en ZRR,C - Commune classée en ZRR
