idcom,idcomtxt,idreg,idregtxt,iddep,iddeptxt,epci24,epci24txt,scot,aav2020,aav2020txt,aav2020_typo,naf09art10,art09act10,art09hab10,art09mix10,art09rou10,art09fer10,art09inc10,naf10art11,art10act11,art10hab11,art10mix11,art10rou11,art10fer11,art10inc11,naf11art12,art11act12,art11hab12,art11mix12,art11rou12,art11fer12,art11inc12,naf12art13,art12act13,art12hab13,art12mix13,art12rou13,art12fer13,art12inc13,naf13art14,art13act14,art13hab14,art13mix14,art13rou14,art13fer14,art13inc14,naf14art15,art14act15,art14hab15,art14mix15,art14rou15,art14fer15,art14inc15,naf15art16,art15act16,art15hab16,art15mix16,art15rou16,art15fer16,art15inc16,naf16art17,art16act17,art16hab17,art16mix17,art16rou17,art16fer17,art16inc17,naf17art18,art17act18,art17hab18,art17mix18,art17rou18,art17fer18,art17inc18,naf18art19,art18act19,art18hab19,art18mix19,art18rou19,art18fer19,art18inc19,naf19art20,art19act20,art19hab20,art19mix20,art19rou20,art19fer20,art19inc20,naf20art21,art20act21,art20hab21,art20mix21,art20rou21,art20fer21,art20inc21,naf21art22,art21act22,art21hab22,art21mix22,art21rou22,art21fer22,art21inc22,naf22art23,art22act23,art22hab23,art22mix23,art22rou23,art22fer23,art22inc23,naf23art24,art23act24,art23hab24,art23mix24,art23rou24,art23fer24,art23inc24,naf09art24,art09act24,art09hab24,art09mix24,art09inc24,art09rou24,art09fer24,artcom0924,pop15,pop21,pop1521,men15,men21,men1521,emp15,emp21,emp1521,mepart1521,menhab1521,artpop1521,surfcom2024
01012,Aranc,84,Auvergne-Rhône-Alpes,01,Ain,200042935,Communauté d'agglomération Haut - Bugey Agglomération,SCoT du Haut-Bugey,20,"Plateau d""Hauteville",20,1628,0,1628,0,0,0,0,1628,0,1628,0,0,0,0,0,0,0,0,0,0,0,4016,0,1614,0,2402,0,0,0,0,0,0,0,0,0,7984,0,1037,0,6618,0,329,1449,0,1449,0,0,0,0,0,0,0,0,0,0,0,7271,0,0,0,1624,0,5647,0,0,0,0,0,0,0,4830,4715,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,1396,0,0,0,0,30202,4715,8867,0,5976,10644,0,0.14,327,327,0,150,151,1,57,43,-14,-9.59,6.39,,21678489
01013,Arandas,84,Auvergne-Rhône-Alpes,01,Ain,240100883,Communauté de communes de la Plaine de l'Ain,SCoT BUCOPA,20,Ambérieu-en-Bugey,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,708,0,0,0,0,334,0,334,0,0,0,0,1042,0,1042,0,0,0,0,0.01,153,141,-12,69,77,8,20,21,1,0.0,0.0,0.0,14031247
01014,Arbent,84,Auvergne-Rhône-Alpes,01,Ain,200042935,Communauté d'agglomération Haut - Bugey Agglomération,SCoT du Haut-Bugey,20,Oyonnax,20,14692,4286,9019,18,1358,0,11,14692,4286,9020,19,1358,0,9,26568,16208,4755,37,5568,0,0,2776,0,2644,37,95,0,0,1487,0,1487,0,0,0,0,11094,134,10893,37,30,0,0,94701,67827,13795,714,12364,0,1,14236,1505,12378,0,353,0,0,8230,0,8193,37,0,0,0,30241,0,22294,0,7946,0,1,1198,0,1198,0,0,0,0,6186,0,4442,1311,433,0,0,3261,507,2754,0,0,0,0,11388,7583,3805,0,0,0,0,4602,4602,0,0,0,0,0,245352,106938,106677,2210,22,29505,0,1.04,3392,3409,17,1354,1396,42,2120,2204,85,8.2,6.74,9105.41,23631051
01015,Arboys en Bugey,84,Auvergne-Rhône-Alpes,01,Ain,200040350,Communauté de communes Bugey Sud,SCoT du Bugey,20,Belley,20,4877,0,4627,0,249,0,1,4877,0,4628,0,250,0,-1,6712,640,5623,0,449,0,0,5837,0,5837,0,0,0,0,4846,0,4846,0,0,0,0,3130,0,3091,0,39,0,0,4805,0,4805,0,0,0,0,1692,0,1643,0,49,0,0,7057,0,6882,0,175,0,0,12308,0,9174,3134,0,0,0,2610,0,2610,0,0,0,0,5472,0,5464,0,8,0,0,4707,0,4707,0,0,0,0,3742,0,3742,0,0,0,0,1728,0,1728,0,0,0,0,74400,640,69407,3134,0,1219,0,0.33,637,667,30,274,302,27,58,54,-5,6.48,8.83,1131.47,22570407
01016,Arbigny,84,Auvergne-Rhône-Alpes,01,Ain,200071371,Communauté de communes Bresse et Saône,SCoT Bresse - Val-de-Saône,20,Mâcon,20,8578,0,8534,0,44,0,0,8579,0,8534,0,45,0,0,6784,0,6784,0,0,0,0,1444,0,1444,0,0,0,0,6962,0,6944,0,18,0,0,3554,0,3554,0,0,0,0,1900,0,1900,0,0,0,0,763,0,754,0,9,0,0,0,0,0,0,0,0,0,6920,0,6920,0,0,0,0,1850,1850,0,0,0,0,0,3570,0,3546,0,24,0,0,1293,0,1293,0,0,0,0,3151,0,3151,0,0,0,0,183,0,183,0,0,0,0,55531,1850,53541,0,0,140,0,0.32,453,459,6,175,192,17,37,36,-1,10.66,12.96,2500.5,17515848
01017,Argis,84,Auvergne-Rhône-Alpes,01,Ain,240100883,Communauté de communes de la Plaine de l'Ain,SCoT BUCOPA,30,Commune hors attraction des villes,30,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,184,0,0,0,0,3526,0,1278,0,2248,0,0,0,0,0,0,0,0,0,115,0,0,0,115,0,0,0,0,0,0,0,0,0,328,303,0,0,25,0,0,5657,303,1462,0,1504,2388,0,0.07,433,432,-1,193,205,12,35,39,4,43.13,82.08,-3710.0,7806594
01019,Armix,84,Auvergne-Rhône-Alpes,01,Ain,200040350,Communauté de communes Bugey Sud,SCoT du Bugey,30,Commune hors attraction des villes,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,24,26,2,15,20,5,3,2,-1,0.0,0.0,0.0,6957840
01021,Ars-sur-Formans,84,Auvergne-Rhône-Alpes,01,Ain,200042497,Communauté de communes Dombes Saône Vallée,SCoT du Val de Saône-Dombes,20,Lyon,20,2420,1826,583,0,10,0,1,2421,1827,584,0,11,0,-1,16605,0,0,16605,0,0,0,1607,0,1607,0,0,0,0,1684,0,458,0,0,0,1226,0,0,0,0,0,0,0,1408,0,1408,0,0,0,0,20175,0,15876,0,4299,0,0,5224,0,5224,0,0,0,0,686,0,686,0,0,0,0,885,0,0,885,0,0,0,1796,0,1796,0,0,0,0,2357,0,2357,0,0,0,0,725,0,725,0,0,0,0,178,0,178,0,0,0,0,58171,3653,31482,17490,1226,4320,0,1.06,1370,1498,128,485,576,91,337,202,-135,-14.91,36.41,235.73,5510949
01022,Artemare,84,Auvergne-Rhône-Alpes,01,Ain,200040350,Communauté de communes Bugey Sud,SCoT du Bugey,20,Belley,20,11220,2445,7299,0,1474,0,2,11220,2446,7300,0,1475,0,-1,3000,0,3000,0,0,0,0,3394,0,1981,1413,0,0,0,734,0,734,0,0,0,0,2986,248,2531,0,207,0,0,2792,0,2584,0,208,0,0,1566,0,1566,0,0,0,0,1625,0,1579,0,46,0,0,13249,0,13054,0,195,0,0,0,0,0,0,0,0,0,3790,0,3790,0,0,0,0,0,0,0,0,0,0,0,1638,0,1638,0,0,0,0,351,0,351,0,0,0,0,57565,5139,47407,1413,1,3605,0,1.74,1210,1177,-33,562,583,21,343,331,-12,4.34,9.3,-697.64,3317675
01023,Asnières-sur-Saône,84,Auvergne-Rhône-Alpes,01,Ain,200071371,Communauté de communes Bresse et Saône,SCoT Bresse - Val-de-Saône,20,Mâcon,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,1460,0,0,0,0,0.03,64,77,13,29,35,6,8,19,11,116.44,41.1,112.31,4660197
01024,Attignat,84,Auvergne-Rhône-Alpes,01,Ain,200071751,Communauté d'agglomération du Bassin de Bourg-en-Bresse,SCoT Bourg-Bresse-Revermont,20,Bourg-en-Bresse,20,27186,0,25457,663,1064,0,2,27186,0,25458,663,1065,0,0,14648,0,14229,0,419,0,0,30781,1109,27368,0,2304,0,0,17731,0,17248,0,483,0,0,3909,0,3894,0,15,0,0,11893,9806,0,2087,0,0,0,31734,0,30158,0,1576,0,0,16170,388,15698,0,84,0,0,19438,0,19438,0,0,0,0,27403,0,26384,0,1019,0,0,5188,1140,4034,0,14,0,0,6683,0,6251,0,432,0,0,41747,0,41050,680,17,0,0,20551,0,16408,4142,0,0,1,302248,12443,273075,8235,3,8492,0,1.60,3328,3336,8,1353,1419,67,902,925,24,8.05,7.0,13978.25,18913046
