year,codgeo,libgeo,zrr_status
2018,01151,Druillat,NC - Non classée
2018,01152,Échallon,NC - Non classée
2018,01153,Échenevex,NC - Non classée
2018,01154,Étrez,NC - Non classée
2018,01155,Évosges,NC - Non classée
2018,01156,Faramans,NC - Non classée
2018,01157,Fareins,NC - Non classée
2018,01158,Farges,NC - Non classée
2018,01159,Feillens,NC - Non classée
2018,01160,Ferney-Voltaire,NC - Non classée
2018,01162,Flaxieu,NC - Non classée
2018,01163,Foissiat,NC - Non classée
2018,01165,Francheleins,NC - Non classée
2018,01166,Frans,NC - Non classée
2018,01167,Garnerans,NC - Non classée
2018,01169,Genouilleux,NC - Non classée
2018,01170,Béard-Géovreissiat,NC - Non classée
2018,01171,Géovreisset,NC - Non classée
2018,01173,Gex,NC - Non classée
2018,01174,Giron,NC - Non classée
2018,01175,Gorrevod,NC - Non classée
2018,01177,Grand-Corent,NC - Non classée
2018,01179,Grièges,NC - Non classée
2018,01180,Grilly,NC - Non classée
2018,01181,Groissiat,NC - Non classée
2018,01183,Guéreins,NC - Non classée
2018,01184,Hautecourt-Romanèche,NC - Non classée
2018,01185,Hauteville-Lompnes,NC - Non classée
2018,01186,Hostiaz,NC - Non classée
2018,01187,Haut Valromey,M - Sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
2018,01188,Illiat,NC - Non classée
2018,01189,Injoux-Génissiat,NC - Non classée
2018,01190,Innimond,NC - Non classée
2018,01191,Izenave,M - Sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
2018,01192,Izernore,NC - Non classée
2018,01193,Izieu,NC - Non classée
2018,01194,Jassans-Riottier,NC - Non classée
2018,01195,Jasseron,NC - Non classée
2018,01196,Jayat,NC - Non classée
2018,01197,Journans,NC - Non classée
2018,01198,Joyeux,NC - Non classée
2018,01199,Jujurieux,NC - Non classée
2018,01200,Labalme,NC - Non classée
2018,01202,Lagnieu,NC - Non classée
2018,01203,Laiz,NC - Non classée
2018,01204,Le Poizat-Lalleyriat,NC - Non classée
2018,01205,Lancrans,NC - Non classée
2018,01206,Lantenay,M - Sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
2018,01207,Lapeyrouse,NC - Non classée
2018,01208,Lavours,NC - Non classée
2018,01209,Léaz,NC - Non classée
2018,01210,Lélex,NC - Non classée
2018,01211,Lent,NC - Non classée
2018,01212,Lescheroux,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01213,Leyment,NC - Non classée
2018,01214,Leyssard,NC - Non classée
2018,01215,Lhôpital,NC - Non classée
2018,01216,Lhuis,NC - Non classée
2018,01218,Lochieu,NC - Non classée
2018,01219,Lompnas,NC - Non classée
2018,01221,Lompnieu,NC - Non classée
2018,01224,Loyettes,NC - Non classée
2018,01225,Lurcy,NC - Non classée
2018,01227,Magnieu,NC - Non classée
2018,01228,Maillat,NC - Non classée
2018,01229,Malafretaz,NC - Non classée
2018,01230,Mantenay-Montlin,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01231,Manziat,NC - Non classée
2018,01232,Marboz,NC - Non classée
2018,01233,Marchamp,NC - Non classée
2018,01234,Marignieu,NC - Non classée
2018,01235,Marlieux,NC - Non classée
2018,01236,Marsonnas,NC - Non classée
2018,01237,Martignat,NC - Non classée
2018,01238,Massieux,NC - Non classée
2018,01239,Massignieu-de-Rives,NC - Non classée
2018,01240,Matafelon-Granges,NC - Non classée
2018,01241,Meillonnas,NC - Non classée
2018,01242,Mérignat,NC - Non classée
2018,01243,Messimy-sur-Saône,NC - Non classée
2018,01244,Meximieux,NC - Non classée
2018,01245,Bohas-Meyriat-Rignat,NC - Non classée
2018,01246,Mézériat,NC - Non classée
2018,01247,Mijoux,NC - Non classée
2018,01248,Mionnay,NC - Non classée
2018,01249,Miribel,NC - Non classée
2018,01250,Misérieux,NC - Non classée
2018,01252,Mogneneins,NC - Non classée
2018,01254,Montagnat,NC - Non classée
2018,01255,Montagnieu,NC - Non classée
2018,01257,Montanges,NC - Non classée
2018,01258,Montceaux,NC - Non classée
2018,01259,Montcet,NC - Non classée
2018,01260,Le Montellier,NC - Non classée
2018,01261,Monthieux,NC - Non classée
2018,01262,Montluel,NC - Non classée
2018,01263,Montmerle-sur-Saône,NC - Non classée
2018,01264,Montracol,NC - Non classée
2018,01265,Montréal-la-Cluse,NC - Non classée
2018,01266,Montrevel-en-Bresse,NC - Non classée
2018,01267,Nurieux-Volognat,NC - Non classée
2018,01268,Murs-et-Gélignieux,NC - Non classée
2018,01269,Nantua,NC - Non classée
2018,01272,Neuville-les-Dames,NC - Non classée
2018,01273,Neuville-sur-Ain,NC - Non classée
2018,01274,Les Neyrolles,NC - Non classée
2018,01275,Neyron,NC - Non classée
2018,01276,Niévroz,NC - Non classée
2018,01277,Nivollet-Montgriffon,NC - Non classée
2018,01279,Oncieu,NC - Non classée
2018,01280,Ordonnaz,NC - Non classée
2018,01281,Ornex,NC - Non classée
2018,01282,Outriaz,M - Sortante en 2017 classée en zone de montagne continuant de bénéficier des effets du classement depuis 2017
2018,01283,Oyonnax,NC - Non classée
2018,01284,Ozan,NC - Non classée
2018,01285,Parcieux,NC - Non classée
2018,01286,Parves et Nattages,NC - Non classée
2018,01288,Péron,NC - Non classée
2018,01289,Péronnas,NC - Non classée
2018,01290,Pérouges,NC - Non classée
2018,01291,Perrex,NC - Non classée
2018,01293,Peyriat,NC - Non classée
2018,01294,Peyrieu,NC - Non classée
2018,01295,Peyzieux-sur-Saône,NC - Non classée
2018,01296,Pirajoux,NC - Non classée
2018,01297,Pizay,NC - Non classée
2018,01298,Plagne,NC - Non classée
2018,01299,Le Plantay,NC - Non classée
2018,01301,Polliat,NC - Non classée
2018,01302,Pollieu,NC - Non classée
2018,01303,Poncin,NC - Non classée
2018,01304,Pont-d'Ain,NC - Non classée
2018,01305,Pont-de-Vaux,NC - Non classée
2018,01306,Pont-de-Veyle,NC - Non classée
2018,01307,Port,NC - Non classée
2018,01308,Pougny,NC - Non classée
2018,01309,Pouillat,NC - Non classée
2018,01310,Prémeyzel,NC - Non classée
2018,01311,Prémillieu,NC - Non classée
2018,01313,Prévessin-Moëns,NC - Non classée
2018,01314,Priay,NC - Non classée
2018,01317,Ramasse,NC - Non classée
2018,01318,Rancé,NC - Non classée
2018,01319,Relevant,NC - Non classée
2018,01320,Replonges,NC - Non classée
2018,01321,Revonnas,NC - Non classée
2018,01322,Reyrieux,NC - Non classée
2018,01323,Reyssouze,NC - Non classée
2018,01325,Rignieux-le-Franc,NC - Non classée
2018,01328,Romans,NC - Non classée
2018,01329,Rossillon,NC - Non classée
2018,01330,Ruffieu,NC - Non classée
2018,01331,Saint-Alban,NC - Non classée
2018,01332,Saint-André-de-Bâgé,NC - Non classée
2018,01333,Saint-André-de-Corcy,NC - Non classée
2018,01334,Saint-André-d'Huiriat,NC - Non classée
2018,01335,Saint-André-le-Bouchoux,NC - Non classée
2018,01336,Saint-André-sur-Vieux-Jonc,NC - Non classée
2018,01337,Saint-Bénigne,NC - Non classée
2018,01338,Groslée-Saint-Benoit,NC - Non classée
2018,01339,Saint-Bernard,NC - Non classée
2018,01341,Saint-Champ,NC - Non classée
2018,01342,Sainte-Croix,NC - Non classée
2018,01343,Saint-Cyr-sur-Menthon,NC - Non classée
2018,01344,Saint-Denis-lès-Bourg,NC - Non classée
2018,01345,Saint-Denis-en-Bugey,NC - Non classée
2018,01346,Saint-Didier-d'Aussiat,NC - Non classée
2018,01347,Saint-Didier-de-Formans,NC - Non classée
2018,01348,Saint-Didier-sur-Chalaronne,NC - Non classée
2018,01349,Saint-Éloi,NC - Non classée
2018,01350,Saint-Étienne-du-Bois,NC - Non classée
2018,01351,Saint-Étienne-sur-Chalaronne,NC - Non classée
2018,01352,Saint-Étienne-sur-Reyssouze,NC - Non classée
2018,01353,Sainte-Euphémie,NC - Non classée
2018,01354,Saint-Genis-Pouilly,NC - Non classée
2018,01355,Saint-Genis-sur-Menthon,NC - Non classée
2018,01356,Saint-Georges-sur-Renon,NC - Non classée
2018,01357,Saint-Germain-de-Joux,NC - Non classée
2018,01358,Saint-Germain-les-Paroisses,NC - Non classée
2018,01359,Saint-Germain-sur-Renon,NC - Non classée
2018,01360,Saint-Jean-de-Gonville,NC - Non classée
2018,01361,Saint-Jean-de-Niost,NC - Non classée
2018,01362,Saint-Jean-de-Thurigneux,NC - Non classée
2018,01363,Saint-Jean-le-Vieux,NC - Non classée
2018,01364,Saint-Jean-sur-Reyssouze,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01365,Saint-Jean-sur-Veyle,NC - Non classée
2018,01366,Sainte-Julie,NC - Non classée
2018,01367,Saint-Julien-sur-Reyssouze,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01368,Saint-Julien-sur-Veyle,NC - Non classée
2018,01369,Saint-Just,NC - Non classée
2018,01370,Saint-Laurent-sur-Saône,NC - Non classée
2018,01371,Saint-Marcel,NC - Non classée
2018,01372,Saint-Martin-de-Bavel,NC - Non classée
2018,01373,Saint-Martin-du-Frêne,NC - Non classée
2018,01374,Saint-Martin-du-Mont,NC - Non classée
2018,01375,Saint-Martin-le-Châtel,NC - Non classée
2018,01376,Saint-Maurice-de-Beynost,NC - Non classée
2018,01378,Saint-Maurice-de-Gourdans,NC - Non classée
2018,01379,Saint-Maurice-de-Rémens,NC - Non classée
2018,01380,Saint-Nizier-le-Bouchoux,A - Sortante en 2017 continuant de bénéficier des effets du classement depuis 2018
2018,01381,Saint-Nizier-le-Désert,NC - Non classée
2018,01382,Sainte-Olive,NC - Non classée
2018,01383,Saint-Paul-de-Varax,NC - Non classée
2018,01384,Saint-Rambert-en-Bugey,NC - Non classée
2018,01385,Saint-Rémy,NC - Non classée
