qp2024,label_qp2024,statut,qp2015_1,label_qp2015_1,qp2015_2,label_qp2015_2,qp2015_3,label_qp2015_3
QN97430I,La Source Bellepierre,INCHANGE,QP974030,La Source - Bellepierre,,,,
QN97431I,Les Camélias,INCHANGE,QP974031,Les Camélias,,,,
QN97432M,Sainte Clotilde Le Chaudron,MODIFIE,QP974032,Sainte Clotilde - Le Chaudron,,,,
QN97433I,Moufia Les Bas,INCHANGE,QP974033,Moufia Les Bas,,,,
QN97434I,Primat,INCHANGE,QP974034,Primat,,,,
QN97435I,Moufia Les Hauts,INCHANGE,QP974035,Moufia Les Hauts,,,,
QN97436I,Bois de Nèfles Portail Plate,INCHANGE,QP974036,Portail - Bois De Nèfles,,,,
QN97437M,Plateau Caillou,MODIFIE,QP974037,Plateau Caillou Centre,,,,
QN97438M,Fleurimont-Flamboyant,MODIFIE,QP974038,Fleurimont,,,,
QN97439M,Eperon,MODIFIE,QP974039,Eperon,,,,
QN97440M,Grande Fontaine - Bouillon,MODIFIE,QP974040,Grande Fontaine,,,,
QN97441I,Etang - Rue Jacquot - Savanna,INCHANGE,QP974041,Savanna Kayamb  -  Corbeil Bout De L'Etang,,,,
QN97442I,Centre Ville Saint-Charles,INCHANGE,QP974042,Périphérie Du Centre Ville,,,,
QN97443M,Bel Air Centre Ville Village Desprez,MODIFIE,QP974043,Bel Air Centre Ville Village Desprez,,,,
QN97444M,Bagatelle - Les Jacques Bel-Air,MODIFIE,QP974044,Bagatelle,,,,
QN97445M,La Châtoire,MODIFIE,QP974045,La Châtoire,,,,
QN97446M,Les Trois Mares,MODIFIE,QP974046,Les Trois Mares,,,,
QN97447M,Les Araucarias,MODIFIE,QP974047,Les Araucarias,,,,
QN97448M,Centre-ville,MODIFIE,QP974048,Centre-ville,,,,
QN97450N,Le Ruisseau,NOUVEAU,,,,,,
QN97451N,Ermitage - Vue belle - Saline,NOUVEAU,,,,,,
QN97452N,Ravine Daniel,NOUVEAU,,,,,,
QN97453N,Guillaume centre,NOUVEAU,,,,,,
QN97454N,Barrage - Cinq heures,NOUVEAU,,,,,,
QN97455N,Camélias Chaloupe,NOUVEAU,,,,,,
QN97456N,Sans-souci,NOUVEAU,,,,,,
QN97457M,ZAC Avenir - l'Étang,MODIFIE,QP974002,Centre Ville,,,,
QN97458M,Le Chaudron,MODIFIE,QP974032,Sainte Clotilde - Le Chaudron,,,,
QN97651C,Acoua,COMMUNE,,,,,,
QN97652C,Bandraboua,COMMUNE,,,,,,
QN97653C,Bandrele,COMMUNE,,,,,,
QN97654C,Bouéni,COMMUNE,,,,,,
QN97655C,Chiconi,COMMUNE,,,,,,
QN97656C,Chirongui,COMMUNE,,,,,,
QN97657C,Dembeni,COMMUNE,,,,,,
QN97658C,Dzaoudzi,COMMUNE,,,,,,
QN97659C,Kani-Kéli,COMMUNE,,,,,,
QN97660C,Koungou,COMMUNE,,,,,,
QN97661C,Mamoudzou,COMMUNE,,,,,,
QN97662C,Mtsamboro,COMMUNE,,,,,,
QN97663C,M'Tsangamouji,COMMUNE,,,,,,
QN97664C,Ouangani,COMMUNE,,,,,,
QN97665C,Pamandzi,COMMUNE,,,,,,
QN97666C,Sada,COMMUNE,,,,,,
QN97667C,Tsingoni,COMMUNE,,,,,,
QN97801M,Quartier D'Orléans - Gloire - Griselle,MODIFIE,QP978001,Quartier D Orléans - Gloire - Griselle,,,,
QN97802M,Sandy Ground,MODIFIE,QP978002,Sandy Ground,,,,
QN97803N,Saint-James,NOUVEAU,,,,,,
QN98701M,Ahititera - Arahiri,MODIFIE,QP987001,Arahiri,,,,
QN98702M,Erima,MODIFIE,QP987002,Erima,,,,
QN98703M,Papaoa,MODIFIE,QP987003,Formost,,,,
QN98704M,Paruau - Tahipu,MODIFIE,QP987004,PK5,,,,
QN98705M,Tearapae,MODIFIE,QP987005,Tearapae,,,,
QN98706M,Tefaaroa,MODIFIE,QP987006,Tefaaroa,,,,
QN98707M,Outuaramea,MODIFIE,QP987007,Outuaramea,,,,
QN98708M,Teroma,MODIFIE,QP987008,Teroma,,,,
QN98709M,Liliane Bordes,MODIFIE,QP987009,Liliane Bordes,,,,
QN98710M,Outuaraia,MODIFIE,QP987010,Outuaraia,,,,
QN98711M,Tavararo,MODIFIE,QP987011,Tavararo,,,,
QN98712M,Hiupape,MODIFIE,QP987012,Teriitehau,,,,
QN98713M,Outuaraea,MODIFIE,QP987013,Outuaraea,,,,
QN98714M,Vaitupa,MODIFIE,QP987014,Vaitupa,,,,
QN98715M,Heiri,MODIFIE,QP987015,Heiri,,,,
QN98716M,Vaitea,MODIFIE,QP987016,Saint Hilaire,,,,
QN98717M,Puurai,MODIFIE,QP987017,Puurai,,,,
QN98719M,Pamatai Centre,MODIFIE,QP987019,Pamatai Centre,,,,
QN98720I,Pamatai Bas,INCHANGE,QP987020,Pamatai Bas,,,,
QN98721M,Oremu,MODIFIE,QP987021,Oremu,,,,
QN98722I,Vallee de Orofara,INCHANGE,QP987022,Vallee de Orofara,,,,
QN98723M,Tuiho Haoa,MODIFIE,QP987023,Tuiho Haoa,,,,
QN98724M,Vallee de Ahonu,MODIFIE,QP987024,Vallee de Ahonu,,,,
QN98725M,Vallee de Tuauru,MODIFIE,QP987025,Vallee de la Tuauru,,,,
QN98726M,Haapape,MODIFIE,QP987026,Haapape,,,,
QN98727M,Taharaa,MODIFIE,QP987027,Taharaa,,,,
QN98728I,Atima Nui,INCHANGE,QP987028,Atima Nui,,,,
QN98729I,Hitimahana,INCHANGE,QP987029,Hitimahana,,,,
QN98730I,Fareroi,INCHANGE,QP987030,Fareroi,,,,
QN98731I,Titine,INCHANGE,QP987031,Titine,,,,
QN98732M,Matavai,MODIFIE,QP987032,Matavai,,,,
QN98733M,Atiha,MODIFIE,QP987033,Atiha,,,,
QN98734M,Papetoai,MODIFIE,QP987034,Papetoai,,,,
QN98735M,Maharepa,MODIFIE,QP987035,Maharepa,,,,
QN98736M,Paopao,MODIFIE,QP987036,Paopao,,,,
QN98737I,Afareaitu,INCHANGE,QP987037,Afareaitu,,,,
QN98738I,Teavaro,INCHANGE,QP987038,Teavaro,,,,
QN98739M,Varari 1,MODIFIE,QP987039,Haapiti,,,,
QN98740M,Vaihere,MODIFIE,QP987040,Vaihere,,,,
QN98741M,Urufara,MODIFIE,QP987041,Urufara,,,,
QN98742I,Mara'a,INCHANGE,QP987042,Maraa,,,,
QN98743M,Tefana iti,MODIFIE,QP987043,Vaitupa Robson,,,,
QN98744M,Vaiterupe,MODIFIE,QP987044,Vaiterupe,,,,
QN98745M,Orofero,MODIFIE,QP987045,Orofero,,,,
QN98746M,Tiapa,MODIFIE,QP987046,Tiapa,,,,
QN98747M,Vaiatu,MODIFIE,QP987047,Vaiatu,,,,
QN98748M,Tiamao,MODIFIE,QP987048,Tiamao,,,,
QN98749M,Afarerii,MODIFIE,QP987049,Afarerii,,,,
QN98750M,Tarirea,MODIFIE,QP987050,Tarirea,,,,
QN98751M,Taharuu,MODIFIE,QP987051,Taharuu,,,,
QN98752M,Haumaua - Carriere,MODIFIE,QP987052,Carriere,,,,
QN98753I,Estall,INCHANGE,QP987053,Estall,,,,
QN98755M,Grand Mama'o,MODIFIE,QP987054,Manuhoe,QP987055,Mamao,,
QN98756I,Vaitavatava,INCHANGE,QP987056,Vaitavatava,,,,
QN98757I,Titioro,INCHANGE,QP987057,Titioro,,,,
QN98758M,Tipaerui,MODIFIE,QP987058,Tipaerui,,,,
QN98759I,Arupa Puea Vaininiore,INCHANGE,QP987059,Arupa Puea Vaininiore,,,,
QN98760M,Mission,MODIFIE,QP987060,Mission,,,,
QN98761I,Fautaua,INCHANGE,QP987061,Fautaua Val,,,,
QN98762I,Hamuta Vallée,INCHANGE,QP987062,Hamuta,,,,
QN98763M,Fautaua Vallée,MODIFIE,QP987063,Fautaua,,,,
QN98764M,Atimaro,MODIFIE,QP987064,Atimaro,,,,
QN98765M,Nahoata Vallée,MODIFIE,QP987065,Nahoata,,,,
QN98766I,Taapuna,INCHANGE,QP987066,Taapuna,,,,
QN98767M,Punavai,MODIFIE,QP987067,Punavai,,,,
QN98768I,Puna-Iti Puna-nui,INCHANGE,QP987068,Puna,,,,
QN98769M,Outumaoro Hauts,MODIFIE,QP987069,Outumaoro Hauts,,,,
QN98770M,Nina Peata Fuller,MODIFIE,QP987070,Nina Peata Fuller,,,,
QN98772I,Maeva Beach,INCHANGE,QP987072,Maeva Beach,,,,
QN98773M,Vaitavere,MODIFIE,QP987073,Vaitavere,,,,
QN98775M,Bel Air,MODIFIE,QP987075,Bel Air,,,,
QN98776M,Atiue,MODIFIE,QP987076,Atiue,,,,
QN98777M,Varari 2,MODIFIE,QP987039,Haapiti,,,,
QN98778M,Vaitupa,MODIFIE,QP987043,Vaitupa Robson,,,,
QN98779M,Aou'a,MODIFIE,QP987046,Tiapa,,,,
QN98780N,Amoe,NOUVEAU,,,,,,
QN98781N,Mahina Nui,NOUVEAU,,,,,,
QN98782N,Tetuanui,NOUVEAU,,,,,,
QN98783N,Patae,NOUVEAU,,,,,,
QN98784N,Temae Village,NOUVEAU,,,,,,
QN98785N,Atetii,NOUVEAU,,,,,,
QN98786N,Taupeahotu Lagarde,NOUVEAU,,,,,,
QN98787N,Hamuta plaine,NOUVEAU,,,,,,
QN98788N,JT - Taaone,NOUVEAU,,,,,,
QN98789N,Pater - Les Vini,NOUVEAU,,,,,,
QN98790N,Raufea-Tahutini,NOUVEAU,,,,,,
QN98791N,Nuuroa,NOUVEAU,,,,,,
QN98792N,Tepaheehee,NOUVEAU,,,,,,
