target_year,fr_climat_affaires_t_minus_1,fr_climat_emploi_t_minus_1,fr_bdf_conj_services_climate_t_minus_1,fr_bdf_gstix_comp_t_minus_1,side_total,side_growth,side_growth_change,fr_climat_affaires_t_minus_1_z_train2020,fr_climat_affaires_t_minus_1_delta,fr_climat_emploi_t_minus_1_z_train2020,fr_climat_emploi_t_minus_1_delta,fr_bdf_conj_services_climate_t_minus_1_z_train2020,fr_bdf_conj_services_climate_t_minus_1_delta,fr_bdf_gstix_comp_t_minus_1_z_train2020,fr_bdf_gstix_comp_t_minus_1_delta
2012,103.89166666666668,105.95833333333331,100.53333333333336,-1.8016266666666665,615957,,,0.4171439340633014,,0.76832260250741,,0.7572471629377425,,-1.3768081292250833,
2013,90.99166666666667,93.85833333333332,92.60916666666668,-1.967465,602496,-0.021853798235915822,,-1.3989964688647898,-12.900000000000006,-1.072608781718271,-12.099999999999994,-1.164581058389465,-7.924166666666679,-1.5626267723606404,-0.16583833333333353
2014,89.825,90.01666666666667,90.96,-0.2151116666666666,621698,0.03187075100913539,0.05372454924505121,-1.5632468929022145,-1.1666666666666714,-1.6570918176191225,-3.8416666666666544,-1.564549304262489,-1.6491666666666873,0.400851225452918,1.7523533333333334
2015,94.475,94.475,93.48166666666668,-0.1457766666666666,608599,-0.021069715521040755,-0.052940466530176145,-0.9085916313816251,4.6499999999999915,-0.9787872097949223,4.458333333333329,-0.9529758267426474,2.5216666666666896,0.4785397511564879,0.06933499999999998
2016,100.15833333333336,97.93333333333334,95.595,-0.90984,649871,0.06781476801637853,0.08888448353741929,-0.10845742285645416,5.6833333333333655,-0.4526256915761482,3.458333333333343,-0.4404344060584798,2.1133333333333155,-0.3775784274087674,-0.7640633333333333
2017,103.8,102.7,98.26833333333332,-1.2097208333333334,702642,0.0812022693734602,0.013387501357081666,0.4042385436032158,3.6416666666666373,0.27258970220972634,4.766666666666666,0.20792240685745633,2.673333333333318,-0.713589097754547,-0.2998808333333334
2018,109.55833333333334,106.975,101.25166666666668,0.1186666666666666,795205,0.1317356491641548,0.05053337979069461,1.2149317079593605,5.75833333333334,0.9230014102729308,4.2749999999999915,0.931462740473132,2.9833333333333627,0.7748433885518057,1.3283875
2019,109.06666666666666,108.6,103.06,0.7678016666666667,915980,0.15187907520702204,0.02014342604286723,1.1457118864007305,-0.49166666666667425,1.1702339308817518,1.625,1.3700332778882134,1.808333333333323,1.5021865937524526,0.6491350000000001
2020,106.59166666666664,107.65833333333336,100.94,0.2073233333333333,948339,0.0353271905500121,-0.11655188465700994,0.7972663439784775,-2.4750000000000227,1.026965854836645,-0.9416666666666345,0.8558750072965194,-2.1200000000000045,0.8741814678353734,-0.5604783333333334
2021,86.38333333333333,82.05833333333334,88.45,2.9839558333333334,1106794,0.16708687505206465,0.13175968450205255,-2.0477856438126176,-20.208333333333314,-2.8678972390623216,-25.600000000000023,-2.1732932944441608,-12.489999999999995,3.9853444496716404,2.7766325
2022,107.08333333333331,101.775,98.13333333333333,4.810215,1119168,0.011180038923232383,-0.15590683612883227,0.8664861655371073,20.69999999999999,0.13185734432470564,19.71666666666667,0.17518119623015732,9.683333333333323,6.031632503482322,1.826259166666667
2023,105.75833333333333,110.86666666666667,106.92916666666667,1.371590833333333,1103907,-0.013636022473837661,-0.024816061397070044,0.6799446125231772,-1.3249999999999886,1.5150916006540578,9.091666666666669,2.3084125429657423,8.795833333333348,2.17872067025235,-3.438624166666667
2024,100.93333333333334,106.05,100.54666666666668,-3.630988333333333,1202669,0.08946586986041405,0.10310189233425171,0.0006517873969744242,-4.824999999999989,0.7822690523879101,-4.816666666666677,0.7604808627527817,-6.382499999999993,-3.4265724742450416,-5.002579166666666
2025,97.90833333333336,99.55,96.01916666666666,0.3071808333333334,1268677,0.05488459418177394,-0.03458127567864011,-0.42522609778577225,-3.0249999999999773,-0.20666103004737352,-6.5,-0.33756233069245367,-4.527500000000018,0.9860698641062934,3.938169166666666
