ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
32,2007,31,852.0,852.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
33,2007,32,1081.0,1081.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
34,2007,33,659.0,659.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
35,2007,34,555.0,555.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
36,2007,35,1257.0,1257.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
37,2007,36,1055.0,1055.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
38,2007,37,2571.0,2571.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
39,2007,38,1434.0,1434.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
40,2007,39,204.0,204.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
41,2007,40,427.0,427.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
42,2007,41,607.0,607.0,,,,,,0,0,0,0,0,0,0.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,112.75833333333334,,,2.6
1,2008,0,1302.0,1302.0,1394.0,,,,,0,0,0,1,0,0,17319.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
2,2008,1,6166.0,6166.0,6240.0,,,,,0,0,0,1,0,0,69004.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
3,2008,2,197.0,197.0,234.0,,,,,0,0,0,1,0,0,2032.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
4,2008,3,358.0,358.0,389.0,,,,,0,0,0,1,0,0,5127.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
5,2008,4,662.0,662.0,640.0,,,,,0,0,0,1,0,0,9000.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
6,2008,5,231.0,231.0,232.0,,,,,0,0,0,1,0,0,3732.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
7,2008,6,1734.0,1734.0,1791.0,,,,,0,0,0,1,0,0,23567.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
8,2008,7,7957.0,7957.0,8746.0,,,,,0,0,0,1,0,0,78175.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
9,2008,8,1789.0,1789.0,1936.0,,,,,0,0,0,1,0,0,19788.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
10,2008,9,1620.0,1620.0,1623.0,,,,,0,0,0,1,0,0,22714.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
11,2008,10,523.0,523.0,543.0,,,,,0,0,0,1,0,0,7652.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
12,2008,11,288.0,288.0,301.0,,,,,0,0,0,1,0,0,4796.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
13,2008,12,519.0,519.0,460.0,,,,,0,0,0,1,0,0,6542.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
14,2008,13,355.0,355.0,378.0,,,,,0,0,0,1,0,0,5428.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
15,2008,14,3506.0,3506.0,3524.0,,,,,0,0,0,1,0,0,41156.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
16,2008,15,2867.0,2867.0,2924.0,,,,,0,0,0,1,0,0,38459.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
17,2008,16,2562.0,2562.0,2572.0,,,,,0,0,0,1,0,0,27146.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
18,2008,17,462.0,462.0,518.0,,,,,0,0,0,1,0,0,6644.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
19,2008,18,2847.0,2847.0,2995.0,,,,,0,0,0,1,0,0,31455.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
20,2008,19,2772.0,2772.0,2853.0,,,,,0,0,0,1,0,0,31907.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
21,2008,20,1369.0,1369.0,1329.0,,,,,0,0,0,1,0,0,15338.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
22,2008,21,1821.0,1821.0,1700.0,,,,,0,0,0,1,0,0,20971.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
23,2008,22,294.0,294.0,339.0,,,,,0,0,0,1,0,0,4320.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
24,2008,23,1063.0,1063.0,989.0,,,,,0,0,0,1,0,0,11310.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
25,2008,24,1509.0,1509.0,1607.0,,,,,0,0,0,1,0,0,18194.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
26,2008,25,326.0,326.0,331.0,,,,,0,0,0,1,0,0,5162.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
27,2008,26,2579.0,2579.0,2482.0,,,,,0,0,0,1,0,0,30710.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
28,2008,27,795.0,795.0,828.0,,,,,0,0,0,1,0,0,10381.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
29,2008,28,246.0,246.0,297.0,,,,,0,0,0,1,0,0,4061.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
30,2008,29,923.0,923.0,865.0,,,,,0,0,0,1,0,0,12518.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
31,2008,30,1335.0,1335.0,1370.0,,,,,0,0,0,1,0,0,15754.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
32,2008,31,811.0,811.0,852.0,,,,,0,0,0,1,0,0,9236.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
33,2008,32,1012.0,1012.0,1081.0,,,,,0,0,0,1,0,0,13146.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
34,2008,33,618.0,618.0,659.0,,,,,0,0,0,1,0,0,8198.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
35,2008,34,590.0,590.0,555.0,,,,,0,0,0,1,0,0,9352.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
36,2008,35,1138.0,1138.0,1257.0,,,,,0,0,0,1,0,0,13671.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
37,2008,36,946.0,946.0,1055.0,,,,,0,0,0,1,0,0,12672.0,1.0,0.0,1.0,1.0,0.2857142857142857,enterprise_birth,1,0,,,,113.375,,,3.7
