ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
33,2008,32,1012.0,1012.0,1081.0,,,-0.0638297872340425,,0,0,0,1,0,0,13146.0
34,2008,33,618.0,618.0,659.0,,,-0.0622154779969651,,0,0,0,1,0,0,8198.0
35,2008,34,590.0,590.0,555.0,,,0.063063063063063,,0,0,0,1,0,0,9352.0
36,2008,35,1138.0,1138.0,1257.0,,,-0.0946698488464598,,0,0,0,1,0,0,13671.0
37,2008,36,946.0,946.0,1055.0,,,-0.1033175355450237,,0,0,0,1,0,0,12672.0
38,2008,37,2572.0,2572.0,2571.0,,,0.0003889537145079,,0,0,0,1,0,0,29023.0
39,2008,38,1417.0,1417.0,1434.0,,,-0.0118549511854951,,0,0,0,1,0,0,18793.0
40,2008,39,216.0,216.0,204.0,,,0.0588235294117647,,0,0,0,1,0,0,2632.0
41,2008,40,347.0,347.0,427.0,,,-0.1873536299765808,,0,0,0,1,0,0,4748.0
42,2008,41,525.0,525.0,607.0,,,-0.1350906095551894,,0,0,0,1,0,0,8738.0
1,2009,0,1246.0,1246.0,1302.0,1394.0,,-0.043010752688172,,0,0,0,1,0,0,17741.0
2,2009,1,5859.0,5859.0,6166.0,6240.0,,-0.0497891663963671,,0,0,0,1,0,0,70590.0
3,2009,2,172.0,172.0,197.0,234.0,,-0.1269035532994923,,0,0,0,1,0,0,2042.0
4,2009,3,335.0,335.0,358.0,389.0,,-0.0642458100558659,,0,0,0,1,0,0,5176.0
5,2009,4,643.0,643.0,662.0,640.0,,-0.0287009063444108,,0,0,0,1,0,0,9190.0
6,2009,5,184.0,184.0,231.0,232.0,,-0.2034632034632034,,0,0,0,1,0,0,3733.0
7,2009,6,1664.0,1664.0,1734.0,1791.0,,-0.0403690888119953,,0,0,0,1,0,0,24017.0
8,2009,7,7409.0,7409.0,7957.0,8746.0,,-0.0688701772024632,,0,0,0,1,0,0,80042.0
9,2009,8,1639.0,1639.0,1789.0,1936.0,,-0.0838457238680827,,0,0,0,1,0,0,20004.0
10,2009,9,1581.0,1581.0,1620.0,1623.0,,-0.024074074074074,,0,0,0,1,0,0,23162.0
11,2009,10,494.0,494.0,523.0,543.0,,-0.0554493307839388,,0,0,0,1,0,0,7633.0
12,2009,11,277.0,277.0,288.0,301.0,,-0.0381944444444444,,0,0,0,1,0,0,4854.0
13,2009,12,404.0,404.0,519.0,460.0,,-0.2215799614643545,,0,0,0,1,0,0,6678.0
14,2009,13,362.0,362.0,355.0,378.0,,0.0197183098591549,,0,0,0,1,0,0,5512.0
15,2009,14,3160.0,3160.0,3506.0,3524.0,,-0.098687963491158,,0,0,0,1,0,0,42218.0
16,2009,15,2779.0,2779.0,2867.0,2924.0,,-0.0306941053365887,,0,0,0,1,0,0,39239.0
17,2009,16,2393.0,2393.0,2562.0,2572.0,,-0.0659640905542544,,0,0,0,1,0,0,28223.0
18,2009,17,521.0,521.0,462.0,518.0,,0.1277056277056277,,0,0,0,1,0,0,6720.0
19,2009,18,2955.0,2955.0,2847.0,2995.0,,0.0379346680716543,,0,0,0,1,0,0,31906.0
20,2009,19,2611.0,2611.0,2772.0,2853.0,,-0.058080808080808,,0,0,0,1,0,0,32749.0
21,2009,20,1274.0,1274.0,1369.0,1329.0,,-0.0693937180423666,,0,0,0,1,0,0,15743.0
22,2009,21,1633.0,1633.0,1821.0,1700.0,,-0.1032399780340472,,0,0,0,1,0,0,21496.0
23,2009,22,286.0,286.0,294.0,339.0,,-0.0272108843537414,,0,0,0,1,0,0,4352.0
24,2009,23,964.0,964.0,1063.0,989.0,,-0.0931326434619002,,0,0,0,1,0,0,11497.0
25,2009,24,1347.0,1347.0,1509.0,1607.0,,-0.1073558648111332,,0,0,0,1,0,0,18547.0
26,2009,25,279.0,279.0,326.0,331.0,,-0.1441717791411043,,0,0,0,1,0,0,5134.0
27,2009,26,2327.0,2327.0,2579.0,2482.0,,-0.097712291585886,,0,0,0,1,0,0,31671.0
28,2009,27,738.0,738.0,795.0,828.0,,-0.0716981132075471,,0,0,0,1,0,0,10578.0
29,2009,28,230.0,230.0,246.0,297.0,,-0.065040650406504,,0,0,0,1,0,0,4099.0
30,2009,29,815.0,815.0,923.0,865.0,,-0.1170097508125677,,0,0,0,1,0,0,12789.0
31,2009,30,1197.0,1197.0,1335.0,1370.0,,-0.1033707865168539,,0,0,0,1,0,0,16159.0
32,2009,31,747.0,747.0,811.0,852.0,,-0.0789149198520345,,0,0,0,1,0,0,9426.0
33,2009,32,1016.0,1016.0,1012.0,1081.0,,0.0039525691699604,,0,0,0,1,0,0,13386.0
34,2009,33,564.0,564.0,618.0,659.0,,-0.087378640776699,,0,0,0,1,0,0,8351.0
35,2009,34,526.0,526.0,590.0,555.0,,-0.1084745762711864,,0,0,0,1,0,0,9521.0
36,2009,35,1034.0,1034.0,1138.0,1257.0,,-0.0913884007029877,,0,0,0,1,0,0,13913.0
37,2009,36,890.0,890.0,946.0,1055.0,,-0.0591966173361522,,0,0,0,1,0,0,12806.0
38,2009,37,2351.0,2351.0,2572.0,2571.0,,-0.0859253499222395,,0,0,0,1,0,0,29962.0
39,2009,38,1157.0,1157.0,1417.0,1434.0,,-0.1834862385321101,,0,0,0,1,0,0,19076.0
