country,window_start,window_end,source_sector,target_sector,beta_main,beta_wo20
NL,2014,2019,FZ,GI,0.1953236916762181,0.1953236916762181
NL,2014,2019,FZ,RU,0.16971372576479038,0.16971372576479046
NL,2014,2019,JZ,FZ,-0.23010324533709853,-0.2301032453370985
PT,2014,2019,BE,MN,-0.2806957415036843,-0.2806957415036843
PT,2014,2019,MN,JZ,-0.3105327112403854,-0.3105327112403854
PT,2014,2019,OQ,JZ,-0.32766633100931736,-0.32766633100931736
PT,2015,2020,GI,BE,0.36173598270211377,0.28695899551264226
PT,2015,2020,MN,JZ,-0.2886169835543657,-0.34725117651992493
PT,2015,2020,MN,OQ,-0.28691521107236867,-0.34403036187006675
PT,2015,2020,OQ,JZ,-0.2667198089735373,-0.311845772395549
PT,2017,2022,BE,MN,-0.22785627328566224,-0.34661680223309743
PT,2017,2022,GI,JZ,-0.22013439849621866,-0.3159559105064572
