task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted
2,FR,main,2010,2015,GI,KZ,560,0.09268591562561945,0.008538837823615641,0.041,0.948,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1068.256,0.328,False
2,FR,main,2010,2015,GI,LZ,560,0.01201557249976748,0.00014437061789829286,0.772,0.624,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1068.256,0.9264,False
2,FR,main,2010,2015,GI,MN,560,-0.0006614867032282978,4.3748578126834303e-07,0.979,0.512,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1068.256,0.996,False
2,FR,main,2010,2015,GI,OQ,560,0.0980875471046565,0.009618304801398136,0.023,0.982,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1068.256,0.261,False
2,FR,main,2010,2015,GI,RU,560,0.07158445352202258,0.00512359531304063,0.099,0.958,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1068.256,0.5091428571428571,False
3,FR,main,2010,2015,JZ,BE,560,-0.09239098169904336,0.008519566008276414,0.023,0.986,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.261,False
3,FR,main,2010,2015,JZ,FZ,560,-0.02277706200086782,0.0005151359042501191,0.564,0.706,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.864,False
3,FR,main,2010,2015,JZ,GI,560,0.01989254318048861,0.00039570534957600323,0.69,0.6,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.8935714285714286,False
3,FR,main,2010,2015,JZ,KZ,560,0.05112402764796842,0.0025697108762534615,0.215,0.856,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.7371428571428572,False
3,FR,main,2010,2015,JZ,LZ,560,-0.026893281077447817,0.0007213859256408606,0.545,0.726,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.864,False
3,FR,main,2010,2015,JZ,MN,560,0.07688144628486049,0.005902635004899959,0.07,0.948,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.432,False
3,FR,main,2010,2015,JZ,OQ,560,-0.0006383569420443519,3.991198911368343e-07,0.986,0.494,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.996,False
3,FR,main,2010,2015,JZ,RU,560,0.048888738795268616,0.0023817342881025105,0.26,0.868,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1080.164,0.7584,False
4,FR,main,2010,2015,KZ,BE,560,-0.024551781602569683,0.000602394778570936,0.522,0.73,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.864,False
4,FR,main,2010,2015,KZ,FZ,560,0.015800285995430374,0.0002486000909389663,0.709,0.602,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.8955789473684209,False
4,FR,main,2010,2015,KZ,GI,560,0.0517657812950873,0.002663525274912093,0.289,0.848,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.7584,False
4,FR,main,2010,2015,KZ,JZ,560,0.031023572621826756,0.0009462758542777561,0.475,0.692,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.864,False
4,FR,main,2010,2015,KZ,LZ,560,0.041762258557327125,0.0017360771290801935,0.284,0.834,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.7584,False
4,FR,main,2010,2015,KZ,MN,560,-0.06346488748107629,0.0039993023914975945,0.114,0.892,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.5472,False
4,FR,main,2010,2015,KZ,OQ,560,0.037945263653130015,0.001422401367475734,0.374,0.714,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.792,False
4,FR,main,2010,2015,KZ,RU,560,0.054361612873654486,0.0029322803868991887,0.206,0.808,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1121.924,0.7371428571428572,False
5,FR,main,2010,2015,LZ,BE,560,0.030129376728272622,0.000906393693086871,0.441,0.806,a6f8a5b2a34f17fac028518bf7955f7d8931c7a498b0af57b1afae5eb62c742e,3665f531c33103d106859fdaccc27aaa9de88a36,hpcnode40,1079.716,0.8581621621621621,False
