region_id,observation_year,sector_a10,sector_births,country,source_label,region_name,region_level,flag_target_concept,meta_region_system,meta_source_label,mask_sector_births,mask_sector_supported,mask_complete_sector_vector,business_sector_total,sector_share,sector_growth_1y,available_for_forecast_year
1101,2015,GI,1846.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,5502.0,0.3355143584151218,0.12767257177764213,2016
1101,2015,JZ,350.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,5502.0,0.06361323155216285,0.08695652173913038,2016
1101,2015,KZ,130.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,5502.0,0.023627771719374774,0.1711711711711712,2016
1101,2015,LZ,147.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,5502.0,0.026717557251908396,0.16666666666666674,2016
1101,2015,MN,1117.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,5502.0,0.203017084696474,-0.019315188762071944,2016
1101,2015,OQ,582.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,5502.0,0.10577971646673937,-0.058252427184465994,2016
1101,2015,RU,549.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,5502.0,0.09978189749182116,0.10909090909090913,2016
1101,2016,BE,177.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.028090779241390255,-0.06349206349206349,2017
1101,2016,FZ,585.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.09284240596730678,-0.011824324324324342,2017
1101,2016,GI,2189.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.34740517378193936,0.18580715059588293,2017
1101,2016,JZ,367.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.05824472305983177,0.04857142857142849,2017
1101,2016,KZ,139.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.022059990477701952,0.0692307692307692,2017
1101,2016,LZ,234.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.03713696238692271,0.5918367346938775,2017
1101,2016,MN,1367.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.21694969052531343,0.2238137869292749,2017
1101,2016,OQ,691.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.10966513251864783,0.1872852233676976,2017
1101,2016,RU,552.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6301.0,0.08760514204094588,0.005464480874316946,2017
1101,2017,BE,223.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.03303703703703704,0.25988700564971756,2018
1101,2017,FZ,585.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.08666666666666667,0.0,2018
1101,2017,GI,2232.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.33066666666666666,0.01964367291000446,2018
1101,2017,JZ,444.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.06577777777777778,0.2098092643051772,2018
1101,2017,KZ,164.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.024296296296296295,0.17985611510791366,2018
1101,2017,LZ,233.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.03451851851851852,-0.004273504273504258,2018
1101,2017,MN,1562.0,FR,SIDE/SIRENE,Cergy-Vexin,ZE2020,establishment_creation,ZE2020,SIDE,1,1,1,6750.0,0.2314074074074074,0.14264813460131665,2018
