zone_id,target_year,y,side_lag_1,growth_1y
CR11,2018,1295.0,1260.0,0.0277777777777777
CR11,2019,1465.0,1295.0,0.1312741312741312
CR11,2020,1500.0,1465.0,0.0238907849829351
CR11,2021,1685.0,1500.0,0.1233333333333333
CR11,2022,1780.0,1685.0,0.0563798219584569
CR11,2023,1930.0,1780.0,0.0842696629213483
CR11,2024,1640.0,1930.0,-0.1502590673575129
CR11,2025,1545.0,1640.0,-0.0579268292682926
CR12,2015,5090.0,,
CR12,2016,4850.0,5090.0,-0.0471512770137524
CR12,2017,4720.0,4850.0,-0.0268041237113402
CR12,2018,4890.0,4720.0,0.0360169491525423
CR12,2019,5465.0,4890.0,0.1175869120654396
CR12,2020,5585.0,5465.0,0.0219579139981701
CR12,2021,6440.0,5585.0,0.153088630259624
CR12,2022,6250.0,6440.0,-0.0295031055900621
CR12,2023,7055.0,6250.0,0.1288
CR12,2024,6135.0,7055.0,-0.1304039688164422
CR12,2025,5650.0,6135.0,-0.0790546047269763
CR13,2015,5905.0,,
CR13,2016,5775.0,5905.0,-0.0220152413209144
CR13,2017,5690.0,5775.0,-0.0147186147186147
CR13,2018,6290.0,5690.0,0.1054481546572935
CR13,2019,6955.0,6290.0,0.1057233704292527
CR13,2020,7145.0,6955.0,0.0273184759166067
CR13,2021,8275.0,7145.0,0.1581525542337298
CR13,2022,8125.0,8275.0,-0.0181268882175226
CR13,2023,8635.0,8125.0,0.0627692307692307
CR13,2024,7940.0,8635.0,-0.0804863925883034
CR13,2025,6640.0,7940.0,-0.163727959697733
CR14,2015,3110.0,,
CR14,2016,3105.0,3110.0,-0.0016077170418006
CR14,2017,2790.0,3105.0,-0.1014492753623188
CR14,2018,2990.0,2790.0,0.07168458781362
CR14,2019,3235.0,2990.0,0.0819397993311036
CR14,2020,3450.0,3235.0,0.0664605873261205
CR14,2021,3905.0,3450.0,0.1318840579710145
CR14,2022,3720.0,3905.0,-0.0473751600512163
CR14,2023,4005.0,3720.0,0.0766129032258064
CR14,2024,3630.0,4005.0,-0.0936329588014981
CR14,2025,3145.0,3630.0,-0.1336088154269972
CR15,2015,6680.0,,
CR15,2016,6970.0,6680.0,0.0434131736526946
CR15,2017,7025.0,6970.0,0.0078909612625538
CR15,2018,7605.0,7025.0,0.0825622775800711
CR15,2019,8510.0,7605.0,0.1190006574621959
CR15,2020,8435.0,8510.0,-0.008813160987074
CR15,2021,9375.0,8435.0,0.1114404267931239
CR15,2022,9740.0,9375.0,0.0389333333333333
