zone_id,target_year,a10,jobs,jobs_suppressed
CR02,2011,MN,1.8,0
CR02,2011,OPQ,5.2,0
CR02,2011,RSU,0.3,0
CR02,2012,A,0.2,0
CR02,2012,BE,3.7,0
CR02,2012,FZ,0.6,0
CR02,2012,GI,4.4,0
CR02,2012,JZ,0.0,0
CR02,2012,KZ,0.3,0
CR02,2012,LZ,0.1,0
CR02,2012,MN,2.0,0
CR02,2012,OPQ,5.1,0
CR02,2012,RSU,0.3,0
CR02,2013,A,0.2,0
CR02,2013,BE,3.3,0
CR02,2013,FZ,0.5,0
CR02,2013,GI,4.3,0
CR02,2013,JZ,0.0,0
CR02,2013,KZ,0.3,0
CR02,2013,LZ,0.1,0
CR02,2013,MN,1.8,0
CR02,2013,OPQ,5.0,0
CR02,2013,RSU,0.3,0
CR02,2014,A,0.2,0
CR02,2014,BE,3.1,0
CR02,2014,FZ,0.5,0
CR02,2014,GI,4.4,0
CR02,2014,JZ,0.0,0
CR02,2014,KZ,0.2,0
CR02,2014,LZ,0.1,0
CR02,2014,MN,2.0,0
CR02,2014,OPQ,4.8,0
CR02,2014,RSU,0.3,0
CR02,2015,A,0.1,0
CR02,2015,BE,3.0,0
CR02,2015,FZ,0.6,0
CR02,2015,GI,4.5,0
CR02,2015,JZ,0.0,0
CR02,2015,KZ,0.2,0
CR02,2015,LZ,0.1,0
CR02,2015,MN,2.5,0
CR02,2015,OPQ,4.5,0
CR02,2015,RSU,0.3,0
CR02,2016,A,0.2,0
CR02,2016,BE,3.2,0
CR02,2016,FZ,0.5,0
CR02,2016,GI,4.5,0
CR02,2016,JZ,0.0,0
CR02,2016,KZ,0.3,0
CR02,2016,LZ,0.1,0
CR02,2016,MN,2.5,0
CR02,2016,OPQ,4.5,0
CR02,2016,RSU,0.3,0
CR02,2017,A,0.2,0
CR02,2017,BE,3.3,0
CR02,2017,FZ,0.5,0
CR02,2017,GI,4.5,0
CR02,2017,JZ,0.0,0
CR02,2017,KZ,0.2,0
CR02,2017,LZ,0.1,0
CR02,2017,MN,2.2,0
