ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,OprichtingenVanVestigingen_1
598,T001081,CR08  ,2016JJ00,1175.0
599,T001081,CR08  ,2017JJ00,1095.0
600,T001081,CR08  ,2018JJ00,1160.0
601,T001081,CR08  ,2019JJ00,1280.0
602,T001081,CR08  ,2020JJ00,1315.0
603,T001081,CR08  ,2021JJ00,1485.0
604,T001081,CR08  ,2022JJ00,1460.0
605,T001081,CR08  ,2023JJ00,1535.0
606,T001081,CR08  ,2024JJ00,1570.0
607,T001081,CR08  ,2025JJ00,1300.0
608,T001081,CR09  ,2007JJ00,
609,T001081,CR09  ,2008JJ00,
610,T001081,CR09  ,2009JJ00,
611,T001081,CR09  ,2010JJ00,
612,T001081,CR09  ,2011JJ00,
613,T001081,CR09  ,2012JJ00,
614,T001081,CR09  ,2013JJ00,
615,T001081,CR09  ,2014JJ00,
616,T001081,CR09  ,2015JJ00,1030.0
617,T001081,CR09  ,2016JJ00,1020.0
618,T001081,CR09  ,2017JJ00,945.0
619,T001081,CR09  ,2018JJ00,1070.0
620,T001081,CR09  ,2019JJ00,1075.0
621,T001081,CR09  ,2020JJ00,1145.0
622,T001081,CR09  ,2021JJ00,1280.0
623,T001081,CR09  ,2022JJ00,1305.0
624,T001081,CR09  ,2023JJ00,1295.0
625,T001081,CR09  ,2024JJ00,1180.0
626,T001081,CR09  ,2025JJ00,1065.0
627,T001081,CR10  ,2007JJ00,
628,T001081,CR10  ,2008JJ00,
629,T001081,CR10  ,2009JJ00,
630,T001081,CR10  ,2010JJ00,
631,T001081,CR10  ,2011JJ00,
632,T001081,CR10  ,2012JJ00,
633,T001081,CR10  ,2013JJ00,
634,T001081,CR10  ,2014JJ00,
635,T001081,CR10  ,2015JJ00,2960.0
636,T001081,CR10  ,2016JJ00,2930.0
637,T001081,CR10  ,2017JJ00,3005.0
638,T001081,CR10  ,2018JJ00,3160.0
639,T001081,CR10  ,2019JJ00,3375.0
640,T001081,CR10  ,2020JJ00,3555.0
641,T001081,CR10  ,2021JJ00,4025.0
642,T001081,CR10  ,2022JJ00,3995.0
643,T001081,CR10  ,2023JJ00,4210.0
644,T001081,CR10  ,2024JJ00,3965.0
645,T001081,CR10  ,2025JJ00,3405.0
646,T001081,CR11  ,2007JJ00,
647,T001081,CR11  ,2008JJ00,
