ID,BedrijfstakkenBranchesSBI2008,RegioS,Perioden,BanenVanWerknemersInDecember_1
434,T001081,CR08  ,2024JJ00,66.2
435,T001081,CR09  ,2010JJ00,58.4
436,T001081,CR09  ,2011JJ00,60.6
437,T001081,CR09  ,2012JJ00,61.5
438,T001081,CR09  ,2013JJ00,60.1
439,T001081,CR09  ,2014JJ00,62.4
440,T001081,CR09  ,2015JJ00,61.7
441,T001081,CR09  ,2016JJ00,59.5
442,T001081,CR09  ,2017JJ00,60.7
443,T001081,CR09  ,2018JJ00,63.3
444,T001081,CR09  ,2019JJ00,64.8
445,T001081,CR09  ,2020JJ00,63.3
446,T001081,CR09  ,2021JJ00,65.6
447,T001081,CR09  ,2022JJ00,67.2
448,T001081,CR09  ,2023JJ00,69.6
449,T001081,CR09  ,2024JJ00,68.8
450,T001081,CR10  ,2010JJ00,178.7
451,T001081,CR10  ,2011JJ00,181.0
452,T001081,CR10  ,2012JJ00,178.6
453,T001081,CR10  ,2013JJ00,173.5
454,T001081,CR10  ,2014JJ00,173.9
455,T001081,CR10  ,2015JJ00,178.4
456,T001081,CR10  ,2016JJ00,187.2
457,T001081,CR10  ,2017JJ00,191.1
458,T001081,CR10  ,2018JJ00,196.3
459,T001081,CR10  ,2019JJ00,199.7
460,T001081,CR10  ,2020JJ00,199.6
461,T001081,CR10  ,2021JJ00,206.8
462,T001081,CR10  ,2022JJ00,211.0
463,T001081,CR10  ,2023JJ00,209.7
464,T001081,CR10  ,2024JJ00,212.8
465,T001081,CR11  ,2010JJ00,69.8
466,T001081,CR11  ,2011JJ00,70.7
467,T001081,CR11  ,2012JJ00,68.5
468,T001081,CR11  ,2013JJ00,67.9
469,T001081,CR11  ,2014JJ00,68.3
470,T001081,CR11  ,2015JJ00,68.7
471,T001081,CR11  ,2016JJ00,69.7
472,T001081,CR11  ,2017JJ00,78.5
473,T001081,CR11  ,2018JJ00,80.6
474,T001081,CR11  ,2019JJ00,71.3
475,T001081,CR11  ,2020JJ00,69.5
476,T001081,CR11  ,2021JJ00,72.5
477,T001081,CR11  ,2022JJ00,74.1
478,T001081,CR11  ,2023JJ00,74.8
479,T001081,CR11  ,2024JJ00,75.4
480,T001081,CR12  ,2010JJ00,276.4
