country,sector,source_region,target_region,bootstrap_frequency,promoted_stable_edge
FR,KZ,2806,4409,0.9849246231155779,1
FR,BE,2713,4425,0.9798994974874372,1
FR,RU,1113,7513,0.9748743718592965,1
FR,FZ,1104,4414,0.9698492462311558,1
FR,LZ,2401,8434,0.9597989949748744,1
FR,BE,2403,4413,0.9447236180904522,1
FR,JZ,2702,8424,0.9195979899497487,1
FR,LZ,4413,7623,0.914572864321608,1
FR,GI,2402,4411,0.7889447236180904,1
FR,OQ,8408,9302,0.7638190954773869,1
FR,KZ,4422,5318,0.7487437185929648,1
FR,RU,1113,7501,0.7487437185929648,1
FR,OQ,4408,9318,0.7035175879396985,1
FR,RU,1104,4424,0.6984924623115578,0
FR,JZ,2716,7606,0.6683417085427136,0
FR,FZ,4413,5216,0.6080402010050251,0
FR,OQ,5303,5305,0.6030150753768844,0
FR,FZ,5206,5315,0.5728643216080402,0
FR,KZ,2408,2812,0.5628140703517588,0
FR,MN,55,9307,0.5577889447236181,0
FR,LZ,53,7624,0.48743718592964824,0
FR,OQ,54,59,0.4824120603015075,0
FR,FZ,2808,7514,0.4824120603015075,0
FR,BE,4411,8406,0.4623115577889447,0
FR,RU,7501,7513,0.4623115577889447,0
FR,MN,1109,1113,0.45226130653266333,0
FR,GI,3221,8427,0.4472361809045226,0
FR,KZ,5312,7607,0.4371859296482412,0
FR,LZ,4410,4424,0.4321608040201005,0
FR,KZ,1110,2818,0.4120603015075377,0
FR,RU,2712,5202,0.3969849246231156,0
FR,BE,2812,8423,0.3869346733668342,0
FR,FZ,5216,9305,0.3869346733668342,0
FR,JZ,3207,7622,0.36683417085427134,0
FR,MN,1106,1114,0.36683417085427134,0
FR,MN,5201,5219,0.36180904522613067,0
FR,GI,3201,5315,0.3417085427135678,0
FR,MN,2703,4403,0.3417085427135678,0
FR,JZ,5217,7607,0.33668341708542715,0
FR,LZ,4409,61,0.3316582914572864,0
FR,OQ,7605,7625,0.32160804020100503,0
FR,BE,2406,9312,0.3165829145728643,0
FR,GI,4407,7501,0.3165829145728643,0
FR,RU,2412,4404,0.3165829145728643,0
FR,MN,1109,1114,0.31155778894472363,0
FR,GI,4402,4427,0.3015075376884422,0
FR,OQ,8401,9301,0.3015075376884422,0
FR,JZ,5314,7615,0.2914572864321608,0
FR,GI,7506,8415,0.2914572864321608,0
FR,LZ,1105,5201,0.2864321608040201,0
FR,BE,56,8401,0.2814070351758794,0
FR,MN,1113,4425,0.271356783919598,0
