zone_id,ZE2020
PT_111,1
PT_112,2
PT_119,3
PT_11A,4
PT_11B,5
PT_11C,6
PT_11D,7
PT_11E,8
PT_150,9
PT_16B,10
PT_16D,11
PT_16E,12
PT_16F,13
PT_16G,14
PT_16H,15
PT_16I,16
PT_16J,17
PT_170,18
PT_181,19
PT_184,20
PT_185,21
PT_186,22
PT_187,23
PT_200,24
PT_300,25
