ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
23,2010,22,2141.0,2141.0,2297.0,-0.0679146713104048,0,0,0,1,0,0,20186.0
24,2010,23,3081.0,3081.0,3177.0,-0.0302171860245514,0,0,0,1,0,0,26640.0
25,2010,24,2686.0,2686.0,2820.0,-0.0475177304964539,0,0,0,1,0,0,22550.0
1,2011,0,2813.0,2813.0,2519.0,0.1167129813418023,0,0,0,1,0,0,23697.0
2,2011,1,5148.0,5148.0,4881.0,0.0547019053472649,0,0,0,1,0,0,41545.0
3,2011,2,4546.0,4546.0,4434.0,0.0252593594948128,0,0,0,1,0,0,37409.0
4,2011,3,23599.0,23599.0,23074.0,0.022752882031724,0,0,0,1,0,0,191519.0
5,2011,4,994.0,994.0,902.0,0.1019955654101995,0,0,0,1,0,0,8316.0
6,2011,5,4144.0,4144.0,3879.0,0.068316576437226,0,0,0,1,0,0,33525.0
7,2011,6,2749.0,2749.0,1938.0,0.4184726522187822,0,0,0,1,0,0,18664.0
8,2011,7,1472.0,1472.0,1282.0,0.1482059282371295,0,0,0,1,0,0,11920.0
9,2011,8,7247.0,7247.0,7515.0,-0.0356620093147039,0,0,0,1,0,0,61562.0
10,2011,9,4900.0,4900.0,4663.0,0.0508256487239974,0,0,0,1,0,0,42179.0
11,2011,10,4510.0,4510.0,4558.0,-0.0105309346204475,0,0,0,1,0,0,40006.0
12,2011,11,5826.0,5826.0,5577.0,0.0446476600322754,0,0,0,1,0,0,50930.0
13,2011,12,3586.0,3586.0,3628.0,-0.0115766262403528,0,0,0,1,0,0,35914.0
14,2011,13,2793.0,2793.0,2867.0,-0.0258109522148587,0,0,0,1,0,0,24869.0
15,2011,14,833.0,833.0,912.0,-0.0866228070175438,0,0,0,1,0,0,8446.0
16,2011,15,2482.0,2482.0,2418.0,0.0264681555004135,0,0,0,1,0,0,23924.0
17,2011,16,2323.0,2323.0,2227.0,0.0431073192635833,0,0,0,1,0,0,22031.0
18,2011,17,45709.0,45709.0,44723.0,0.0220468215459606,0,0,0,1,0,0,340386.0
19,2011,18,1450.0,1450.0,1358.0,0.0677466863033873,0,0,0,1,0,0,11545.0
20,2011,19,1473.0,1473.0,1375.0,0.0712727272727272,0,0,0,1,0,0,13858.0
21,2011,20,2972.0,2972.0,2863.0,0.0380719524973803,0,0,0,1,0,0,24946.0
22,2011,21,1377.0,1377.0,1258.0,0.0945945945945946,0,0,0,1,0,0,11624.0
23,2011,22,2316.0,2316.0,2141.0,0.0817375058383932,0,0,0,1,0,0,19454.0
24,2011,23,3639.0,3639.0,3081.0,0.181110029211295,0,0,0,1,0,0,25616.0
25,2011,24,2848.0,2848.0,2686.0,0.0603127326880119,0,0,0,1,0,0,21505.0
1,2012,0,2561.0,2561.0,2813.0,-0.0895840739424102,0,0,0,1,0,0,23704.0
2,2012,1,4755.0,4755.0,5148.0,-0.0763403263403263,0,0,0,1,0,0,41078.0
3,2012,2,4528.0,4528.0,4546.0,-0.0039595248570171,0,0,0,1,0,0,36964.0
4,2012,3,22309.0,22309.0,23599.0,-0.0546633331920844,0,0,0,1,0,0,186669.0
5,2012,4,801.0,801.0,994.0,-0.1941649899396378,0,0,0,1,0,0,8226.0
6,2012,5,3911.0,3911.0,4144.0,-0.0562258687258687,0,0,0,1,0,0,33462.0
7,2012,6,2197.0,2197.0,2749.0,-0.2008002910149145,0,0,0,1,0,0,19051.0
8,2012,7,1156.0,1156.0,1472.0,-0.2146739130434782,0,0,0,1,0,0,12005.0
9,2012,8,6972.0,6972.0,7247.0,-0.037946736580654,0,0,0,1,0,0,58256.0
10,2012,9,4490.0,4490.0,4900.0,-0.0836734693877551,0,0,0,1,0,0,40906.0
11,2012,10,4268.0,4268.0,4510.0,-0.0536585365853658,0,0,0,1,0,0,38776.0
12,2012,11,5335.0,5335.0,5826.0,-0.0842773772742876,0,0,0,1,0,0,49624.0
13,2012,12,3443.0,3443.0,3586.0,-0.0398773006134969,0,0,0,1,0,0,34739.0
14,2012,13,2625.0,2625.0,2793.0,-0.0601503759398496,0,0,0,1,0,0,24378.0
15,2012,14,863.0,863.0,833.0,0.0360144057623049,0,0,0,1,0,0,8192.0
16,2012,15,2383.0,2383.0,2482.0,-0.039887187751813,0,0,0,1,0,0,23318.0
17,2012,16,2158.0,2158.0,2323.0,-0.0710288420146362,0,0,0,1,0,0,21640.0
18,2012,17,42815.0,42815.0,45709.0,-0.0633135706316042,0,0,0,1,0,0,326384.0
19,2012,18,1325.0,1325.0,1450.0,-0.0862068965517241,0,0,0,1,0,0,11423.0
20,2012,19,1560.0,1560.0,1473.0,0.0590631364562118,0,0,0,1,0,0,13619.0
21,2012,20,2744.0,2744.0,2972.0,-0.0767160161507402,0,0,0,1,0,0,24273.0
22,2012,21,1165.0,1165.0,1377.0,-0.1539578794480755,0,0,0,1,0,0,11371.0
23,2012,22,2269.0,2269.0,2316.0,-0.020293609671848,0,0,0,1,0,0,19061.0
24,2012,23,3036.0,3036.0,3639.0,-0.1657048639736191,0,0,0,1,0,0,25517.0
25,2012,24,3291.0,3291.0,2848.0,0.1555477528089887,0,0,0,1,0,0,20923.0
1,2013,0,6373.0,6373.0,2561.0,1.488481062085123,0,0,0,1,0,0,23069.0
2,2013,1,6869.0,6869.0,4755.0,0.4445846477392218,0,0,0,1,0,0,39702.0
3,2013,2,5707.0,5707.0,4528.0,0.2603798586572438,0,0,0,1,0,0,36224.0
4,2013,3,27049.0,27049.0,22309.0,0.2124703034649692,0,0,0,1,0,0,179986.0
5,2013,4,4520.0,4520.0,801.0,4.64294631710362,0,0,0,1,0,0,7744.0
6,2013,5,6658.0,6658.0,3911.0,0.7023779084633086,0,0,0,1,0,0,32666.0
7,2013,6,12290.0,12290.0,2197.0,4.593991807009559,0,0,0,1,0,0,18285.0
8,2013,7,7813.0,7813.0,1156.0,5.758650519031142,0,0,0,1,0,0,11143.0
9,2013,8,8571.0,8571.0,6972.0,0.2293459552495697,0,0,0,1,0,0,54801.0
10,2013,9,7161.0,7161.0,4490.0,0.5948775055679287,0,0,0,1,0,0,38721.0
11,2013,10,6943.0,6943.0,4268.0,0.6267572633552015,0,0,0,1,0,0,37259.0
12,2013,11,8953.0,8953.0,5335.0,0.6781630740393627,0,0,0,1,0,0,47278.0
13,2013,12,4526.0,4526.0,3443.0,0.3145512634330525,0,0,0,1,0,0,33277.0
14,2013,13,5804.0,5804.0,2625.0,1.2110476190476192,0,0,0,1,0,0,23396.0
15,2013,14,1165.0,1165.0,863.0,0.3499420625724218,0,0,0,1,0,0,7850.0
16,2013,15,2780.0,2780.0,2383.0,0.1665967268149391,0,0,0,1,0,0,22353.0
17,2013,16,5170.0,5170.0,2158.0,1.3957367933271547,0,0,0,1,0,0,20630.0
18,2013,17,48167.0,48167.0,42815.0,0.1250029195375452,0,0,0,1,0,0,310270.0
19,2013,18,1702.0,1702.0,1325.0,0.2845283018867924,0,0,0,1,0,0,10788.0
20,2013,19,2313.0,2313.0,1560.0,0.4826923076923077,0,0,0,1,0,0,12963.0
21,2013,20,3696.0,3696.0,2744.0,0.3469387755102041,0,0,0,1,0,0,22850.0
22,2013,21,1772.0,1772.0,1165.0,0.5210300429184549,0,0,0,1,0,0,10769.0
23,2013,22,2690.0,2690.0,2269.0,0.1855442926399295,0,0,0,1,0,0,18235.0
24,2013,23,4168.0,4168.0,3036.0,0.372859025032938,0,0,0,1,0,0,24431.0
25,2013,24,6190.0,6190.0,3291.0,0.8808872683075053,0,0,0,1,0,0,20483.0
1,2014,0,4635.0,4635.0,6373.0,-0.2727130080025106,0,0,0,1,0,0,26181.0
2,2014,1,6110.0,6110.0,6869.0,-0.110496433250837,0,0,0,1,0,0,41023.0
3,2014,2,5421.0,5421.0,5707.0,-0.0501138952164009,0,0,0,1,0,0,36832.0
4,2014,3,26624.0,26624.0,27049.0,-0.0157122259602942,0,0,0,1,0,0,180039.0
5,2014,4,1926.0,1926.0,4520.0,-0.5738938053097346,0,0,0,1,0,0,11087.0
6,2014,5,5513.0,5513.0,6658.0,-0.1719735656353259,0,0,0,1,0,0,34622.0
7,2014,6,5400.0,5400.0,12290.0,-0.5606183889340928,0,0,0,1,0,0,27691.0
8,2014,7,4206.0,4206.0,7813.0,-0.4616664533469858,0,0,0,1,0,0,17000.0
9,2014,8,10655.0,10655.0,8571.0,0.2431454906078637,0,0,0,1,0,0,54645.0
10,2014,9,5671.0,5671.0,7161.0,-0.208071498394079,0,0,0,1,0,0,40125.0
11,2014,10,5768.0,5768.0,6943.0,-0.1692352009217917,0,0,0,1,0,0,38606.0
12,2014,11,7844.0,7844.0,8953.0,-0.1238690941583826,0,0,0,1,0,0,48993.0
13,2014,12,4548.0,4548.0,4526.0,0.0048608042421564,0,0,0,1,0,0,33186.0
