ze2020,year,sector_code,sector_share_lag_1,mask_sector_share_lag_1_available,sector_growth_lag_1,mask_sector_growth_lag_1_available,sector_growth_lag_2,mask_sector_growth_lag_2_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,national_sector_share_lag_1,mask_national_sector_share_lag_1_available,national_sector_growth_lag_1,mask_national_sector_growth_lag_1_available
0051,2012,BE,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,FZ,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,GI,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,JZ,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,KZ,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,LZ,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,MN,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,OQ,,0,,0,,0,,,,,,,0,,0,,0
0051,2012,RU,,0,,0,,0,,,,,,,0,,0,,0
0051,2013,BE,0.069090909090909,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.05507527311159707,1,,0
0051,2013,FZ,0.1866666666666666,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.14154072443368612,1,,0
0051,2013,GI,0.2812121212121212,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.264096357375596,1,,0
0051,2013,JZ,0.0242424242424242,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.04844818712994576,1,,0
0051,2013,KZ,0.0315151515151515,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.02934782785161951,1,,0
0051,2013,LZ,0.0412121212121212,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.03473943798024862,1,,0
0051,2013,MN,0.1321212121212121,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.20192156270648762,1,,0
0051,2013,OQ,0.103030303030303,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.11202080664721725,1,,0
0051,2013,RU,0.1309090909090909,1,,0,,0,GI,0.2812121212121212,0.888851218936782,0.16718604224058758,0.2812121212121212,0.1866666666666666,1,0.112809822763602,1,,0
0051,2014,BE,0.071523178807947,1,-0.05263157894736842,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.058279225090291056,1,0.035048932908855024,1
0051,2014,FZ,0.1947019867549669,1,-0.045454545454545456,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.13425815275122158,1,-0.07218150327472095,1
0051,2014,GI,0.3178807947019867,1,0.034482758620689655,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.28214627151051624,1,0.044998524638536486,1
0051,2014,JZ,0.03841059602649,1,0.45,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.045600302740599105,1,-0.07935124991622544,1
0051,2014,KZ,0.0278145695364238,1,-0.19230769230769232,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.031225103569152327,1,0.04071472036289214,1
0051,2014,LZ,0.0225165562913907,1,-0.5,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.03154709740811557,1,-0.11173941489858863,1
0051,2014,MN,0.1072847682119205,1,-0.25688073394495414,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.19683948109199065,1,-0.04647236180904524,1
0051,2014,OQ,0.1019867549668874,1,-0.09411764705882353,1,,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.11574018748672191,1,0.010623188405797013,1
