node_id,ze2020,ze2020_label,sector_code,sector_label,decision_year,sector_count_t,sector_share_t,sector_rank_in_ze_year_t,sector_share_lag_1,sector_growth_lag_1,sector_growth_lag_2,dominant_sector_flag_t,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,national_sector_share_lag_1,national_sector_growth_lag_1,relation_signal_strength_mean_to_t,relation_signal_strength_max_to_t,relation_stability_mean_to_t,relation_count_to_t,mask_sector_share_lag_1_available,mask_sector_growth_lag_1_available,mask_sector_growth_lag_2_available,mask_ze_sector_distribution_lag_1_available,mask_national_sector_share_lag_1_available,mask_national_sector_growth_lag_1_available,mask_future_growth_1y_available,mask_future_growth_3y_available,future_growth_1y,future_growth_3y,future_top3_growth_3y_label,feature_complete,claim_status
0052_JZ,0052,Arles,JZ,Information and communication,2012,46.0,0.0251091703056768,8,0.0251091703056768,,,0,0.2860262008733624,0.8710719190730317,0.1721291546690565,0.2860262008733624,0.1479257641921397,0.0484481871299457,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.2826086956521739,-0.0869565217391304,0,0,dynamic_graph_input_exploratory_not_recommendation
0052_KZ,0052,Arles,KZ,Financial and insurance activities,2012,27.0,0.0147379912663755,9,0.0147379912663755,,,0,0.2860262008733624,0.8710719190730317,0.1721291546690565,0.2860262008733624,0.1479257641921397,0.0293478278516195,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0.4814814814814814,0.8518518518518519,1,0,dynamic_graph_input_exploratory_not_recommendation
0052_LZ,0052,Arles,LZ,Real estate activities,2012,55.0,0.0300218340611353,7,0.0300218340611353,,,0,0.2860262008733624,0.8710719190730317,0.1721291546690565,0.2860262008733624,0.1479257641921397,0.0347394379802486,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.2727272727272727,-0.2545454545454545,0,0,dynamic_graph_input_exploratory_not_recommendation
0052_MN,0052,Arles,MN,Professional and administrative services,2012,273.0,0.1490174672489083,3,0.1490174672489083,,,0,0.2860262008733624,0.8710719190730317,0.1721291546690565,0.2860262008733624,0.1479257641921397,0.2019215627064876,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0.0402930402930402,0.0183150183150183,1,0,dynamic_graph_input_exploratory_not_recommendation
0052_OQ,0052,Arles,OQ,"Public administration, education and health",2012,128.0,0.0698689956331877,6,0.0698689956331877,,,0,0.2860262008733624,0.8710719190730317,0.1721291546690565,0.2860262008733624,0.1479257641921397,0.1120208066472172,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.0078125,0.328125,1,0,dynamic_graph_input_exploratory_not_recommendation
0052_RU,0052,Arles,RU,Arts and other services,2012,210.0,0.1146288209606987,5,0.1146288209606987,,,0,0.2860262008733624,0.8710719190730317,0.1721291546690565,0.2860262008733624,0.1479257641921397,0.112809822763602,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.0666666666666666,-0.1666666666666666,0,0,dynamic_graph_input_exploratory_not_recommendation
0053_BE,0053,Avignon,BE,Industry and energy,2012,231.0,0.0614035087719298,6,0.0614035087719298,,,0,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.055075273111597,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.238095238095238,-0.2034632034632034,0,0,dynamic_graph_input_exploratory_not_recommendation
0053_FZ,0053,Avignon,FZ,Construction,2012,633.0,0.1682615629984051,2,0.1682615629984051,,,0,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.1415407244336861,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.1184834123222748,-0.2559241706161137,0,0,dynamic_graph_input_exploratory_not_recommendation
0053_GI,0053,Avignon,GI,"Trade, transport and hospitality",2012,1125.0,0.2990430622009569,1,0.2990430622009569,,,1,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.264096357375596,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.0302222222222222,-0.0142222222222222,0,0,dynamic_graph_input_exploratory_not_recommendation
0053_JZ,0053,Avignon,JZ,Information and communication,2012,120.0,0.0318979266347687,7,0.0318979266347687,,,0,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.0484481871299457,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.175,-0.2583333333333333,0,0,dynamic_graph_input_exploratory_not_recommendation
0053_KZ,0053,Avignon,KZ,Financial and insurance activities,2012,91.0,0.0241892610313662,9,0.0241892610313662,,,0,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.0293478278516195,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0.2087912087912088,0.2967032967032967,1,0,dynamic_graph_input_exploratory_not_recommendation
0053_LZ,0053,Avignon,LZ,Real estate activities,2012,109.0,0.0289739500265816,8,0.0289739500265816,,,0,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.0347394379802486,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.2293577981651376,-0.3853211009174312,0,0,dynamic_graph_input_exploratory_not_recommendation
0053_MN,0053,Avignon,MN,Professional and administrative services,2012,614.0,0.1632110579479,3,0.1632110579479,,,0,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.2019215627064876,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.0293159609120521,0.004885993485342,1,0,dynamic_graph_input_exploratory_not_recommendation
0053_OQ,0053,Avignon,OQ,"Public administration, education and health",2012,379.0,0.1007442849548112,5,0.1007442849548112,,,0,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,0.1120208066472172,,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,-0.0659630606860158,0.100263852242744,1,0,dynamic_graph_input_exploratory_not_recommendation
