task,scenario,model,feature_config,groups,recall_undefined_groups,mean_recall_at_3,mean_precision_at_selected,mean_growth_selected,mean_growth_actual_top3
lift,full_control,logit_entry_classifier,base_formula_features,5600,20,0.6481481481481481,0.4657738095238095,0.3831818307722889,0.6037065767513028
lift,full_control,logit_entry_classifier,base_plus_target_aligned_lifts,5600,20,0.6511350059737155,0.4672619047619048,0.3831883195290218,0.6037065767513028
lift,full_control,logit_entry_classifier,no_relation_features,5600,20,0.6508363201911589,0.46755952380952376,0.3837159066573784,0.6037065767513028
lift,full_control,logit_entry_classifier,shuffled_target_aligned_lifts,5600,20,0.6512246117084827,0.46732142857142855,0.38327411273763184,0.6037065767513028
lift,full_control,logit_entry_classifier,target_aligned_lift_features,5600,20,0.6521804062126643,0.46785714285714286,0.3842116569593171,0.6037065767513028
lift,full_control,mlp_entry_classifier,base_formula_features,5600,20,0.6502688172043011,0.46672619047619046,0.38240870563165513,0.6037065767513028
lift,full_control,mlp_entry_classifier,base_plus_target_aligned_lifts,5600,20,0.6304958183990442,0.4561309523809523,0.3813703739649337,0.6037065767513028
lift,full_control,mlp_entry_classifier,no_relation_features,5600,20,0.6476403823178016,0.46339285714285716,0.3884822309210303,0.6037065767513028
lift,full_control,mlp_entry_classifier,shuffled_target_aligned_lifts,5600,20,0.6293906810035842,0.4556547619047619,0.3813446183990541,0.6037065767513028
lift,full_control,mlp_entry_classifier,target_aligned_lift_features,5600,20,0.6619175627240144,0.47380952380952374,0.3895291423889237,0.6037065767513028
lift,sector_shuffle,logit_entry_classifier,base_formula_features,5600,66,0.5591796169136248,0.36910714285714286,0.30952718998714335,0.6037065767513028
lift,sector_shuffle,logit_entry_classifier,base_plus_target_aligned_lifts,5600,66,0.5584568124322371,0.3683333333333333,0.3092005206368695,0.6037065767513028
lift,sector_shuffle,logit_entry_classifier,no_relation_features,5600,66,0.5563787495482472,0.3669642857142857,0.30880014938873296,0.6037065767513028
lift,sector_shuffle,logit_entry_classifier,shuffled_target_aligned_lifts,5600,66,0.5583664618720636,0.36827380952380945,0.3091612364035654,0.6037065767513028
lift,sector_shuffle,logit_entry_classifier,target_aligned_lift_features,5600,66,0.558035176484761,0.36839285714285713,0.3100256788439406,0.6037065767513028
lift,sector_shuffle,mlp_entry_classifier,base_formula_features,5600,66,0.5524936754607879,0.36464285714285716,0.30150914158440634,0.6037065767513028
lift,sector_shuffle,mlp_entry_classifier,base_plus_target_aligned_lifts,5600,66,0.5220605951090229,0.3433928571428571,0.2879366195622819,0.6037065767513028
lift,sector_shuffle,mlp_entry_classifier,no_relation_features,5600,66,0.5678382122635828,0.37440476190476196,0.3082377757831087,0.6037065767513028
lift,sector_shuffle,mlp_entry_classifier,shuffled_target_aligned_lifts,5600,66,0.5218497771352849,0.34345238095238095,0.2881556258832783,0.6037065767513028
lift,sector_shuffle,mlp_entry_classifier,target_aligned_lift_features,5600,66,0.5482773159860258,0.3614880952380952,0.30246887078395335,0.6037065767513028
lift,target_shuffle,logit_entry_classifier,base_formula_features,5600,81,0.5012381470073081,0.33839285714285716,0.26838491930308295,0.6037065767513028
lift,target_shuffle,logit_entry_classifier,base_plus_target_aligned_lifts,5600,81,0.5018119224497192,0.33863095238095237,0.2684680651504818,0.6037065767513028
lift,target_shuffle,logit_entry_classifier,no_relation_features,5600,81,0.5009663586398502,0.3380357142857143,0.2679448792696041,0.6037065767513028
lift,target_shuffle,logit_entry_classifier,shuffled_target_aligned_lifts,5600,81,0.5017213263272332,0.3385714285714286,0.2684386409646119,0.6037065767513028
lift,target_shuffle,logit_entry_classifier,target_aligned_lift_features,5600,81,0.5010267560548409,0.33827380952380953,0.26812664030032207,0.6037065767513028
lift,target_shuffle,mlp_entry_classifier,base_formula_features,5600,81,0.47922328924322033,0.3223809523809524,0.26964081474950236,0.6037065767513028
lift,target_shuffle,mlp_entry_classifier,base_plus_target_aligned_lifts,5600,81,0.3652080690946427,0.24416666666666664,0.2630458137491794,0.6037065767513028
lift,target_shuffle,mlp_entry_classifier,no_relation_features,5600,81,0.48665217128706884,0.32857142857142857,0.26575604299142597,0.6037065767513028
lift,target_shuffle,mlp_entry_classifier,shuffled_target_aligned_lifts,5600,81,0.36557045358458656,0.24440476190476187,0.2632298808535938,0.6037065767513028
lift,target_shuffle,mlp_entry_classifier,target_aligned_lift_features,5600,81,0.4238690584043002,0.284047619047619,0.2676461914611063,0.6037065767513028
lift,temporal_shuffle,logit_entry_classifier,base_formula_features,5600,335,0.7430515986071541,0.41747023809523814,0.35842074524875484,0.5340606155220876
lift,temporal_shuffle,logit_entry_classifier,base_plus_target_aligned_lifts,5600,335,0.7443178220955998,0.41794642857142855,0.3585362235102736,0.5340606155220876
lift,temporal_shuffle,logit_entry_classifier,no_relation_features,5600,335,0.7413738524849636,0.4167559523809523,0.3580310495962649,0.5340606155220876
lift,temporal_shuffle,logit_entry_classifier,shuffled_target_aligned_lifts,5600,335,0.7443178220955998,0.41794642857142855,0.35857618949666814,0.5340606155220876
lift,temporal_shuffle,logit_entry_classifier,target_aligned_lift_features,5600,335,0.7431782209559987,0.4175892857142857,0.3581674652790046,0.5340606155220876
lift,temporal_shuffle,mlp_entry_classifier,base_formula_features,5600,335,0.7727128838239948,0.431875,0.36157084804550826,0.5340606155220876
lift,temporal_shuffle,mlp_entry_classifier,base_plus_target_aligned_lifts,5600,335,0.7675213675213676,0.4289583333333334,0.35773576854325007,0.5340606155220876
lift,temporal_shuffle,mlp_entry_classifier,no_relation_features,5600,335,0.7386831275720165,0.4149107142857143,0.3554089105498293,0.5340606155220876
lift,temporal_shuffle,mlp_entry_classifier,shuffled_target_aligned_lifts,5600,335,0.7674264007597341,0.4289583333333334,0.35771445103903304,0.5340606155220876
lift,temporal_shuffle,mlp_entry_classifier,target_aligned_lift_features,5600,335,0.7776194998417221,0.43514880952380947,0.36455242384203496,0.5340606155220876
top3,full_control,logit_entry_classifier,base_formula_features,5600,20,0.6481481481481481,0.4657738095238095,0.3831818307722889,0.6037065767513028
top3,full_control,logit_entry_classifier,no_relation_features,5600,20,0.6508363201911589,0.46755952380952376,0.3837159066573784,0.6037065767513028
top3,full_control,logit_entry_classifier,shuffled_relation_features,5600,20,0.6507765830346475,0.4669047619047619,0.38339180403988904,0.6037065767513028
top3,full_control,mlp_entry_classifier,base_formula_features,5600,20,0.6502688172043011,0.46672619047619046,0.38240870563165513,0.6037065767513028
top3,full_control,mlp_entry_classifier,no_relation_features,5600,20,0.6476403823178016,0.46339285714285716,0.3884822309210303,0.6037065767513028
top3,full_control,mlp_entry_classifier,shuffled_relation_features,5600,20,0.6538530465949821,0.4686309523809524,0.3843503643874028,0.6037065767513028
top3,sector_shuffle,logit_entry_classifier,base_formula_features,5600,63,0.5570555655890674,0.37125,0.3141935035953743,0.6037065767513028
top3,sector_shuffle,logit_entry_classifier,no_relation_features,5600,63,0.5573565709469629,0.37214285714285716,0.3136887271701636,0.6037065767513028
top3,sector_shuffle,logit_entry_classifier,shuffled_relation_features,5600,63,0.5578080789838059,0.37160714285714286,0.31449125780908216,0.6037065767513028
top3,sector_shuffle,mlp_entry_classifier,base_formula_features,5600,63,0.5409367286737704,0.3604166666666666,0.30044279926982376,0.6037065767513028
top3,sector_shuffle,mlp_entry_classifier,no_relation_features,5600,63,0.5611341881885498,0.37339285714285714,0.3075510845017531,0.6037065767513028
top3,sector_shuffle,mlp_entry_classifier,shuffled_relation_features,5600,63,0.5475437962795737,0.3644047619047619,0.3063043635373781,0.6037065767513028
top3,target_shuffle,logit_entry_classifier,base_formula_features,5600,75,0.5061538461538462,0.33482142857142855,0.2644477277711548,0.6037065767513028
