relation_family,decision_year,source_sector,target_sector,source_label,target_label,weight,p_value,n_zones,bh_rejected,sign_stability,r2_stable
precedence_intra,2018,OQ,BE,"Public administration, education, health",Industry,-0.010026,0.86770401,280,False,,
precedence_intra,2018,OQ,FZ,"Public administration, education, health",Construction,0.088943,0.13846126,280,False,,
precedence_intra,2018,OQ,GI,"Public administration, education, health","Trade, transport, hospitality",0.06757,0.2608976,280,False,,
precedence_intra,2018,OQ,JZ,"Public administration, education, health",Information and communication,-0.06877,0.25250296,280,False,,
precedence_intra,2018,OQ,KZ,"Public administration, education, health",Finance and insurance,-0.063438,0.29127494,280,False,,
precedence_intra,2018,OQ,LZ,"Public administration, education, health",Real estate,0.014054,0.81537338,280,False,,
precedence_intra,2018,OQ,MN,"Public administration, education, health",Professional and administrative services,-0.01392,0.81710314,280,False,,
precedence_intra,2018,OQ,RU,"Public administration, education, health",Other services,-0.027875,0.64320867,280,False,,
precedence_intra,2018,RU,BE,Other services,Industry,-0.0362,0.54740163,280,False,,
precedence_intra,2018,RU,FZ,Other services,Construction,0.024213,0.68743339,280,False,,
precedence_intra,2018,RU,GI,Other services,"Trade, transport, hospitality",0.070021,0.2439443,280,False,,
precedence_intra,2018,RU,JZ,Other services,Information and communication,-0.037043,0.53809746,280,False,,
precedence_intra,2018,RU,KZ,Other services,Finance and insurance,0.056691,0.34576957,280,False,,
precedence_intra,2018,RU,LZ,Other services,Real estate,-0.022512,0.70836334,280,False,,
precedence_intra,2018,RU,MN,Other services,Professional and administrative services,0.167473,0.00497366,280,False,,
precedence_intra,2018,RU,OQ,Other services,"Public administration, education, health",-0.023394,0.69747714,280,False,,
precedence_intra,2019,BE,FZ,Industry,Construction,0.137971,0.02106254,280,False,,
precedence_intra,2019,BE,GI,Industry,"Trade, transport, hospitality",0.202767,0.00063556,280,True,1.0,True
precedence_intra,2019,BE,JZ,Industry,Information and communication,0.157576,0.00829448,280,False,,
precedence_intra,2019,BE,KZ,Industry,Finance and insurance,0.030143,0.61642853,280,False,,
precedence_intra,2019,BE,LZ,Industry,Real estate,0.086193,0.15114412,280,False,,
precedence_intra,2019,BE,MN,Industry,Professional and administrative services,-0.13876,0.0203287,280,False,,
precedence_intra,2019,BE,OQ,Industry,"Public administration, education, health",-0.004551,0.93973283,280,False,,
precedence_intra,2019,BE,RU,Industry,Other services,0.030433,0.61303624,280,False,,
precedence_intra,2019,FZ,BE,Construction,Industry,-0.034953,0.56129526,280,False,,
precedence_intra,2019,FZ,GI,Construction,"Trade, transport, hospitality",-0.015899,0.79165996,280,False,,
precedence_intra,2019,FZ,JZ,Construction,Information and communication,0.088267,0.14149903,280,False,,
precedence_intra,2019,FZ,KZ,Construction,Finance and insurance,-0.088066,0.14241174,280,False,,
precedence_intra,2019,FZ,LZ,Construction,Real estate,0.046732,0.43720029,280,False,,
precedence_intra,2019,FZ,MN,Construction,Professional and administrative services,-0.082571,0.1691609,280,False,,
precedence_intra,2019,FZ,OQ,Construction,"Public administration, education, health",0.032972,0.5837093,280,False,,
precedence_intra,2019,FZ,RU,Construction,Other services,0.004388,0.9418827,280,False,,
precedence_intra,2019,GI,BE,"Trade, transport, hospitality",Industry,-0.005819,0.92298527,280,False,,
precedence_intra,2019,GI,FZ,"Trade, transport, hospitality",Construction,0.027235,0.65086133,280,False,,
precedence_intra,2019,GI,JZ,"Trade, transport, hospitality",Information and communication,-0.114377,0.05632288,280,False,,
precedence_intra,2019,GI,KZ,"Trade, transport, hospitality",Finance and insurance,0.085385,0.15503314,280,False,,
