ze2020,ze2020_label,sector_code,sector_label,decision_year,sector_count_t,sector_count_t_plus_1,sector_count_t_plus_3,sector_share_t,sector_share_t_plus_1,sector_share_t_plus_3,future_growth_1y,future_growth_3y,future_rank_growth_3y_in_ze_year,future_top3_growth_3y_label,sector_rank_in_ze_year_t,sector_share_lag_1,sector_growth_lag_1,sector_growth_lag_2,dominant_sector_flag_t,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,national_sector_share_lag_1,national_sector_growth_lag_1,relation_signal_strength_mean_to_t,relation_signal_strength_max_to_t,relation_stability_mean_to_t,relation_count_to_t,mask_sector_share_lag_1_available,mask_sector_growth_lag_1_available,mask_sector_growth_lag_2_available,mask_ze_sector_distribution_lag_1_available,mask_national_sector_share_lag_1_available,mask_national_sector_growth_lag_1_available,mask_future_growth_1y_available,mask_future_growth_3y_available,ranking_feature_complete,claim_status
5207,Fontenay-le-Comte,BE,Industry and energy,2018,115.0,159.0,191.0,0.1283482142857142,0.1438914027149321,0.1413767579570688,0.3826086956521739,0.6608695652173913,5.0,0,3,0.1283482142857142,-0.1153846153846153,0.1016949152542373,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.0441106381373356,0.0685085902278541,0.9617028835217902,0.9999999622904412,0.8,25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,FZ,Construction,2018,58.0,76.0,109.0,0.0647321428571428,0.0687782805429864,0.080680977054034,0.3103448275862069,0.8793103448275862,3.0,1,6,0.0647321428571428,-0.3012048192771084,0.2575757575757575,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.0908444992171829,0.0605126398308817,0.9841444329686718,0.9999999622904412,0.84375,32,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,GI,"Trade, transport and hospitality",2018,328.0,360.0,419.0,0.3660714285714285,0.3257918552036199,0.310140636565507,0.0975609756097561,0.2774390243902439,7.0,0,1,0.3660714285714285,0.0092307692307692,0.1284722222222222,1,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.3277092070598147,0.1760702584144922,0.9896610176244192,0.9999999622904412,0.8,35,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,JZ,Information and communication,2018,9.0,26.0,39.0,0.0100446428571428,0.0235294117647058,0.0288675055514433,1.8888888888888888,3.3333333333333335,1.0,1,9,0.0100446428571428,-0.4,-0.3181818181818182,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.0455127922988411,0.1534195933456561,0.9878733831222098,0.9999999622904412,0.7903225806451613,31,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,KZ,Financial and insurance activities,2018,22.0,25.0,28.0,0.0245535714285714,0.0226244343891402,0.0207253886010362,0.13636363636363635,0.2727272727272727,8.0,0,8,0.0245535714285714,-0.0434782608695652,-0.1785714285714285,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.0307052898309241,0.0731803797468353,0.9897759162968095,0.9999999622904412,0.7903225806451613,31,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,LZ,Real estate activities,2018,40.0,57.0,83.0,0.0446428571428571,0.0515837104072398,0.0614359733530718,0.425,1.075,2.0,1,7,0.0446428571428571,-0.2156862745098039,0.3076923076923077,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.0386478958256047,0.1535112412265886,0.9804058249836629,0.9999999622904412,0.7666666666666667,30,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,MN,Professional and administrative services,2018,136.0,175.0,233.0,0.1517857142857142,0.1583710407239819,0.1724648408586232,0.2867647058823529,0.7132352941176471,4.0,0,2,0.1517857142857142,0.1333333333333333,0.0256410256410256,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.2191598392867248,0.1451729485359827,0.9761551477076597,0.9999999622904412,0.796875,32,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,OQ,"Public administration, education and health",2018,92.0,90.0,90.0,0.1026785714285714,0.0814479638009049,0.0666173205033308,-0.021739130434782608,-0.021739130434782608,9.0,0,5,0.1026785714285714,0.2105263157894736,-0.1058823529411764,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.1079595827491024,0.057031692481962,0.9888982216797395,0.9999999622904412,0.8620689655172413,29,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,RU,Arts and other services,2018,96.0,137.0,159.0,0.1071428571428571,0.1239819004524886,0.1176905995558845,0.4270833333333333,0.65625,6.0,0,4,0.1071428571428571,0.2972972972972973,-0.108433734939759,0,0.3660714285714285,0.839145623633721,0.20242994658801,0.3660714285714285,0.0647321428571428,0.0953502555944693,0.1498961161073113,0.9872347326923302,0.9999999622904412,0.7941176470588235,34,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
5207,Fontenay-le-Comte,BE,Industry and energy,2019,159.0,165.0,247.0,0.1438914027149321,0.1481149012567325,0.1822878228782287,0.03773584905660377,0.5534591194968553,3.0,1,3,0.1438914027149321,0.3826086956521739,-0.1153846153846153,0,0.3257918552036199,0.8693878526602077,0.1823885669826579,0.3257918552036199,0.0687782805429864,0.0511670560492587,0.3361461926618583,0.9394838335667599,0.9999999622904412,0.7171717171717171,33,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,ranking_panel_exploratory_not_recommendation
