ze2020,ze2020_label,year,sector_code,sector_label,sector_establishment_creations,total_establishment_creations,sector_share,sector_rank_in_ze_year,mask_sector_available
0051,Alençon,2020,JZ,Information and communication,31.0,1009,0.030723488602576808,8,1
0051,Alençon,2020,KZ,Financial and insurance activities,25.0,1009,0.024777006937561942,9,1
0051,Alençon,2020,LZ,Real estate activities,33.0,1009,0.03270564915758176,7,1
0051,Alençon,2020,MN,Professional and administrative services,174.0,1009,0.17244796828543113,2,1
0051,Alençon,2020,OQ,"Public administration, education and health",102.0,1009,0.10109018830525272,3,1
0051,Alençon,2020,RU,Arts and other services,98.0,1009,0.09712586719524281,4,1
0051,Alençon,2021,BE,Industry and energy,100.0,1149,0.08703220191470844,5,1
0051,Alençon,2021,FZ,Construction,97.0,1149,0.08442123585726719,6,1
0051,Alençon,2021,GI,"Trade, transport and hospitality",390.0,1149,0.3394255874673629,1,1
0051,Alençon,2021,JZ,Information and communication,30.0,1149,0.02610966057441253,9,1
0051,Alençon,2021,KZ,Financial and insurance activities,35.0,1149,0.030461270670147953,8,1
0051,Alençon,2021,LZ,Real estate activities,55.0,1149,0.047867711053089644,7,1
0051,Alençon,2021,MN,Professional and administrative services,181.0,1149,0.15752828546562228,2,1
0051,Alençon,2021,OQ,"Public administration, education and health",120.0,1149,0.10443864229765012,4,1
0051,Alençon,2021,RU,Arts and other services,141.0,1149,0.1227154046997389,3,1
0051,Alençon,2022,BE,Industry and energy,112.0,1208,0.09271523178807947,5,1
0051,Alençon,2022,FZ,Construction,138.0,1208,0.11423841059602649,4,1
0051,Alençon,2022,GI,"Trade, transport and hospitality",331.0,1208,0.2740066225165563,1,1
0051,Alençon,2022,JZ,Information and communication,48.0,1208,0.039735099337748346,8,1
0051,Alençon,2022,KZ,Financial and insurance activities,49.0,1208,0.04056291390728477,7,1
0051,Alençon,2022,LZ,Real estate activities,44.0,1208,0.03642384105960265,9,1
0051,Alençon,2022,MN,Professional and administrative services,231.0,1208,0.1912251655629139,2,1
0051,Alençon,2022,OQ,"Public administration, education and health",110.0,1208,0.09105960264900662,6,1
0051,Alençon,2022,RU,Arts and other services,145.0,1208,0.12003311258278146,3,1
0051,Alençon,2023,BE,Industry and energy,151.0,1220,0.12377049180327869,4,1
0051,Alençon,2023,FZ,Construction,105.0,1220,0.0860655737704918,5,1
0051,Alençon,2023,GI,"Trade, transport and hospitality",324.0,1220,0.26557377049180325,1,1
0051,Alençon,2023,JZ,Information and communication,44.0,1220,0.036065573770491806,8,1
0051,Alençon,2023,KZ,Financial and insurance activities,69.0,1220,0.056557377049180325,7,1
0051,Alençon,2023,LZ,Real estate activities,44.0,1220,0.036065573770491806,8,1
0051,Alençon,2023,MN,Professional and administrative services,220.0,1220,0.18032786885245902,2,1
0051,Alençon,2023,OQ,"Public administration, education and health",104.0,1220,0.08524590163934426,6,1
0051,Alençon,2023,RU,Arts and other services,159.0,1220,0.130327868852459,3,1
0051,Alençon,2024,BE,Industry and energy,190.0,1377,0.13798111837327523,3,1
0051,Alençon,2024,FZ,Construction,115.0,1377,0.08351488743645606,5,1
0051,Alençon,2024,GI,"Trade, transport and hospitality",341.0,1377,0.2476397966594045,1,1
0051,Alençon,2024,JZ,Information and communication,59.0,1377,0.042846768336964415,7,1
0051,Alençon,2024,KZ,Financial and insurance activities,43.0,1377,0.03122730573710966,8,1
0051,Alençon,2024,LZ,Real estate activities,40.0,1377,0.029048656499636893,9,1
0051,Alençon,2024,MN,Professional and administrative services,293.0,1377,0.21278140885984023,2,1
0051,Alençon,2024,OQ,"Public administration, education and health",108.0,1377,0.0784313725490196,6,1
0051,Alençon,2024,RU,Arts and other services,188.0,1377,0.1365286855482934,4,1
0051,Alençon,2025,BE,Industry and energy,201.0,1448,0.1388121546961326,3,1
0051,Alençon,2025,FZ,Construction,121.0,1448,0.0835635359116022,5,1
0051,Alençon,2025,GI,"Trade, transport and hospitality",404.0,1448,0.27900552486187846,1,1
0051,Alençon,2025,JZ,Information and communication,61.0,1448,0.04212707182320442,7,1
0051,Alençon,2025,KZ,Financial and insurance activities,39.0,1448,0.026933701657458564,9,1
0051,Alençon,2025,LZ,Real estate activities,53.0,1448,0.03660220994475138,8,1
0051,Alençon,2025,MN,Professional and administrative services,274.0,1448,0.18922651933701656,2,1
0051,Alençon,2025,OQ,"Public administration, education and health",111.0,1448,0.07665745856353591,6,1
0051,Alençon,2025,RU,Arts and other services,184.0,1448,0.1270718232044199,4,1
0052,Arles,2012,BE,Industry and energy,298.0,1832,0.16266375545851527,2,1
0052,Arles,2012,FZ,Construction,271.0,1832,0.14792576419213974,4,1
0052,Arles,2012,GI,"Trade, transport and hospitality",524.0,1832,0.28602620087336245,1,1
0052,Arles,2012,JZ,Information and communication,46.0,1832,0.025109170305676855,8,1
