ze2020,ze2020_label,year,observed_value,target_variable,lag_1,lag_2,lag_3,growth_1y_safe,growth_2y_safe,mask_observed_available,mask_lag_1_available,mask_lag_2_available,mask_lag_3_available,node_id,similar_ze_lag_1_mean,similar_ze_lag_1_weighted_mean,similar_ze_growth_1y_safe_mean,similar_ze_count,relational_feature_available,dominant_sector_lag_1,dominant_sector_share_lag_1,sector_diversity_lag_1,sector_concentration_hhi_lag_1,commerce_share_lag_1,construction_share_lag_1,mask_ze_sector_distribution_lag_1_available,top_sector_signal_lag_1
0051,Alençon,2012,825.0,establishment_creations,,,,,,1,0,0,0,0,,,,0,0,,,,,,,0,
0051,Alençon,2013,755.0,establishment_creations,825.0,,,,,1,1,0,0,0,,,,0,0,GI,0.2812121212121212,0.888851218936782,0.1671860422405875,0.2812121212121212,0.1866666666666666,1,
0051,Alençon,2014,741.0,establishment_creations,755.0,825.0,,-0.0848484848484848,,1,1,1,0,0,,,,0,0,GI,0.3178807947019867,0.86753430881427,0.182635849304855,0.3178807947019867,0.1947019867549669,1,0.0344827586206896
0051,Alençon,2015,733.0,establishment_creations,741.0,755.0,825.0,-0.0185430463576158,-0.1018181818181818,1,1,1,1,0,,,,0,0,GI,0.291497975708502,0.8850090349275073,0.1686399638668975,0.291497975708502,0.1686909581646423,1,-0.1
0051,Alençon,2016,777.0,establishment_creations,733.0,741.0,755.0,-0.0107962213225371,-0.0291390728476821,1,1,1,1,0,,,,0,0,GI,0.3083219645293315,0.8800862206891683,0.1744219591318637,0.3083219645293315,0.145975443383356,1,0.0462962962962962
0051,Alençon,2017,742.0,establishment_creations,777.0,733.0,741.0,0.0600272851296043,0.048582995951417,1,1,1,1,0,1141.2,1140.2130141230627,0.0147429043883769,5,1,GI,0.3114543114543114,0.8737386529874607,0.1765146282520799,0.3114543114543114,0.1557271557271557,1,0.0707964601769911
0051,Alençon,2018,834.0,establishment_creations,742.0,777.0,733.0,-0.045045045045045,0.0122783083219645,1,1,1,1,0,11021.8,11028.360795644372,0.060854729870429,5,1,GI,0.3396226415094339,0.8665814646108285,0.1859329705538319,0.3396226415094339,0.1199460916442048,1,0.0413223140495867
0051,Alençon,2019,977.0,establishment_creations,834.0,742.0,777.0,0.1239892183288409,0.0733590733590733,1,1,1,1,0,722.4,723.8173038454474,0.1063980971233234,5,1,GI,0.3273381294964029,0.8702468056847669,0.1818573917844141,0.3273381294964029,0.1091127098321343,1,0.0833333333333333
0051,Alençon,2020,1009.0,establishment_creations,977.0,834.0,742.0,0.171462829736211,0.316711590296496,1,1,1,1,0,4655.2,4604.506355414176,0.1324834273822757,5,1,GI,0.3336745138178096,0.8779094601159799,0.1815691299059536,0.3336745138178096,0.1166837256908904,1,0.1941391941391941
0051,Alençon,2021,1149.0,establishment_creations,1009.0,977.0,834.0,0.0327533265097236,0.2098321342925659,1,1,1,1,0,1948.2,1935.6863372198225,-0.0133843495698492,5,1,GI,0.3825569871159563,0.8368812512313489,0.2113260143348121,0.3825569871159563,0.0931615460852329,1,0.1840490797546012
0051,Alençon,2022,1208.0,establishment_creations,1149.0,1009.0,977.0,0.1387512388503468,0.1760491299897645,1,1,1,1,0,6577.4,6551.988555288717,0.2214771336172998,5,1,GI,0.3394255874673629,0.8735832692508432,0.1845938610863041,0.3394255874673629,0.0844212358572671,1,0.0103626943005181
0051,Alençon,2023,1220.0,establishment_creations,1208.0,1149.0,1009.0,0.0513489991296779,0.197224975222993,1,1,1,1,0,5330.2,5338.988595360599,-0.0028204234738908,5,1,GI,0.2740066225165563,0.9060973555017234,0.1605439454409893,0.2740066225165563,0.1142384105960264,1,-0.1512820512820512
0051,Alençon,2024,1397.0,establishment_creations,1220.0,1208.0,1149.0,0.009933774834437,0.0617928633594429,1,1,1,1,0,3867.4,3914.1930438647673,-0.0108316308599457,5,1,GI,0.2655737704918032,0.9140036546200716,0.1558263907551732,0.2655737704918032,0.0860655737704918,1,-0.0211480362537764
0052,Arles,2012,1832.0,establishment_creations,,,,,,1,0,0,0,1,,,,0,0,,,,,,,0,
0052,Arles,2013,1649.0,establishment_creations,1832.0,,,,,1,1,0,0,1,,,,0,0,GI,0.2860262008733624,0.8710719190730317,0.1721291546690565,0.2860262008733624,0.1479257641921397,1,
0052,Arles,2014,1552.0,establishment_creations,1649.0,1832.0,,-0.0998908296943231,,1,1,1,0,1,,,,0,0,GI,0.3456640388114008,0.8462037885028414,0.1951201842011678,0.3456640388114008,0.1267434808975136,1,0.0877862595419847
0052,Arles,2015,1547.0,establishment_creations,1552.0,1649.0,1832.0,-0.0588235294117647,-0.1528384279475982,1,1,1,1,1,,,,0,0,GI,0.3331185567010309,0.8542300920956144,0.1891075034541396,0.3331185567010309,0.1662371134020618,1,-0.0929824561403508
0052,Arles,2016,1660.0,establishment_creations,1547.0,1552.0,1649.0,-0.003221649484536,-0.0618556701030927,1,1,1,1,1,,,,0,0,GI,0.3232062055591467,0.8679471959031755,0.1827984935707661,0.3232062055591467,0.1163542340012928,1,-0.0328820116054158
0052,Arles,2017,1677.0,establishment_creations,1660.0,1547.0,1552.0,0.0730446024563671,0.0695876288659793,1,1,1,1,1,949.2,949.0152655243916,0.0401967651240188,5,1,GI,0.3481927710843373,0.8414263228061137,0.1964842502540281,0.3481927710843373,0.1337349397590361,1,0.156
0052,Arles,2018,1788.0,establishment_creations,1677.0,1660.0,1547.0,0.0102409638554216,0.0840336134453781,1,1,1,1,1,993.4,997.5931471031396,0.0085931506636882,5,1,GI,0.345855694692904,0.8556600083601406,0.1923996090073387,0.345855694692904,0.1246273106738223,1,0.0034602076124567
0052,Arles,2019,2080.0,establishment_creations,1788.0,1677.0,1660.0,0.0661896243291592,0.0771084337349397,1,1,1,1,1,2803.2,2807.562155193906,0.1345808653197315,5,1,GI,0.3338926174496644,0.8562630164129925,0.189669259142481,0.3338926174496644,0.1057046979865771,1,0.0293103448275862
0052,Arles,2020,2104.0,establishment_creations,2080.0,1788.0,1677.0,0.16331096196868,0.2403100775193798,1,1,1,1,1,1536.4,1544.5818367281483,0.1623864026315171,5,1,GI,0.335576923076923,0.860534616204103,0.1896662352071005,0.335576923076923,0.1038461538461538,1,0.169179229480737
0052,Arles,2021,2615.0,establishment_creations,2104.0,2080.0,1788.0,0.0115384615384615,0.1767337807606264,1,1,1,1,1,2314.2,2314.588524503825,0.0042446322327272,5,1,GI,0.311787072243346,0.8732960802687294,0.1801430192716389,0.311787072243346,0.1112167300380228,1,-0.0601719197707736
0052,Arles,2022,2667.0,establishment_creations,2615.0,2104.0,2080.0,0.24287072243346,0.2572115384615384,1,1,1,1,1,2584.4,2591.365492319789,0.2198679952088243,5,1,GI,0.3078393881453155,0.8772225592212093,0.1786596667994983,0.3078393881453155,0.1024856596558317,1,0.2271341463414634
0052,Arles,2023,2619.0,establishment_creations,2667.0,2615.0,2104.0,0.0198852772466539,0.2675855513307985,1,1,1,1,1,2342.2,2340.2009412887023,0.012098863590968,5,1,GI,0.2665916760404949,0.8878414286662606,0.1691502566678602,0.2665916760404949,0.1031121109861267,1,-0.1167701863354037
0052,Arles,2024,2888.0,establishment_creations,2619.0,2667.0,2615.0,-0.0179977502812148,0.001529636711281,1,1,1,1,1,2838.0,2834.583945731767,0.0156160985802621,5,1,GI,0.268041237113402,0.883355376868389,0.1713601707264196,0.268041237113402,0.0893470790378006,1,-0.0126582278481012
0053,Avignon,2012,3762.0,establishment_creations,,,,,,1,0,0,0,2,,,,0,0,,,,,,,0,
0053,Avignon,2013,3434.0,establishment_creations,3762.0,,,,,1,1,0,0,2,,,,0,0,GI,0.2990430622009569,0.8732745738192027,0.1756897156460657,0.2990430622009569,0.1682615629984051,1,
0053,Avignon,2014,3563.0,establishment_creations,3434.0,3762.0,,-0.0871876661350345,,1,1,1,0,2,,,,0,0,GI,0.3177052999417589,0.861020361946254,0.184531912028436,0.3177052999417589,0.1624927198602213,1,-0.0302222222222222
0053,Avignon,2015,3435.0,establishment_creations,3563.0,3434.0,3762.0,0.0375655212580081,-0.0528973950026581,1,1,1,1,2,,,,0,0,GI,0.3067639629525681,0.8590190451162173,0.1823731117421397,0.3067639629525681,0.1611001964636542,1,0.0018331805682859
0053,Avignon,2016,3432.0,establishment_creations,3435.0,3563.0,3434.0,-0.0359247824866685,0.0002912055911473,1,1,1,1,2,,,,0,0,GI,0.3228529839883551,0.8571501093835198,0.1863053717511106,0.3228529839883551,0.137117903930131,1,0.0146386093321134
0053,Avignon,2017,3615.0,establishment_creations,3432.0,3435.0,3563.0,-0.0008733624454148,-0.0367667695761998,1,1,1,1,2,902.2,902.1940799242956,0.0244101874433115,5,1,GI,0.3216783216783216,0.8662798896885734,0.1829273096755613,0.3216783216783216,0.1331585081585081,1,-0.0045085662759242
0053,Avignon,2018,4169.0,establishment_creations,3615.0,3432.0,3435.0,0.0533216783216783,0.0524017467248908,1,1,1,1,2,2750.8,2755.8186635683023,0.0770274107857741,5,1,GI,0.3322268326417704,0.8573982725984178,0.1888260264879123,0.3322268326417704,0.125311203319502,1,0.0878623188405797
0053,Avignon,2019,4765.0,establishment_creations,4169.0,3615.0,3432.0,0.1532503457814661,0.2147435897435897,1,1,1,1,2,4134.6,4148.009667151935,0.1318761691984251,5,1,GI,0.3353322139601823,0.8443044086174462,0.1956632470033619,0.3353322139601823,0.136963300551691,1,0.1640299750208159
0053,Avignon,2020,4871.0,establishment_creations,4765.0,4169.0,3615.0,0.1429599424322379,0.318118948824343,1,1,1,1,2,6490.0,6491.91994077304,0.1615686421004194,5,1,GI,0.3315844700944386,0.8566997321904581,0.1902340540558395,0.3315844700944386,0.1357817418677859,1,0.1301859799713877
0053,Avignon,2021,5818.0,establishment_creations,4871.0,4765.0,4169.0,0.0222455403987408,0.1683857040057567,1,1,1,1,2,6098.6,6124.908500016664,0.0483823324335935,5,1,GI,0.3535208376103469,0.8404466579143408,0.2026789632801372,0.3535208376103469,0.1180455758571135,1,0.0898734177215189
0053,Avignon,2022,5945.0,establishment_creations,5818.0,4871.0,4765.0,0.1944159310203243,0.2209863588667366,1,1,1,1,2,9074.4,9086.225418894752,0.203555744941509,5,1,GI,0.3430732210381574,0.8486570982112958,0.1976005051120376,0.3430732210381574,0.1155036094877964,1,0.1591173054587688
0053,Avignon,2023,5770.0,establishment_creations,5945.0,5818.0,4871.0,0.0218288071502234,0.2204886060357216,1,1,1,1,2,7044.0,7047.797182757994,-0.0056593619929065,5,1,GI,0.2915054667788057,0.8729483103924568,0.1793921431456417,0.2915054667788057,0.1113540790580319,1,-0.1317635270541082
